State,Started on,Completed,Time taken,Grade/20.00
Finished,12 September 2022  2:52 PM,12 September 2022  3:08 PM,15.18,12.9
Finished,12 September 2022  6:09 PM,12 September 2022  7:04 PM,55.55,10.34
Finished,12 September 2022  7:48 PM,12 September 2022  8:52 PM,63.0,13.69
Finished,12 September 2022  8:36 PM,12 September 2022  10:23 PM,107.0,13.8
Finished,13 September 2022  11:51 AM,13 September 2022  12:56 PM,64.0,16.48
Finished,13 September 2022  1:14 PM,13 September 2022  2:54 PM,100.0,12.22
Finished,13 September 2022  2:06 PM,13 September 2022  3:59 PM,112.0,8.59
Finished,13 September 2022  2:47 PM,13 September 2022  4:47 PM,120.0,13.6
Finished,13 September 2022  2:49 PM,13 September 2022  4:21 PM,92.0,11.82
Finished,13 September 2022  2:55 PM,13 September 2022  4:17 PM,81.0,14.07
Finished,13 September 2022  2:56 PM,13 September 2022  4:25 PM,88.0,12.56
Finished,13 September 2022  2:58 PM,13 September 2022  4:10 PM,71.0,13.7
Finished,13 September 2022  2:58 PM,13 September 2022  4:10 PM,71.0,12.49
Finished,13 September 2022  3:38 PM,13 September 2022  5:38 PM,120.0,2.69
Finished,13 September 2022  3:51 PM,13 September 2022  5:35 PM,103.0,8.48
Finished,13 September 2022  4:11 PM,13 September 2022  5:18 PM,67.0,11.55
Finished,13 September 2022  4:46 PM,13 September 2022  5:23 PM,36.77,10.98
Finished,13 September 2022  4:49 PM,13 September 2022  6:04 PM,75.0,15.22
Finished,13 September 2022  5:12 PM,13 September 2022  7:12 PM,120.0,11.55
Finished,13 September 2022  6:15 PM,13 September 2022  7:40 PM,84.0,18.52
Finished,13 September 2022  6:16 PM,13 September 2022  8:05 PM,109.0,1.95
Finished,13 September 2022  6:18 PM,13 September 2022  7:52 PM,94.0,13.64
Finished,13 September 2022  7:09 PM,13 September 2022  8:08 PM,59.23,6.6
Finished,13 September 2022  7:27 PM,13 September 2022  8:16 PM,49.6,10.54
Finished,13 September 2022  10:10 PM,13 September 2022  11:12 PM,61.0,17.04
Finished,14 September 2022  10:22 AM,14 September 2022  11:31 AM,68.0,16.85
Finished,14 September 2022  10:51 AM,14 September 2022  11:46 AM,54.5,20.0
Finished,14 September 2022  2:16 PM,14 September 2022  3:17 PM,60.0,12.96
Finished,14 September 2022  3:43 PM,14 September 2022  4:39 PM,56.77,20.0
Finished,14 September 2022  3:50 PM,14 September 2022  5:27 PM,97.0,19.63
Finished,14 September 2022  4:10 PM,14 September 2022  4:50 PM,40.42,10.57
Finished,14 September 2022  4:30 PM,14 September 2022  6:29 PM,119.0,18.89
Finished,14 September 2022  4:57 PM,14 September 2022  5:47 PM,49.25,15.19
Finished,14 September 2022  5:53 PM,14 September 2022  7:12 PM,78.0,15.15
Finished,14 September 2022  5:56 PM,14 September 2022  7:09 PM,73.0,9.8
Finished,14 September 2022  6:53 PM,14 September 2022  8:38 PM,104.0,18.15
Finished,14 September 2022  8:39 PM,14 September 2022  9:01 PM,21.82,18.15
Finished,14 September 2022  10:04 PM,15 September 2022  12:03 AM,119.0,9.9
Finished,15 September 2022  10:19 AM,15 September 2022  11:01 AM,41.68,6.3
Finished,15 September 2022  11:56 AM,15 September 2022  12:51 PM,55.02,7.51
Finished,15 September 2022  1:12 PM,15 September 2022  2:53 PM,100.0,10.54
Finished,15 September 2022  2:04 PM,15 September 2022  2:35 PM,31.25,17.41
Finished,15 September 2022  2:32 PM,15 September 2022  4:26 PM,113.0,14.98
Finished,15 September 2022  2:57 PM,15 September 2022  3:40 PM,42.1,19.63
Finished,15 September 2022  3:03 PM,15 September 2022  5:02 PM,118.0,8.86
Finished,15 September 2022  3:46 PM,15 September 2022  5:22 PM,95.0,13.47
Finished,15 September 2022  3:46 PM,15 September 2022  5:22 PM,95.0,14.07
Finished,15 September 2022  3:52 PM,15 September 2022  4:57 PM,64.0,11.01
Finished,15 September 2022  4:20 PM,15 September 2022  5:14 PM,54.42,17.91
Finished,15 September 2022  4:55 PM,15 September 2022  5:32 PM,36.88,16.06
Finished,15 September 2022  5:07 PM,15 September 2022  5:58 PM,50.47,14.44
Finished,15 September 2022  5:11 PM,15 September 2022  6:05 PM,53.75,16.67
Finished,15 September 2022  5:21 PM,15 September 2022  6:05 PM,43.83,16.85
Finished,15 September 2022  5:21 PM,15 September 2022  6:07 PM,46.02,14.24
Finished,15 September 2022  5:26 PM,15 September 2022  6:04 PM,37.77,15.93
Finished,15 September 2022  5:31 PM,15 September 2022  6:34 PM,62.0,17.04
Finished,15 September 2022  5:33 PM,15 September 2022  6:17 PM,44.08,14.85
Finished,15 September 2022  5:38 PM,15 September 2022  6:24 PM,46.25,16.06
Finished,15 September 2022  6:32 PM,15 September 2022  7:22 PM,49.55,16.46
Finished,15 September 2022  7:30 PM,15 September 2022  8:11 PM,41.55,8.59
Finished,15 September 2022  7:46 PM,15 September 2022  8:52 PM,66.0,16.84
Finished,15 September 2022  7:47 PM,15 September 2022  8:52 PM,65.0,10.17
Finished,15 September 2022  7:48 PM,15 September 2022  8:57 PM,69.0,19.26
Finished,15 September 2022  7:49 PM,15 September 2022  9:43 PM,113.0,16.67
Finished,15 September 2022  8:12 PM,15 September 2022  9:39 PM,86.0,10.81
Finished,15 September 2022  8:48 PM,15 September 2022  9:59 PM,71.0,18.79
Finished,15 September 2022  9:44 PM,15 September 2022  10:09 PM,24.8,18.79
Finished,15 September 2022  9:52 PM,15 September 2022  11:00 PM,68.0,13.55
Finished,15 September 2022  10:09 PM,15 September 2022  10:29 PM,20.18,20.0
Finished,15 September 2022  10:13 PM,15 September 2022  11:55 PM,101.0,6.9
Finished,15 September 2022  10:42 PM,16 September 2022  12:42 AM,120.0,10.34
Finished,16 September 2022  8:57 AM,16 September 2022  10:56 AM,118.0,12.73
Finished,16 September 2022  9:26 AM,16 September 2022  10:43 AM,77.0,13.4
Finished,16 September 2022  10:00 AM,16 September 2022  11:00 AM,60.0,15.93
Finished,16 September 2022  12:20 PM,16 September 2022  1:43 PM,82.0,8.42
Finished,16 September 2022  12:44 PM,16 September 2022  2:43 PM,119.0,8.99
Finished,16 September 2022  1:16 PM,16 September 2022  3:11 PM,115.0,15.19
Finished,16 September 2022  1:58 PM,16 September 2022  2:39 PM,41.72,7.37
Finished,16 September 2022  1:59 PM,16 September 2022  2:43 PM,44.33,14.95
Finished,16 September 2022  2:13 PM,16 September 2022  4:13 PM,120.0,15.19
Finished,16 September 2022  2:23 PM,16 September 2022  3:13 PM,49.82,8.99
Finished,16 September 2022  2:32 PM,16 September 2022  4:32 PM,120.0,6.3
Finished,16 September 2022  2:33 PM,16 September 2022  3:47 PM,74.0,15.45
Finished,16 September 2022  3:02 PM,16 September 2022  4:41 PM,99.0,16.3
Finished,16 September 2022  3:07 PM,16 September 2022  4:15 PM,67.0,17.78
Finished,16 September 2022  3:16 PM,16 September 2022  4:54 PM,98.0,13.7
Finished,16 September 2022  3:16 PM,16 September 2022  4:56 PM,99.0,13.7
Finished,16 September 2022  3:17 PM,16 September 2022  5:16 PM,119.0,13.7
Finished,16 September 2022  3:27 PM,16 September 2022  4:03 PM,35.82,14.75
Finished,16 September 2022  3:32 PM,16 September 2022  4:13 PM,40.93,17.78
Finished,16 September 2022  3:36 PM,16 September 2022  5:36 PM,119.0,11.63
Finished,16 September 2022  3:50 PM,16 September 2022  4:40 PM,49.63,10.72
Finished,16 September 2022  4:20 PM,16 September 2022  4:56 PM,36.13,17.78
Finished,16 September 2022  4:20 PM,16 September 2022  5:07 PM,46.63,6.3
Finished,16 September 2022  4:33 PM,16 September 2022  5:47 PM,74.0,7.98
Finished,16 September 2022  4:41 PM,16 September 2022  5:52 PM,71.0,14.44
Finished,16 September 2022  4:50 PM,16 September 2022  5:15 PM,24.92,17.78
Finished,16 September 2022  4:56 PM,16 September 2022  6:20 PM,83.0,9.19
Finished,16 September 2022  5:12 PM,16 September 2022  6:58 PM,106.0,13.47
Finished,16 September 2022  5:38 PM,16 September 2022  7:13 PM,95.0,14.34
Finished,16 September 2022  5:43 PM,16 September 2022  6:55 PM,71.0,13.1
Finished,16 September 2022  6:34 PM,16 September 2022  7:14 PM,40.33,10.2
Finished,16 September 2022  6:37 PM,16 September 2022  8:25 PM,107.0,7.51
Finished,16 September 2022  6:53 PM,16 September 2022  7:26 PM,32.68,7.74
Finished,16 September 2022  8:02 PM,16 September 2022  9:35 PM,93.0,14.01
Finished,16 September 2022  8:04 PM,16 September 2022  8:38 PM,34.03,14.85
Finished,16 September 2022  8:07 PM,16 September 2022  9:37 PM,90.0,16.11
Finished,16 September 2022  8:18 PM,16 September 2022  8:25 PM,6.22,10.51
Finished,16 September 2022  8:22 PM,16 September 2022  9:56 PM,93.0,20.0
Finished,16 September 2022  9:17 PM,16 September 2022  11:03 PM,106.0,12.56
Finished,16 September 2022  9:35 PM,16 September 2022  10:35 PM,60.0,17.78
Finished,16 September 2022  9:46 PM,16 September 2022  11:16 PM,90.0,19.39
Finished,16 September 2022  10:08 PM,16 September 2022  11:37 PM,88.0,16.06
Finished,16 September 2022  10:38 PM,17 September 2022  12:38 AM,120.0,0.0
Finished,16 September 2022  10:53 PM,17 September 2022  12:38 AM,104.0,19.39
Finished,16 September 2022  11:03 PM,16 September 2022  11:12 PM,9.3,11.35
Finished,16 September 2022  11:07 PM,17 September 2022  12:14 AM,67.0,12.32
Finished,16 September 2022  11:11 PM,16 September 2022  11:16 PM,5.3,12.56
Finished,16 September 2022  11:16 PM,16 September 2022  11:49 PM,33.13,12.56
Finished,17 September 2022  12:09 AM,17 September 2022  1:55 AM,105.0,19.39
Finished,17 September 2022  12:11 AM,17 September 2022  1:18 AM,67.0,20.0
Finished,17 September 2022  12:47 AM,17 September 2022  1:21 AM,34.57,16.57
Finished,17 September 2022  12:55 AM,17 September 2022  1:59 AM,64.0,15.96
Finished,17 September 2022  1:02 AM,17 September 2022  1:53 AM,51.3,13.92
Finished,17 September 2022  1:09 AM,17 September 2022  2:50 AM,100.0,16.6
Finished,17 September 2022  7:50 AM,17 September 2022  8:35 AM,44.73,13.32
Finished,17 September 2022  8:53 AM,17 September 2022  10:20 AM,86.0,13.23
Finished,17 September 2022  9:08 AM,17 September 2022  10:24 AM,75.0,16.57
Finished,17 September 2022  9:13 AM,17 September 2022  10:36 AM,82.0,14.38
Finished,17 September 2022  9:20 AM,17 September 2022  10:18 AM,58.17,11.28
Finished,17 September 2022  9:26 AM,17 September 2022  10:42 AM,75.0,20.0
Finished,17 September 2022  9:45 AM,17 September 2022  11:21 AM,96.0,7.78
Finished,17 September 2022  10:22 AM,17 September 2022  11:51 AM,89.0,16.67
Finished,17 September 2022  10:40 AM,17 September 2022  11:50 AM,70.0,16.67
Finished,17 September 2022  10:46 AM,17 September 2022  12:23 PM,97.0,18.79
Finished,17 September 2022  10:46 AM,17 September 2022  12:30 PM,103.0,16.06
Finished,17 September 2022  11:19 AM,17 September 2022  12:05 PM,46.65,13.33
Finished,17 September 2022  11:21 AM,17 September 2022  12:00 PM,38.77,13.97
Finished,17 September 2022  11:25 AM,17 September 2022  12:41 PM,75.0,17.41
Finished,17 September 2022  11:26 AM,17 September 2022  12:16 PM,50.5,15.02
Finished,17 September 2022  11:26 AM,17 September 2022  12:59 PM,92.0,11.48
Finished,17 September 2022  11:35 AM,17 September 2022  1:03 PM,87.0,13.1
Finished,17 September 2022  11:42 AM,17 September 2022  1:17 PM,94.0,10.52
Finished,17 September 2022  11:47 AM,17 September 2022  12:29 PM,42.2,9.23
Finished,17 September 2022  11:47 AM,17 September 2022  12:57 PM,70.0,17.41
Finished,17 September 2022  12:28 PM,17 September 2022  12:58 PM,30.08,17.41
Finished,17 September 2022  12:35 PM,17 September 2022  2:23 PM,107.0,13.23
Finished,17 September 2022  12:46 PM,17 September 2022  1:22 PM,36.25,11.41
Finished,17 September 2022  12:56 PM,17 September 2022  1:34 PM,37.63,10.81
Finished,17 September 2022  1:19 PM,17 September 2022  2:46 PM,87.0,13.16
Finished,17 September 2022  1:21 PM,17 September 2022  2:39 PM,78.0,10.4
Finished,17 September 2022  1:26 PM,17 September 2022  3:26 PM,120.0,17.41
Finished,17 September 2022  1:27 PM,17 September 2022  2:28 PM,61.0,17.31
Finished,17 September 2022  1:42 PM,17 September 2022  2:36 PM,54.15,18.52
Finished,17 September 2022  1:44 PM,17 September 2022  2:10 PM,25.47,11.95
Finished,17 September 2022  2:04 PM,17 September 2022  3:27 PM,83.0,8.11
