ID number,Grade/20.00,Grade/20.00_HW02,Grade/20.00_HW03,Grade/20.00_HW04,Grade/20.00_HW05,Grade/20.00_HW06,Grade/20.00_HW07,Grade/20.00_HW08,Grade/20.00_HW09,Grade/20.00_HW10,Grade/20.00_HW11
3812573.0,8.18,19.0,18.06,13.95,20.0,13.21,20.0,10.63,14.17,18.1,4.33
28610484.0,15.45,16.0,10.32,11.9,18.79,14.29,,18.75,15.0,14.76,11.67
28606227.0,15.45,20.0,13.55,12.31,18.91,16.07,20.0,12.5,13.33,12.38,6.67
21113025.0,14.55,16.0,16.77,14.87,19.39,15.36,20.0,15.0,15.83,16.67,8.0
21110432.0,18.64,20.0,15.48,19.69,18.4,17.14,20.0,14.38,15.0,16.19,2.0
28606489.0,10.0,20.0,10.97,17.85,18.18,19.29,20.0,17.5,16.67,13.81,0.0
3701350.0,13.64,19.44,11.61,,20.0,17.86,20.0,18.75,17.5,13.81,0.0
28600748.0,15.45,20.0,11.61,14.97,20.0,15.0,20.0,15.63,16.67,12.86,13.67
3671406.0,5.91,17.0,10.97,2.46,13.59,14.29,20.0,16.25,15.0,11.43,
28602178.0,15.91,20.0,12.9,17.54,18.83,15.0,20.0,18.13,16.67,13.33,7.67
3601270.0,15.0,19.0,11.61,19.08,20.0,13.93,20.0,10.63,,,
28618735.0,10.0,,,,,,,,,,
28710546.0,9.09,20.0,20.0,19.69,15.52,20.0,20.0,19.38,16.67,16.67,17.0
28610319.0,15.91,20.0,18.71,15.9,20.0,18.93,20.0,16.25,16.67,17.14,8.67
3808688.0,14.55,20.0,17.42,17.64,18.05,16.43,16.0,13.13,19.17,16.67,9.0
3804270.0,16.36,16.0,11.61,14.05,8.2,15.36,20.0,13.75,11.67,10.95,5.0
28609148.0,9.09,19.0,14.84,17.95,18.79,16.79,20.0,13.75,13.33,12.86,7.67
3803860.0,0.0,13.44,5.48,5.85,11.0,11.79,,11.25,5.0,5.71,
28626848.0,15.45,19.0,13.23,11.28,16.23,13.57,20.0,18.75,10.83,13.81,13.0
28601465.0,16.36,20.0,18.71,18.77,20.0,16.07,20.0,0.0,19.17,18.57,14.67
28601465.0,16.36,20.0,18.71,18.77,20.0,16.07,20.0,19.38,19.17,18.57,14.67
28609336.0,15.45,20.0,9.03,15.9,19.22,14.64,20.0,16.25,11.67,18.57,3.67
21113008.0,3.64,17.0,12.26,14.46,17.82,20.0,,19.38,15.0,,4.0
28600163.0,16.36,20.0,17.42,17.33,20.0,19.64,18.67,15.63,17.5,17.62,1.0
28608499.0,11.36,20.0,10.97,11.79,15.02,10.71,15.33,18.75,13.33,12.38,1.67
21115553.0,10.91,20.0,16.13,19.69,17.82,20.0,20.0,13.75,15.0,17.62,14.67
28600786.0,13.64,19.44,12.26,14.97,18.18,13.21,,15.0,16.39,12.86,3.67
3700196.0,10.91,10.78,2.58,9.49,14.78,15.36,20.0,15.63,13.33,7.14,16.67
28607963.0,10.91,19.0,12.9,16.41,11.88,14.29,20.0,13.75,13.33,11.9,2.33
3804630.0,16.36,14.0,20.0,19.69,16.73,20.0,20.0,19.38,14.72,16.67,7.33
21112712.0,8.18,13.78,14.84,17.95,20.0,15.0,15.33,20.0,13.33,18.1,12.0
28610440.0,17.27,20.0,16.77,17.74,18.18,19.64,20.0,19.38,14.72,16.19,11.67
