ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.33,Q. 2 /5.33,Q. 3 /5.33,Q. 4 /1.33,Q. 5 /4.00,Q. 6 /1.33,Q. 7 /1.33
3802135.0,Finished,12 October 2020  12:02 AM,12 October 2020  12:34 AM,32.77,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3803619.0,Finished,10 October 2020  4:05 PM,10 October 2020  5:07 PM,61.0,8.00,0.00,2.00,0.00,0.00,3.33,1.33,1.33
3802009.0,Finished,12 October 2020  3:02 AM,12 October 2020  4:46 AM,103.0,18.67,0.00,5.33,5.33,1.33,4.00,1.33,1.33
3804139.0,Finished,11 October 2020  10:36 PM,12 October 2020  12:07 AM,91.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3800432.0,Finished,11 October 2020  7:39 PM,11 October 2020  8:18 PM,38.17,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3876256.0,Finished,11 October 2020  9:50 PM,11 October 2020  10:23 PM,32.57,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
28502318.0,Finished,10 October 2020  8:30 PM,10 October 2020  10:10 PM,99.0,8.67,0.00,2.67,0.00,0.00,3.33,1.33,1.33
3802651.0,Finished,11 October 2020  6:35 PM,11 October 2020  6:39 PM,4.42,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3416871.0,Finished,5 October 2020  5:27 PM,5 October 2020  6:31 PM,63.0,9.00,0.00,2.67,0.00,1.33,3.33,1.33,0.33
3671634.0,Finished,11 October 2020  8:27 PM,11 October 2020  8:41 PM,13.8,17.33,1.33,5.33,2.67,1.33,4.00,1.33,1.33
3700108.0,Finished,11 October 2020  5:29 PM,11 October 2020  5:34 PM,5.53,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3410283.0,Finished,11 October 2020  10:32 PM,11 October 2020  10:52 PM,20.28,19.00,1.33,5.33,5.33,1.33,3.33,1.00,1.33
3802501.0,Finished,12 October 2020  12:41 AM,12 October 2020  1:34 AM,53.08,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3803112.0,Finished,11 October 2020  8:30 PM,11 October 2020  8:40 PM,9.73,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
28710978.0,Finished,11 October 2020  12:38 AM,11 October 2020  2:10 AM,92.0,9.78,0.00,2.67,0.00,0.44,4.00,1.33,1.33
3701404.0,Finished,11 October 2020  4:03 PM,11 October 2020  4:30 PM,26.43,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3700144.0,Finished,11 October 2020  4:24 PM,11 October 2020  5:03 PM,38.9,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3802734.0,Finished,11 October 2020  9:48 AM,11 October 2020  10:49 AM,61.0,11.33,1.33,2.67,0.00,1.33,4.00,1.00,1.00
3208353.0,Finished,10 October 2020  8:06 PM,10 October 2020  9:45 PM,99.0,14.67,1.33,5.33,0.00,1.33,4.00,1.33,1.33
3710439.0,Finished,12 October 2020  8:30 AM,12 October 2020  9:05 AM,35.52,10.67,0.00,2.67,0.00,1.33,4.00,1.33,1.33
3670543.0,Finished,11 October 2020  10:05 PM,11 October 2020  10:45 PM,39.58,12.00,1.33,2.67,0.00,1.33,4.00,1.33,1.33
3806311.0,Finished,11 October 2020  8:20 PM,11 October 2020  8:22 PM,1.65,17.33,1.33,5.33,2.67,1.33,4.00,1.33,1.33
3710493.0,Finished,11 October 2020  10:43 PM,11 October 2020  11:49 PM,66.0,14.67,1.33,5.33,0.00,1.33,4.00,1.33,1.33
3671340.0,Finished,11 October 2020  6:20 PM,11 October 2020  6:37 PM,17.38,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
28717430.0,Finished,11 October 2020  11:34 PM,12 October 2020  1:03 AM,89.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3677177.0,Finished,12 October 2020  8:58 AM,12 October 2020  10:22 AM,84.0,19.33,1.33,5.33,5.33,1.33,4.00,1.00,1.00
3670574.0,Finished,12 October 2020  2:08 AM,12 October 2020  2:26 AM,18.55,16.00,1.33,2.67,5.33,0.00,4.00,1.33,1.33
28616068.0,Finished,11 October 2020  8:32 PM,11 October 2020  9:56 PM,84.0,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3670795.0,Finished,9 October 2020  4:20 PM,9 October 2020  4:22 PM,2.38,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3801935.0,Finished,11 October 2020  8:09 PM,11 October 2020  8:27 PM,18.18,19.33,1.33,4.67,5.33,1.33,4.00,1.33,1.33
3680559.0,Finished,6 October 2020  2:32 PM,6 October 2020  3:32 PM,59.6,11.67,1.33,2.67,0.00,1.33,4.00,1.00,1.33
3680559.0,Finished,6 October 2020  3:35 PM,6 October 2020  3:38 PM,3.03,17.33,1.33,5.33,2.67,1.33,4.00,1.33,1.33
3680559.0,Finished,6 October 2020  3:39 PM,6 October 2020  3:40 PM,1.12,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3677063.0,Finished,11 October 2020  4:10 PM,11 October 2020  4:19 PM,8.57,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
3672216.0,Finished,9 October 2020  1:39 PM,9 October 2020  1:41 PM,2.82,19.33,1.33,4.67,5.33,1.33,4.00,1.33,1.33
3677850.0,Finished,11 October 2020  6:00 PM,11 October 2020  6:32 PM,32.0,11.33,1.33,2.67,0.00,1.33,4.00,1.00,1.00
3971113.0,Finished,12 October 2020  7:04 AM,12 October 2020  7:13 AM,9.58,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
28616582.0,Finished,12 October 2020  3:42 AM,12 October 2020  4:14 AM,32.08,20.00,1.33,5.33,5.33,1.33,4.00,1.33,1.33
28507548.0,Finished,11 October 2020  4:57 PM,11 October 2020  6:39 PM,101.0,4.67,0.00,0.00,0.00,0.00,2.33,1.00,1.33
3802696.0,Finished,10 October 2020  1:05 PM,10 October 2020  1:13 PM,8.58,4.33,0.00,0.00,0.00,0.00,2.00,1.00,1.33
28717951.0,Finished,11 October 2020  10:07 PM,11 October 2020  11:18 PM,70.0,18.33,1.33,5.33,5.33,0.00,4.00,1.00,1.33
