State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /6.36,Q. 2 /6.36,Q. 3 /5.45,Q. 4 /0.00,Q. 5 /1.82
Finished,19 October 2020  12:12 AM,19 October 2020  12:34 AM,21,20.00,6.36,6.36,5.45,-,1.82
Finished,12 October 2020  5:30 PM,12 October 2020  6:02 PM,32,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  9:59 PM,18 October 2020  11:45 PM,105,15.91,3.18,5.45,5.45,-,1.82
Finished,18 October 2020  10:22 PM,19 October 2020  12:03 AM,100,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  9:15 PM,18 October 2020  10:18 PM,63,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  12:22 AM,19 October 2020  12:53 AM,31,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  10:34 PM,18 October 2020  11:22 PM,48,18.18,4.55,6.36,5.45,-,1.82
Finished,19 October 2020  2:08 AM,19 October 2020  2:25 AM,18,8.41,2.05,2.73,3.64,-,0.00
Finished,18 October 2020  8:43 PM,18 October 2020  9:04 PM,21,20.00,6.36,6.36,5.45,-,1.82
Finished,12 October 2020  5:39 PM,12 October 2020  6:44 PM,64,15.00,2.27,5.45,5.45,-,1.82
Finished,18 October 2020  9:53 PM,18 October 2020  10:01 PM,8,19.09,5.45,6.36,5.45,-,1.82
Finished,18 October 2020  10:29 AM,18 October 2020  10:33 AM,4,14.77,3.86,3.64,5.45,-,1.82
Finished,18 October 2020  11:35 PM,18 October 2020  11:45 PM,10,20.00,6.36,6.36,5.45,-,1.82
Finished,19 October 2020  12:33 AM,19 October 2020  1:52 AM,79,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  11:16 PM,19 October 2020  12:07 AM,51,20.00,6.36,6.36,5.45,-,1.82
Finished,18 October 2020  10:18 AM,18 October 2020  11:21 AM,63,15.23,4.32,3.64,5.45,-,1.82
Finished,18 October 2020  8:17 PM,18 October 2020  9:08 PM,52,20.00,6.36,6.36,5.45,-,1.82
