State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /6.43,Q. 2 /7.14,Q. 3 /6.43
Finished,2 November 2020  1:45 AM,2 November 2020  2:18 AM,33,19.64,6.07,7.14,6.43
Finished,26 October 2020  4:44 PM,26 October 2020  5:17 PM,33,17.14,5.00,6.43,5.71
Finished,2 November 2020  8:06 AM,2 November 2020  8:27 AM,20,18.21,5.36,6.43,6.43
Finished,1 November 2020  9:47 PM,1 November 2020  11:40 PM,112,19.29,6.07,6.79,6.43
Finished,2 November 2020  12:29 AM,2 November 2020  12:35 AM,6,18.21,4.64,7.14,6.43
Finished,2 November 2020  9:01 AM,2 November 2020  9:28 AM,27,19.64,6.07,7.14,6.43
Finished,1 November 2020  10:16 PM,1 November 2020  11:06 PM,50,13.93,5.00,3.57,5.36
Finished,2 November 2020  12:27 AM,2 November 2020  12:52 AM,25,13.93,5.00,3.21,5.71
Finished,1 November 2020  6:13 PM,1 November 2020  7:56 PM,102,18.57,5.71,6.43,6.43
Finished,26 October 2020  3:00 PM,26 October 2020  3:51 PM,51,16.79,6.07,4.29,6.43
Finished,1 November 2020  11:08 PM,1 November 2020  11:12 PM,4,17.50,4.64,6.43,6.43
Finished,31 October 2020  5:51 PM,31 October 2020  5:58 PM,7,15.71,5.71,4.29,5.71
Finished,2 November 2020  12:35 AM,2 November 2020  1:04 AM,30,19.29,5.71,7.14,6.43
Finished,2 November 2020  5:37 AM,2 November 2020  6:36 AM,59,19.64,6.07,7.14,6.43
Finished,1 November 2020  11:08 PM,1 November 2020  11:17 PM,8,19.64,6.07,7.14,6.43
Finished,1 November 2020  10:00 AM,1 November 2020  10:55 AM,55,17.50,6.07,5.71,5.71
Finished,2 November 2020  12:41 AM,2 November 2020  12:50 AM,9,18.57,5.00,7.14,6.43
Finished,1 November 2020  7:28 PM,1 November 2020  7:49 PM,21,18.21,4.64,7.14,6.43
Finished,2 November 2020  8:59 AM,2 November 2020  10:40 AM,101,18.21,6.07,6.79,5.36
Finished,1 November 2020  3:19 PM,1 November 2020  3:41 PM,22,17.14,5.00,5.71,6.43
Finished,1 November 2020  7:08 PM,1 November 2020  8:10 PM,61,17.86,4.64,6.79,6.43
Finished,2 November 2020  12:51 AM,2 November 2020  1:09 AM,18,13.57,3.21,4.29,6.07
Finished,30 October 2020  3:29 PM,30 October 2020  3:48 PM,19,12.50,5.00,3.57,3.93
Finished,1 November 2020  6:00 PM,1 November 2020  7:06 PM,65,14.64,4.64,3.57,6.43
Finished,1 November 2020  11:32 PM,2 November 2020  12:34 AM,62,18.21,6.07,6.43,5.71
Finished,1 November 2020  10:52 PM,1 November 2020  11:05 PM,13,18.57,5.71,6.43,6.43
Finished,1 November 2020  8:15 PM,1 November 2020  8:36 PM,21,17.86,4.29,7.14,6.43
Finished,2 November 2020  8:34 AM,2 November 2020  9:46 AM,72,12.86,4.29,2.86,5.71
Finished,2 November 2020  3:52 AM,2 November 2020  4:08 AM,16,18.21,5.00,6.79,6.43
Finished,1 November 2020  8:16 PM,1 November 2020  8:51 PM,36,18.21,4.64,7.14,6.43
Finished,1 November 2020  4:05 PM,1 November 2020  4:15 PM,9,17.86,5.00,7.14,5.71
Finished,26 October 2020  2:10 PM,26 October 2020  3:00 PM,49,13.57,4.64,2.50,6.43
Finished,27 October 2020  1:55 PM,27 October 2020  2:01 PM,7,13.21,5.00,2.50,5.71
Finished,1 November 2020  8:40 PM,1 November 2020  9:20 PM,40,18.57,5.00,7.14,6.43
Finished,1 November 2020  8:41 PM,1 November 2020  8:45 PM,3,17.50,4.64,7.14,5.71
Finished,1 November 2020  4:18 PM,1 November 2020  4:36 PM,18,14.64,5.00,3.93,5.71
Finished,2 November 2020  12:50 AM,2 November 2020  1:14 AM,24,19.64,6.07,7.14,6.43
Finished,1 November 2020  11:31 PM,1 November 2020  11:42 PM,11,18.21,4.64,7.14,6.43
Finished,1 November 2020  5:16 PM,1 November 2020  5:35 PM,19,15.00,5.00,4.29,5.71
Finished,1 November 2020  2:25 PM,1 November 2020  3:00 PM,35,15.00,3.93,5.36,5.71
Finished,1 November 2020  5:12 PM,1 November 2020  6:32 PM,80,18.93,6.07,6.43,6.43
Finished,2 November 2020  1:10 AM,2 November 2020  1:16 AM,6,18.21,5.00,6.79,6.43
Finished,1 November 2020  3:35 PM,1 November 2020  4:08 PM,33,14.64,4.64,3.57,6.43
Finished,1 November 2020  5:27 PM,1 November 2020  5:34 PM,7,12.14,4.29,3.57,4.29
Finished,2 November 2020  9:01 AM,2 November 2020  9:32 AM,30,13.93,5.00,3.21,5.71
Finished,26 October 2020  2:09 PM,26 October 2020  2:59 PM,50,13.57,4.64,2.50,6.43
Finished,2 November 2020  1:20 AM,2 November 2020  1:47 AM,26,18.57,5.71,6.43,6.43
Finished,1 November 2020  5:23 PM,1 November 2020  6:56 PM,93,15.71,5.00,4.29,6.43
Finished,1 November 2020  11:39 PM,2 November 2020  12:11 AM,32,17.86,5.00,7.14,5.71
Finished,2 November 2020  10:09 AM,2 November 2020  10:43 AM,34,15.71,5.71,4.29,5.71
Finished,2 November 2020  8:38 AM,2 November 2020  8:57 AM,19,13.57,5.00,2.86,5.71
Finished,1 November 2020  8:46 PM,1 November 2020  9:40 PM,55,14.29,4.64,4.29,5.36
Finished,1 November 2020  9:26 AM,1 November 2020  10:10 AM,44,13.93,4.64,3.57,5.71
Finished,2 November 2020  4:26 AM,2 November 2020  5:36 AM,70,15.00,5.00,3.57,6.43
Finished,31 October 2020  7:05 PM,31 October 2020  7:19 PM,14,17.86,5.00,7.14,5.71
Finished,30 October 2020  4:18 PM,30 October 2020  4:59 PM,41,15.36,5.36,3.57,6.43
Finished,2 November 2020  8:53 AM,2 November 2020  10:01 AM,67,18.21,4.64,7.14,6.43
Finished,27 October 2020  3:46 PM,27 October 2020  4:24 PM,38,13.57,4.64,3.21,5.71
Finished,26 October 2020  2:10 PM,26 October 2020  2:59 PM,50,13.57,4.64,2.50,6.43
Finished,27 October 2020  1:55 PM,27 October 2020  2:01 PM,7,13.93,5.00,2.50,6.43
Finished,1 November 2020  4:05 PM,1 November 2020  5:10 PM,64,16.07,6.07,4.29,5.71
Finished,2 November 2020  10:35 AM,2 November 2020  10:42 AM,7,19.64,6.07,7.14,6.43
Finished,2 November 2020  8:32 AM,2 November 2020  9:50 AM,78,17.14,4.64,6.79,5.71
Finished,26 October 2020  2:45 PM,26 October 2020  3:19 PM,34,13.93,4.29,3.57,6.07
