State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /4.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /8.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /3.00,Q. 8 /1.00
Finished,7 December 2020  12:22 AM,7 December 2020  12:29 AM,6 mins 52 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,5 December 2020  5:38 PM,5 December 2020  6:51 PM,1 hour 12 mins,8.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00
Finished,24 January 2021  6:04 PM,24 January 2021  6:13 PM,8 mins 33 secs,20.00,4.00,1.00,1.00,8.00,1.00,1.00,3.00,1.00
Finished,6 December 2020  7:19 PM,6 December 2020  8:31 PM,1 hour 12 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,3 December 2020  4:06 PM,3 December 2020  5:36 PM,1 hour 29 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:52 PM,6 December 2020  11:07 PM,1 hour 14 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:44 PM,6 December 2020  11:50 PM,1 hour 6 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  10:27 AM,7 December 2020  10:32 AM,4 mins 43 secs,8.50,3.50,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:00 AM,6 December 2020  9:07 AM,6 mins 46 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,30 November 2020  2:56 PM,30 November 2020  4:23 PM,1 hour 26 mins,6.00,3.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
Finished,6 December 2020  9:07 PM,6 December 2020  9:09 PM,1 min 52 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,1 December 2020  12:22 PM,1 December 2020  1:01 PM,38 mins 28 secs,7.00,4.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
Finished,6 December 2020  10:53 PM,6 December 2020  11:05 PM,12 mins 10 secs,8.50,3.50,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  1:04 AM,7 December 2020  1:49 AM,44 mins 58 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  1:22 AM,7 December 2020  1:33 AM,10 mins 50 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:47 AM,6 December 2020  12:47 PM,1 hour 59 mins,12.00,2.00,0.00,0.00,8.00,1.00,1.00,0.00,0.00
Finished,6 December 2020  11:38 PM,7 December 2020  12:43 AM,1 hour 4 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  8:37 PM,6 December 2020  10:21 PM,1 hour 44 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  12:06 AM,7 December 2020  1:49 AM,1 hour 42 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  2:17 AM,7 December 2020  4:06 AM,1 hour 48 mins,12.00,4.00,1.00,1.00,0.00,1.00,1.00,3.00,1.00
Finished,6 December 2020  8:26 PM,6 December 2020  8:54 PM,27 mins 43 secs,7.00,2.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  12:09 AM,6 December 2020  12:12 AM,3 mins 18 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  6:34 AM,7 December 2020  7:48 AM,1 hour 13 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:12 AM,6 December 2020  11:27 AM,1 hour 14 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:33 PM,6 December 2020  11:43 PM,1 hour 10 mins,16.75,3.75,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  12:51 PM,6 December 2020  2:39 PM,1 hour 48 mins,4.50,2.50,1.00,0.00,0.00,0.00,0.00,0.00,1.00
Finished,6 December 2020  9:47 PM,6 December 2020  10:39 PM,51 mins 47 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  2:20 PM,6 December 2020  3:35 PM,1 hour 14 mins,3.00,-,0.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,6 December 2020  11:59 PM,7 December 2020  12:52 AM,52 mins 53 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,30 November 2020  2:02 PM,30 November 2020  3:28 PM,1 hour 25 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:57 PM,6 December 2020  10:00 PM,2 mins 54 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:59 PM,6 December 2020  10:01 PM,1 min 54 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,5 December 2020  2:14 PM,5 December 2020  2:37 PM,23 mins 5 secs,7.00,4.00,1.00,1.00,-,0.00,0.00,-,1.00
Finished,7 December 2020  12:33 AM,7 December 2020  1:01 AM,28 mins 27 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  6:02 AM,7 December 2020  6:08 AM,5 mins 32 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  7:59 PM,6 December 2020  8:27 PM,28 mins 10 secs,1.50,0.50,0.00,0.00,0.00,1.00,0.00,0.00,0.00
Finished,6 December 2020  7:58 PM,6 December 2020  8:15 PM,16 mins 44 secs,5.00,2.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  3:16 AM,7 December 2020  3:23 AM,6 mins 52 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  6:40 PM,6 December 2020  8:04 PM,1 hour 24 mins,7.00,2.00,1.00,1.00,-,1.00,1.00,0.00,1.00
Finished,6 December 2020  5:59 PM,6 December 2020  7:28 PM,1 hour 29 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  12:51 PM,6 December 2020  1:00 PM,9 mins 3 secs,3.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00
Finished,6 December 2020  11:53 AM,6 December 2020  12:50 PM,57 mins 23 secs,7.00,2.00,1.00,1.00,-,1.00,1.00,0.00,1.00
Finished,30 November 2020  2:03 PM,30 November 2020  3:28 PM,1 hour 25 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  1:26 AM,7 December 2020  1:35 AM,9 mins 2 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:54 AM,6 December 2020  12:14 PM,1 hour 19 mins,14.00,2.00,1.00,1.00,8.00,1.00,1.00,0.00,0.00
Finished,6 December 2020  11:43 PM,7 December 2020  12:16 AM,33 mins 22 secs,16.00,4.00,1.00,1.00,8.00,1.00,0.00,0.00,1.00
Finished,7 December 2020  6:16 AM,7 December 2020  8:06 AM,1 hour 49 mins,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Finished,7 December 2020  12:18 AM,7 December 2020  12:40 AM,21 mins 27 secs,1.00,-,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Finished,6 December 2020  5:34 PM,6 December 2020  6:58 PM,1 hour 24 mins,9.00,4.00,1.00,1.00,-,1.00,1.00,0.00,1.00
Finished,6 December 2020  7:33 PM,6 December 2020  7:59 PM,25 mins 37 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,1 December 2020  12:47 AM,1 December 2020  1:40 AM,53 mins 10 secs,7.00,2.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  8:17 PM,6 December 2020  9:47 PM,1 hour 29 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:23 AM,6 December 2020  12:14 PM,1 hour 50 mins,8.00,4.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00
Finished,6 December 2020  8:12 PM,6 December 2020  8:23 PM,10 mins 47 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,3 December 2020  11:40 AM,3 December 2020  12:28 PM,47 mins 45 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,30 November 2020  2:03 PM,30 November 2020  3:28 PM,1 hour 25 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  12:40 AM,7 December 2020  1:39 AM,59 mins 24 secs,8.00,4.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,7 December 2020  5:16 AM,7 December 2020  5:23 AM,7 mins 29 secs,16.75,3.75,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:15 PM,6 December 2020  10:01 PM,46 mins 39 secs,15.00,2.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:53 PM,6 December 2020  10:36 PM,43 mins 3 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:17 PM,6 December 2020  10:47 PM,29 mins 21 secs,14.00,2.00,1.00,1.00,8.00,1.00,0.00,0.00,1.00
Finished,6 December 2020  1:03 PM,6 December 2020  1:29 PM,25 mins 25 secs,7.00,2.00,1.00,1.00,-,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:06 PM,6 December 2020  11:06 PM,1 hour 59 mins,14.75,1.75,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  11:09 PM,7 December 2020  12:40 AM,1 hour 30 mins,15.00,2.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  7:58 PM,6 December 2020  8:59 PM,1 hour,7.50,3.50,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,6 December 2020  8:18 PM,6 December 2020  10:10 PM,1 hour 52 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  11:36 PM,7 December 2020  12:23 AM,47 mins 42 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  8:30 PM,6 December 2020  8:55 PM,24 mins 54 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  8:20 PM,6 December 2020  9:54 PM,1 hour 33 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  8:21 AM,7 December 2020  8:29 AM,8 mins 41 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:57 PM,6 December 2020  11:02 PM,5 mins 13 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:25 PM,6 December 2020  9:29 PM,3 mins 40 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:18 PM,6 December 2020  10:47 PM,29 mins 5 secs,13.00,1.00,1.00,1.00,8.00,1.00,0.00,0.00,1.00
Finished,7 December 2020  8:45 AM,7 December 2020  10:31 AM,1 hour 46 mins,15.00,2.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  5:06 AM,7 December 2020  6:24 AM,1 hour 18 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  7:50 PM,6 December 2020  8:29 PM,39 mins 36 secs,5.75,1.75,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,2 December 2020  11:07 AM,2 December 2020  11:16 AM,9 mins 49 secs,0.00,-,-,-,-,-,-,-,-
Finished,5 December 2020  5:59 PM,5 December 2020  6:53 PM,54 mins 9 secs,7.00,4.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
Finished,7 December 2020  12:21 AM,7 December 2020  12:48 AM,27 mins 2 secs,8.00,4.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,6 December 2020  10:36 PM,6 December 2020  11:02 PM,26 mins 25 secs,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  12:31 AM,7 December 2020  1:01 AM,29 mins 48 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:35 PM,6 December 2020  10:03 PM,27 mins 36 secs,15.00,2.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  8:29 AM,7 December 2020  10:15 AM,1 hour 45 mins,8.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00
Finished,5 December 2020  7:48 PM,5 December 2020  9:10 PM,1 hour 22 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,2 December 2020  10:36 AM,2 December 2020  11:06 AM,29 mins 44 secs,7.00,2.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  11:26 PM,7 December 2020  12:48 AM,1 hour 22 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,5 December 2020  1:21 PM,5 December 2020  2:47 PM,1 hour 26 mins,7.00,3.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,7 December 2020  12:12 AM,7 December 2020  12:39 AM,27 mins 22 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  1:39 PM,6 December 2020  1:44 PM,4 mins 46 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  6:19 PM,6 December 2020  7:55 PM,1 hour 36 mins,7.00,4.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00
Finished,7 December 2020  2:36 AM,7 December 2020  4:23 AM,1 hour 47 mins,4.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00
Finished,6 December 2020  9:23 PM,6 December 2020  11:12 PM,1 hour 49 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  11:49 PM,7 December 2020  12:34 AM,45 mins 6 secs,16.00,4.00,1.00,1.00,8.00,0.00,1.00,0.00,1.00
Finished,6 December 2020  6:57 PM,6 December 2020  7:49 PM,51 mins 41 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  11:17 PM,7 December 2020  1:17 AM,1 hour 59 mins,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:18 PM,6 December 2020  10:47 PM,28 mins 54 secs,14.00,2.00,1.00,1.00,8.00,1.00,0.00,0.00,1.00
Finished,5 December 2020  6:21 PM,5 December 2020  7:53 PM,1 hour 32 mins,9.00,4.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00
Finished,7 December 2020  12:11 AM,7 December 2020  12:45 AM,34 mins 17 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  9:07 PM,6 December 2020  9:11 PM,3 mins 39 secs,8.00,4.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00
Finished,6 December 2020  7:47 PM,6 December 2020  9:33 PM,1 hour 45 mins,6.00,2.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00
Finished,6 December 2020  10:12 PM,6 December 2020  10:41 PM,29 mins 14 secs,17.00,4.00,1.00,1.00,8.00,1.00,1.00,0.00,1.00
Finished,6 December 2020  10:23 PM,6 December 2020  11:47 PM,1 hour 24 mins,4.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00
