ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.00,Q. 2 /0.35,Q. 3 /2.11,Q. 4 /0.35,Q. 5 /4.21,Q. 6 /0.35,Q. 7 /4.91,Q. 8 /1.05,Q. 9 /3.16,Q. 10 /3.51
3802135.0,Finished,2 October 2020  3:59 PM,2 October 2020  4:43 PM,43.88,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3803619.0,Finished,28 September 2020  4:46 PM,28 September 2020  5:34 PM,47.3,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3802009.0,Finished,28 September 2020  4:40 PM,28 September 2020  5:48 PM,68.0,19.33,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.16
3876256.0,Finished,2 October 2020  2:03 PM,2 October 2020  2:30 PM,27.02,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28502318.0,Finished,30 September 2020  10:54 AM,30 September 2020  12:29 PM,94.0,19.30,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
3802651.0,Finished,2 October 2020  10:14 AM,2 October 2020  10:30 AM,15.3,19.30,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.81
3416871.0,Finished,30 September 2020  10:51 AM,30 September 2020  11:51 AM,60.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3671634.0,Finished,28 September 2020  4:52 PM,28 September 2020  5:32 PM,39.82,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
3700108.0,Finished,28 September 2020  4:23 PM,28 September 2020  5:24 PM,61.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3802501.0,Finished,1 October 2020  11:09 AM,1 October 2020  12:13 PM,63.0,19.30,-,0.35,2.11,0.35,4.21,0.35,4.21,1.05,3.16,3.51
3803112.0,Finished,2 October 2020  3:58 PM,2 October 2020  4:43 PM,44.9,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28710978.0,Finished,28 September 2020  4:30 PM,28 September 2020  5:28 PM,58.07,18.26,-,0.26,2.11,0.35,4.21,0.35,4.91,1.05,2.21,2.81
3701404.0,Finished,28 September 2020  4:37 PM,28 September 2020  5:29 PM,51.75,16.53,-,0.35,0.70,0.35,2.81,0.35,4.91,1.05,2.84,3.16
3700144.0,Finished,28 September 2020  4:35 PM,28 September 2020  5:35 PM,59.88,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.16
3802734.0,Finished,30 September 2020  10:55 AM,30 September 2020  11:59 AM,63.0,19.30,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.16
3208353.0,Finished,28 September 2020  4:17 PM,28 September 2020  5:25 PM,68.0,19.74,-,0.35,2.11,0.26,4.21,0.18,4.91,1.05,3.16,3.51
3710439.0,Finished,30 September 2020  11:00 AM,30 September 2020  11:54 AM,54.15,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3670543.0,Finished,30 September 2020  10:57 AM,30 September 2020  11:54 AM,56.77,19.30,-,0.35,2.11,0.35,4.21,0.35,4.21,1.05,3.16,3.51
3806311.0,Finished,2 October 2020  4:00 PM,2 October 2020  4:42 PM,42.38,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
3671340.0,Finished,2 October 2020  11:02 AM,2 October 2020  12:15 PM,73.0,19.65,-,0.35,1.75,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28717430.0,Finished,1 October 2020  11:15 AM,1 October 2020  12:14 PM,58.65,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3677177.0,Finished,2 October 2020  3:31 PM,2 October 2020  5:02 PM,91.0,19.30,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
3670574.0,Finished,28 September 2020  1:55 PM,28 September 2020  2:26 PM,30.97,18.95,-,0.35,2.11,0.35,4.21,0.35,3.86,1.05,3.16,3.51
28616068.0,Finished,1 October 2020  8:11 PM,1 October 2020  9:14 PM,62.0,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3670795.0,Finished,2 October 2020  12:16 PM,2 October 2020  12:28 PM,11.92,19.47,-,0.26,2.11,0.26,4.21,0.35,4.91,0.70,3.16,3.51
3801935.0,Finished,30 September 2020  11:08 AM,30 September 2020  12:06 PM,58.2,19.68,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.51
3680559.0,Finished,2 October 2020  4:01 PM,2 October 2020  4:50 PM,48.97,20.00,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3672216.0,Finished,2 October 2020  4:29 PM,2 October 2020  4:59 PM,29.65,19.30,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
3677850.0,Finished,28 September 2020  4:31 PM,28 September 2020  5:23 PM,52.05,17.54,-,0.35,2.11,0.35,4.21,0.35,3.86,1.05,3.16,2.11
3971113.0,Finished,2 October 2020  11:20 AM,2 October 2020  12:22 PM,61.0,19.65,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.16
28616582.0,Finished,29 September 2020  11:22 PM,30 September 2020  12:16 AM,53.38,19.33,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,3.16
28507548.0,Finished,2 October 2020  3:45 PM,2 October 2020  5:13 PM,88.0,14.74,-,0.35,1.05,0.35,2.11,0.35,2.81,1.05,3.16,3.51
3802696.0,Finished,30 September 2020  10:56 AM,30 September 2020  12:02 PM,65.0,16.53,-,0.35,2.11,0.35,4.21,0.35,4.21,0.35,2.84,1.75
3521310.0,Finished,1 October 2020  11:03 AM,1 October 2020  11:57 AM,53.62,18.60,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
3700288.0,Finished,2 October 2020  3:59 PM,2 October 2020  4:46 PM,46.55,18.98,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,2.84,3.16
3706553.0,Finished,2 October 2020  11:12 AM,2 October 2020  12:22 PM,69.0,18.25,-,0.35,2.11,0.35,2.81,0.35,4.91,1.05,3.16,3.16
3708951.0,Finished,30 September 2020  10:54 AM,30 September 2020  12:12 PM,77.0,19.30,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
