ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.05,Q. 2 /1.58,Q. 3 /0.53,Q. 4 /0.53,Q. 5 /0.53,Q. 6 /1.58,Q. 7 /0.53,Q. 8 /0.53,Q. 9 /1.58,Q. 10 /1.05,Q. 11 /3.68,Q. 12 /0.53,Q. 13 /4.21,Q. 14 /2.11
3802135.0,Finished,11 December 2020  5:01 PM,11 December 2020  5:56 PM,55.67,13.16,0.53,1.05,0.53,0.53,0.00,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3803619.0,Finished,7 December 2020  4:35 PM,7 December 2020  5:34 PM,59.32,16.84,1.05,0.00,0.53,0.53,0.53,1.05,0.53,0.53,1.58,1.05,3.68,0.53,3.16,2.11
3802009.0,Finished,14 December 2020  3:25 PM,14 December 2020  3:29 PM,4.45,9.47,0.00,0.00,0.00,0.00,0.53,1.05,0.00,0.53,1.05,1.05,-,0.53,2.63,2.11
3804139.0,Finished,11 December 2020  4:03 PM,11 December 2020  4:57 PM,53.97,14.74,1.05,0.53,0.53,0.53,0.53,1.58,0.53,0.53,1.05,1.05,3.68,0.53,2.63,-
3804139.0,Finished,11 December 2020  4:57 PM,11 December 2020  5:40 PM,43.5,17.37,1.05,1.58,0.53,0.53,0.53,1.58,0.53,0.53,1.05,1.05,3.68,0.53,3.16,1.05
3800432.0,Finished,13 December 2020  2:05 PM,13 December 2020  3:01 PM,55.7,14.21,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.58,1.05,2.63,0.53,2.63,0.00
3876256.0,Finished,11 December 2020  11:54 AM,11 December 2020  12:58 PM,64.0,14.21,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
28502318.0,Finished,9 December 2020  11:34 AM,9 December 2020  12:40 PM,66.0,17.89,0.53,1.58,0.53,0.53,0.53,1.58,0.53,0.53,1.05,1.05,3.16,0.53,3.68,2.11
3702388.0,Finished,9 December 2020  10:47 AM,9 December 2020  12:32 PM,104.0,15.79,1.05,1.05,0.53,0.00,0.53,1.58,0.00,-,1.05,1.05,2.63,0.53,3.68,2.11
3802651.0,Finished,11 December 2020  11:07 AM,11 December 2020  12:09 PM,61.0,14.21,1.05,1.05,0.53,0.53,0.53,1.05,0.53,0.53,1.05,1.05,3.16,0.53,2.63,0.00
3416871.0,Finished,9 December 2020  10:51 AM,9 December 2020  12:27 PM,96.0,15.79,1.05,1.58,0.53,0.53,0.53,1.58,0.53,0.53,1.58,0.00,3.68,-,2.63,1.05
3700108.0,Finished,9 December 2020  4:03 PM,9 December 2020  4:42 PM,38.57,16.32,1.05,1.58,0.53,0.53,0.00,1.05,0.53,0.53,1.58,1.05,3.16,0.53,2.11,2.11
