ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /3.33,Q. 2 /4.67,Q. 3 /1.33,Q. 4 /2.67,Q. 5 /3.33,Q. 6 /4.67
3802135.0,Finished,8 January 2021  2:43 PM,8 January 2021  3:02 PM,18.93,14.44,3.33,0.67,0.00,2.67,3.33,4.44
3803619.0,Finished,4 January 2021  3:52 PM,4 January 2021  5:01 PM,68.0,19.48,3.33,4.67,1.33,2.37,3.33,4.44
3804139.0,Finished,8 January 2021  4:04 PM,8 January 2021  4:52 PM,48.45,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3800432.0,Finished,8 January 2021  2:07 PM,8 January 2021  2:35 PM,28.13,18.81,3.33,4.67,1.33,2.37,3.33,3.78
3876256.0,Finished,8 January 2021  12:16 PM,8 January 2021  1:29 PM,73.0,19.78,3.33,4.67,1.33,2.67,3.33,4.44
28502318.0,Finished,7 January 2021  11:08 PM,8 January 2021  12:09 AM,61.0,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3702388.0,Finished,6 January 2021  10:45 AM,6 January 2021  11:54 AM,68.0,16.44,3.33,4.00,0.67,2.67,3.33,2.44
3802651.0,Finished,8 January 2021  10:50 AM,8 January 2021  11:38 AM,48.48,18.44,3.33,4.00,1.33,2.67,2.67,4.44
3416871.0,Finished,6 January 2021  10:46 AM,6 January 2021  11:44 AM,58.37,15.78,3.33,2.00,0.00,2.67,3.33,4.44
3700108.0,Finished,6 January 2021  10:47 AM,6 January 2021  11:44 AM,57.52,15.78,3.33,2.00,0.00,2.67,3.33,4.44
3410283.0,Finished,8 January 2021  4:28 PM,8 January 2021  5:14 PM,45.18,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3802501.0,Finished,18 January 2021  10:38 AM,18 January 2021  11:21 AM,43.8,19.56,3.33,4.67,1.33,2.67,3.33,4.22
3803112.0,Finished,8 January 2021  3:56 PM,8 January 2021  4:04 PM,8.4,19.78,3.33,4.67,1.33,2.67,3.33,4.44
28710978.0,Finished,4 January 2021  4:03 PM,4 January 2021  5:27 PM,84.0,13.00,3.00,2.00,0.00,2.67,3.33,2.00
3701404.0,Finished,8 January 2021  4:01 PM,8 January 2021  4:19 PM,17.58,17.33,3.33,2.00,1.33,2.67,3.33,4.67
3700144.0,Finished,4 January 2021  4:12 PM,4 January 2021  5:25 PM,72.0,14.15,3.33,0.67,0.00,2.37,3.33,4.44
3804929.0,Finished,8 January 2021  2:43 PM,8 January 2021  4:08 PM,85.0,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3802734.0,Finished,6 January 2021  10:46 AM,6 January 2021  11:53 AM,66.0,16.15,3.33,4.00,0.00,2.37,2.00,4.44
3208353.0,Finished,8 January 2021  1:34 PM,8 January 2021  3:19 PM,105.0,20.00,3.33,4.67,1.33,2.67,3.33,4.67
3710439.0,Finished,6 January 2021  10:47 AM,6 January 2021  11:43 AM,55.88,17.78,3.33,4.67,1.33,2.67,2.67,3.11
3670543.0,Finished,6 January 2021  10:58 AM,6 January 2021  11:36 AM,38.63,19.48,3.33,4.67,1.33,2.37,3.33,4.44
3806311.0,Finished,8 January 2021  4:04 PM,8 January 2021  5:13 PM,68.0,16.15,3.33,2.00,1.33,2.37,2.67,4.44
3710493.0,Finished,8 January 2021  4:14 PM,8 January 2021  4:45 PM,31.58,20.00,3.33,4.67,1.33,2.67,3.33,4.67
3671340.0,Finished,8 January 2021  10:46 AM,8 January 2021  11:38 AM,52.9,19.70,3.33,4.67,1.33,2.37,3.33,4.67
28717430.0,Finished,18 January 2021  10:30 AM,18 January 2021  11:59 AM,88.0,19.67,3.00,4.67,1.33,2.67,3.33,4.67
3677177.0,Finished,8 January 2021  3:51 PM,8 January 2021  5:23 PM,92.0,16.81,3.33,4.00,1.33,2.37,2.00,3.78
3670574.0,Finished,8 January 2021  10:15 AM,8 January 2021  11:11 AM,55.85,19.11,3.33,4.67,0.67,2.67,3.33,4.44
28616068.0,Finished,8 January 2021  4:00 PM,8 January 2021  5:34 PM,93.0,17.11,3.33,2.67,0.67,2.67,3.33,4.44
3670795.0,Finished,8 January 2021  10:49 AM,8 January 2021  11:56 AM,66.0,17.37,3.00,2.67,1.33,2.37,3.33,4.67
3801935.0,Finished,8 January 2021  2:15 PM,8 January 2021  4:05 PM,109.0,18.78,3.00,4.67,1.33,2.67,3.33,3.78
3680559.0,Finished,8 January 2021  4:04 PM,8 January 2021  5:13 PM,68.0,13.78,3.33,2.00,0.00,2.67,3.33,2.44
3677063.0,Finished,8 January 2021  4:38 PM,8 January 2021  4:46 PM,7.87,19.48,3.33,4.67,1.33,2.37,3.33,4.44
3672216.0,Finished,8 January 2021  3:17 PM,8 January 2021  3:23 PM,6.22,19.04,3.33,4.67,0.67,2.37,3.33,4.67
3971113.0,Finished,8 January 2021  4:37 PM,8 January 2021  5:12 PM,35.52,20.00,3.33,4.67,1.33,2.67,3.33,4.67
28616582.0,Finished,8 January 2021  6:33 AM,8 January 2021  6:38 AM,5.45,15.70,3.33,2.00,0.00,2.37,3.33,4.67
28507548.0,Finished,4 January 2021  4:01 PM,4 January 2021  4:56 PM,55.28,13.48,3.33,0.67,1.33,2.37,3.33,2.44
28717951.0,Finished,8 January 2021  12:04 PM,8 January 2021  1:11 PM,66.0,19.33,3.33,4.67,1.33,2.67,3.33,4.00
3803521.0,Finished,8 January 2021  4:00 PM,8 January 2021  4:55 PM,54.77,19.48,3.33,4.67,1.33,2.37,3.33,4.44
3700288.0,Finished,8 January 2021  5:06 PM,8 January 2021  5:23 PM,17.33,12.81,2.00,4.67,1.33,1.48,3.33,-
3810883.0,Finished,8 January 2021  4:04 PM,8 January 2021  5:13 PM,69.0,12.22,3.33,0.67,0.00,2.67,3.33,2.22
3802927.0,Finished,8 January 2021  4:43 PM,8 January 2021  4:55 PM,11.83,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3706553.0,Finished,8 January 2021  10:51 AM,8 January 2021  12:14 PM,83.0,14.81,2.67,2.67,0.67,2.37,2.00,4.44
3708951.0,Finished,6 January 2021  10:51 AM,6 January 2021  12:34 PM,102.0,15.70,3.33,4.67,0.67,2.37,2.00,2.67
28720090.0,Finished,8 January 2021  4:22 PM,8 January 2021  5:43 PM,81.0,11.74,3.00,2.67,0.00,2.07,1.33,2.67
3302425.0,Finished,8 January 2021  2:57 PM,8 January 2021  3:53 PM,56.15,18.33,3.00,4.00,1.33,2.67,2.67,4.67
3801875.0,Finished,8 January 2021  3:59 PM,8 January 2021  5:09 PM,70.0,19.78,3.33,4.67,1.33,2.67,3.33,4.44
3800455.0,Finished,6 January 2021  10:53 AM,6 January 2021  12:03 PM,69.0,19.33,3.33,4.67,1.33,2.67,3.33,4.00
3700584.0,Finished,8 January 2021  3:14 PM,8 January 2021  3:39 PM,24.35,19.70,3.33,4.67,1.33,2.37,3.33,4.67
