ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67
3802135.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,10.24,5.70,4.54,0.00
3803619.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,7.72,2.09,3.96,1.67
3802009.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,10.20,4.74,4.35,1.11
3804139.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,12.50,6.02,4.25,2.22
3800432.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,14.17,5.62,5.22,3.33
28625228.0,Finished,16 November 2020  10:46 AM,16 November 2020  12:10 PM,84.0,0.00,-,-,-
3876256.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,12.00,6.59,3.19,2.22
28502318.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,10.89,4.90,3.77,2.22
3702388.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,8.13,5.54,2.03,0.56
3802651.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,11.71,5.38,5.22,1.11
3416871.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:27 PM,102.0,5.87,4.90,0.97,0.00
3671634.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,10.35,4.82,3.86,1.67
3700108.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,9.35,4.98,2.71,1.67
3410283.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,12.31,4.58,5.51,2.22
3802501.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,14.31,6.51,5.02,2.78
3803112.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,13.18,6.59,4.93,1.67
28710978.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,16.32,6.35,6.09,3.89
3701404.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,11.58,4.34,5.02,2.22
3700144.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,15.57,5.86,4.15,5.56
3804929.0,Finished,16 November 2020  10:46 AM,16 November 2020  12:31 PM,105.0,7.37,5.70,0.00,1.67
3802734.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:28 PM,102.0,13.46,5.94,4.73,2.78
3208353.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,11.76,6.67,2.32,2.78
3710439.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,10.43,3.45,5.31,1.67
3670543.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:24 PM,99.0,13.45,6.35,3.77,3.33
3806311.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,14.38,6.02,5.02,3.33
3710493.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,8.44,5.06,3.38,-
3671340.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:28 PM,103.0,10.15,4.98,4.06,1.11
28717430.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,10.94,5.62,5.31,0.00
3677177.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,10.68,4.98,3.48,2.22
3670574.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:06 PM,80.0,13.16,6.67,4.83,1.67
28616068.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,13.04,6.35,5.02,1.67
3670795.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,10.87,5.94,2.71,2.22
3801935.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,6.95,3.86,0.87,2.22
3680559.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:27 PM,102.0,12.87,6.67,4.54,1.67
3677063.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,11.95,6.59,4.25,1.11
3672216.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,14.26,6.27,5.22,2.78
3677850.0,Finished,16 November 2020  10:50 AM,16 November 2020  12:35 PM,105.0,14.24,6.02,5.99,2.22
3971113.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,10.25,5.06,2.42,2.78
28616582.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:27 PM,102.0,13.40,6.35,4.83,2.22
28507548.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,9.21,5.06,4.15,0.00
3802696.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:20 PM,94.0,10.70,4.66,4.93,1.11
28717951.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,13.67,6.67,3.67,3.33
28614429.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,10.96,4.90,3.29,2.78
3803521.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,13.06,6.59,4.25,2.22
3521310.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:11 PM,85.0,11.53,6.27,4.15,1.11
3700288.0,Finished,16 November 2020  10:46 AM,16 November 2020  12:31 PM,104.0,12.41,6.59,4.15,1.67
3810883.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,11.65,6.02,3.96,1.67
3802927.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,11.08,6.35,2.51,2.22
3706553.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,10.07,5.62,2.22,2.22
3708951.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,11.47,4.42,4.83,2.22
3802503.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,104.0,1.66,0.40,1.26,-
28720090.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,8.92,6.02,2.90,0.00
3701943.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:26 PM,101.0,14.21,6.02,5.41,2.78
3302425.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,7.51,6.18,0.77,0.56
3801875.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,8.95,4.82,1.35,2.78
3800455.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,14.01,6.67,5.12,2.22
3700584.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,13.75,6.51,5.02,2.22
3800333.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,13.33,6.67,4.44,2.22
3700463.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,11.05,5.30,2.42,3.33
3800411.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,104.0,9.29,2.89,4.73,1.67
3407716.0,Finished,16 November 2020  10:52 AM,16 November 2020  12:12 PM,79.0,11.31,6.18,5.12,-
3706539.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,11.46,5.06,4.73,1.67
28718098.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,13.62,6.59,4.25,2.78
3970876.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:30 PM,105.0,11.72,5.94,3.00,2.78
3520680.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:29 PM,103.0,12.19,5.62,4.35,2.22
3800042.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:28 PM,103.0,10.53,5.94,3.48,1.11
3520431.0,Finished,16 November 2020  10:45 AM,16 November 2020  12:28 PM,103.0,11.04,5.22,4.15,1.67
