Quizz type,Quiz number,Open date,Open time,Close date,Close time,Duration ,Comments
Homework,1,2020-09-21,12:30:00,2020-09-28,10:45:00,120.0,
Homework,2,2020-09-28,12:30:00,2020-10-05,10:45:00,120.0,
Homework,3,2020-10-05,12:30:00,2020-10-12,10:45:00,120.0,
Homework,4,2020-10-12,12:30:00,2020-10-19,10:45:00,120.0,
Homework,5,2020-10-19,12:30:00,2020-10-26,10:45:00,120.0,
Homework,6,2020-10-26,12:30:00,2020-11-02,10:45:00,120.0,
Homework,7,2020-11-02,15:30:00,2020-11-09,10:45:00,120.0,
Homework,8,2020-11-23,12:30:00,2020-11-30,10:45:00,120.0,
Homework,9,2020-11-30,12:30:00,2020-12-07,10:45:00,120.0,
Homework,10,2020-12-08,12:30:00,2020-12-14,10:45:00,120.0,
Homework,11,2020-12-14,12:30:00,2020-12-21,10:45:00,120.0,
Lab,1,2020-09-28,15:00:00,2020-10-02,13:30:00,105.0,
Lab,4,2020-10-19,13:45:00,2020-10-23,13:30:00,120.0,
Lab,5,2020-10-26,12:30:00,2020-10-30,13:30:00,105.0,
Lab,6,2020-11-02,12:30:00,2020-11-06,13:30:00,105.0,
Lab,7,2020-11-23,13:45:00,2020-11-28,13:30:00,105.0,
Lab,8,2020-11-30,12:30:00,2020-12-02,19:45:00,105.0,
Lab,9,2020-12-07,12:30:00,2020-12-11,19:00:00,105.0,
Lab,10,2020-12-14,14:00:00,2020-12-18,13:30:00,105.0,
Lab,11,2021-01-04,12:30:00,2021-01-08,13:30:00,105.0,
Project,,,,2020-12-22,23:59:00,,
Midterm,,2020-11-16,10:45:00,2020-11-16,12:45:00,105.0,online 
Final,,2021-01-15,14:00:00 PM,2021-01-15,15:30:00 PM,90.0,inperson
,,,,,,,
SORBONNE 1,132.227.0.0/16,,,,,,
SORBONNE 2,134.157.0.0/16,,,,,,
