ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /3.00,Q. 3 /4.00,Q. 4 /6.00,Q. 5 /1.00,Q. 6 /1.00
3812573.0,Finished,25 septembre 2021  5:58 ,25 septembre 2021  6:39 ,41.57,19.00,5.00,3.00,3.00,6.00,1.00,1.00
28610484.0,Finished,26 septembre 2021  6:33 ,26 septembre 2021  6:52 ,18.72,16.00,5.00,3.00,4.00,3.00,0.00,1.00
28606227.0,Finished,26 septembre 2021  11:33 ,27 septembre 2021  12:31 ,57.25,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3802791.0,Finished,26 septembre 2021  8:44 ,26 septembre 2021  9:09 ,24.93,17.00,5.00,3.00,1.00,6.00,1.00,1.00
21113025.0,Finished,26 septembre 2021  10:02 ,26 septembre 2021  11:01 ,58.7,16.00,5.00,3.00,4.00,3.00,0.00,1.00
21110432.0,Finished,26 septembre 2021  10:25 ,26 septembre 2021  11:03 ,37.52,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28606489.0,Finished,25 septembre 2021  1:03 ,25 septembre 2021  1:29 ,26.02,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3701350.0,Finished,26 septembre 2021  9:38 ,26 septembre 2021  10:28 ,49.62,19.44,4.44,3.00,4.00,6.00,1.00,1.00
28600748.0,Finished,26 septembre 2021  1:24 ,26 septembre 2021  2:12 ,47.25,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3671406.0,Finished,26 septembre 2021  3:41 ,26 septembre 2021  4:21 ,39.68,17.00,5.00,2.00,4.00,6.00,0.00,0.00
28602178.0,Finished,26 septembre 2021  9:22 ,26 septembre 2021  10:08 ,45.73,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3601270.0,Finished,27 septembre 2021  3:53 ,27 septembre 2021  5:49 ,115.0,19.00,5.00,3.00,4.00,6.00,1.00,0.00
28710546.0,Finished,25 septembre 2021  9:36 ,25 septembre 2021  10:10 ,33.82,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28610319.0,Finished,26 septembre 2021  3:13 ,26 septembre 2021  3:41 ,28.53,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3808688.0,Finished,26 septembre 2021  10:23 ,26 septembre 2021  10:59 ,36.35,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3804270.0,Finished,21 septembre 2021  11:29 ,21 septembre 2021  11:48 ,18.67,16.00,5.00,3.00,4.00,3.00,0.00,1.00
28609148.0,Finished,25 septembre 2021  5:45 ,25 septembre 2021  6:53 ,68.0,19.00,5.00,2.00,4.00,6.00,1.00,1.00
3803860.0,Finished,27 septembre 2021  8:33 ,27 septembre 2021  8:57 ,24.0,13.44,4.44,3.00,4.00,0.00,1.00,1.00
28626848.0,Finished,26 septembre 2021  3:45 ,26 septembre 2021  4:42 ,56.98,19.00,5.00,3.00,4.00,6.00,0.00,1.00
28601465.0,Finished,26 septembre 2021  9:58 ,26 septembre 2021  10:37 ,38.83,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28609336.0,Finished,26 septembre 2021  1:16 ,26 septembre 2021  2:01 ,44.55,20.00,5.00,3.00,4.00,6.00,1.00,1.00
21113008.0,Finished,27 septembre 2021  10:32 ,27 septembre 2021  11:02 ,29.17,17.00,5.00,3.00,4.00,3.00,1.00,1.00
28600163.0,Finished,26 septembre 2021  11:13 ,26 septembre 2021  11:30 ,17.37,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28608499.0,Finished,26 septembre 2021  10:52 ,27 septembre 2021  12:04 ,71.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
21115553.0,Finished,25 septembre 2021  6:09 ,25 septembre 2021  7:22 ,72.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28600786.0,Finished,27 septembre 2021  8:54 ,27 septembre 2021  9:39 ,45.38,19.44,4.44,3.00,4.00,6.00,1.00,1.00
3700196.0,Finished,26 septembre 2021  11:31 ,26 septembre 2021  11:59 ,28.38,10.78,2.78,3.00,4.00,0.00,0.00,1.00
