ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /8.62,Q. 2 /11.38
3812573.0,Finished,10 octobre 2021  10:17 ,10 octobre 2021  10:57 ,40.6,13.95,4.72,9.23
28610484.0,Finished,10 octobre 2021  5:32 ,10 octobre 2021  6:25 ,53.07,11.90,5.13,6.77
28606227.0,Finished,11 octobre 2021  12:09 ,11 octobre 2021  2:00 ,111.0,12.31,6.97,5.33
3802791.0,Finished,11 octobre 2021  12:40 ,11 octobre 2021  1:42 ,61.0,14.15,3.79,10.36
21113025.0,Finished,10 octobre 2021  2:01 ,10 octobre 2021  2:49 ,47.67,14.87,3.79,11.08
21110432.0,Finished,10 octobre 2021  10:25 ,10 octobre 2021  10:57 ,31.7,19.69,8.62,11.08
28606489.0,Finished,11 octobre 2021  3:02 ,11 octobre 2021  3:48 ,46.05,17.85,6.77,11.08
28600748.0,Finished,10 octobre 2021  7:35 ,10 octobre 2021  8:38 ,62.0,14.97,4.51,10.46
3671406.0,Finished,10 octobre 2021  10:41 ,10 octobre 2021  10:56 ,15.4,2.46,2.46,-
28602178.0,Finished,10 octobre 2021  2:59 ,10 octobre 2021  4:05 ,65.0,17.54,7.38,10.15
3601270.0,Finished,11 octobre 2021  7:00 ,11 octobre 2021  8:53 ,112.0,19.08,8.00,11.08
28710546.0,Finished,10 octobre 2021  8:20 ,10 octobre 2021  9:08 ,47.95,19.69,8.62,11.08
28610319.0,Finished,10 octobre 2021  11:05 ,11 octobre 2021  12:48 ,103.0,15.90,8.00,7.90
3808688.0,Finished,11 octobre 2021  2:19 ,11 octobre 2021  3:01 ,42.57,17.64,6.56,11.08
3804270.0,Finished,5 octobre 2021  1:02 ,5 octobre 2021  1:22 ,20.0,14.05,8.00,6.05
28609148.0,Finished,9 octobre 2021  4:10 ,9 octobre 2021  5:22 ,71.0,17.95,6.87,11.08
3803860.0,Finished,11 octobre 2021  9:52 ,11 octobre 2021  10:30 ,37.25,5.85,2.15,3.69
28626848.0,Finished,10 octobre 2021  11:42 ,11 octobre 2021  12:23 ,40.48,11.28,4.82,6.46
28601465.0,Finished,10 octobre 2021  11:18 ,11 octobre 2021  1:11 ,113.0,18.77,7.38,11.38
28609336.0,Finished,10 octobre 2021  1:28 ,10 octobre 2021  2:48 ,79.0,15.90,4.82,11.08
3702933.0,Finished,11 octobre 2021  8:55 ,11 octobre 2021  10:29 ,94.0,9.95,7.18,2.77
21113008.0,Finished,10 octobre 2021  10:40 ,11 octobre 2021  12:27 ,106.0,14.46,3.79,10.67
28600163.0,Finished,10 octobre 2021  11:50 ,11 octobre 2021  12:24 ,33.67,17.33,5.95,11.38
28608499.0,Finished,10 octobre 2021  11:11 ,11 octobre 2021  12:06 ,55.37,11.79,7.59,4.21
21115553.0,Finished,10 octobre 2021  3:51 ,10 octobre 2021  5:16 ,84.0,19.69,8.62,11.08
28600786.0,Finished,11 octobre 2021  8:55 ,11 octobre 2021  9:53 ,57.73,14.97,6.56,8.41
3700196.0,Finished,11 octobre 2021  8:50 ,11 octobre 2021  9:39 ,48.65,9.49,7.59,1.90
28607963.0,Finished,10 octobre 2021  8:18 ,10 octobre 2021  10:18 ,119.0,16.41,6.97,9.44
3804630.0,Finished,10 octobre 2021  11:41 ,11 octobre 2021  1:31 ,109.0,19.69,8.62,11.08
21112712.0,Finished,10 octobre 2021  2:42 ,10 octobre 2021  3:42 ,59.97,17.95,6.56,11.38
28610440.0,Finished,11 octobre 2021  9:32 ,11 octobre 2021  10:30 ,57.97,17.74,6.36,11.38
28600291.0,Finished,11 octobre 2021  12:44 ,11 octobre 2021  1:18 ,34.47,19.08,8.00,11.08
3803479.0,Finished,10 octobre 2021  5:55 ,10 octobre 2021  6:48 ,53.32,7.28,4.51,2.77
28610730.0,Finished,9 octobre 2021  5:00 ,9 octobre 2021  5:30 ,29.47,17.33,5.95,11.38
