ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
3812573.0,Finished,31 octobre 2021  7:00 ,31 octobre 2021  7:11 ,10.3,20.00,20.00
28606227.0,Finished,1 novembre 2021  3:14 ,1 novembre 2021  3:59 ,45.9,20.00,20.00
3802791.0,Finished,1 novembre 2021  8:59 ,1 novembre 2021  9:22 ,23.25,20.00,20.00
21113025.0,Finished,31 octobre 2021  9:09 ,31 octobre 2021  9:35 ,25.45,20.00,20.00
21110432.0,Finished,31 octobre 2021  10:00 ,31 octobre 2021  10:18 ,18.42,20.00,20.00
28606489.0,Finished,1 novembre 2021  1:53 ,1 novembre 2021  2:31 ,38.22,20.00,20.00
3701350.0,Finished,1 novembre 2021  8:18 ,1 novembre 2021  9:47 ,89.0,20.00,20.00
28600748.0,Finished,31 octobre 2021  8:54 ,31 octobre 2021  9:26 ,31.32,20.00,20.00
3671406.0,Finished,1 novembre 2021  8:25 ,1 novembre 2021  8:52 ,27.62,20.00,20.00
28602178.0,Finished,31 octobre 2021  12:54 ,31 octobre 2021  1:23 ,29.17,20.00,20.00
3601270.0,Finished,15 novembre 2021  7:47 ,15 novembre 2021  9:18 ,90.0,20.00,20.00
28710546.0,Finished,31 octobre 2021  12:26 ,31 octobre 2021  1:28 ,61.0,20.00,20.00
28610319.0,Finished,31 octobre 2021  11:18 ,1 novembre 2021  12:25 ,66.0,20.00,20.00
3808688.0,Finished,1 novembre 2021  2:26 ,1 novembre 2021  3:04 ,38.32,16.00,16.00
3804270.0,Finished,27 octobre 2021  2:06 ,27 octobre 2021  2:26 ,20.27,20.00,20.00
28609148.0,Finished,31 octobre 2021  3:50 ,31 octobre 2021  5:15 ,85.0,20.00,20.00
28626848.0,Finished,1 novembre 2021  12:18 ,1 novembre 2021  12:47 ,28.82,20.00,20.00
28601465.0,Finished,31 octobre 2021  10:10 ,31 octobre 2021  11:34 ,83.0,20.00,20.00
28609336.0,Finished,30 octobre 2021  11:45 ,30 octobre 2021  12:13 ,27.57,20.00,20.00
28600163.0,Finished,31 octobre 2021  10:35 ,31 octobre 2021  11:20 ,45.47,18.67,18.67
28608499.0,Finished,31 octobre 2021  11:32 ,1 novembre 2021  12:05 ,32.92,15.33,15.33
21115553.0,Finished,1 novembre 2021  12:58 ,1 novembre 2021  1:14 ,15.35,20.00,20.00
3700196.0,Finished,30 octobre 2021  8:52 ,30 octobre 2021  9:35 ,43.03,20.00,20.00
28607963.0,Finished,31 octobre 2021  7:18 ,31 octobre 2021  8:28 ,69.0,20.00,20.00
3804630.0,Finished,31 octobre 2021  12:28 ,31 octobre 2021  1:43 ,74.0,20.00,20.00
21112712.0,Finished,30 octobre 2021  11:00 ,30 octobre 2021  11:26 ,25.88,15.33,15.33
28610440.0,Finished,31 octobre 2021  2:19 ,31 octobre 2021  2:52 ,32.83,20.00,20.00
28600291.0,Finished,31 octobre 2021  4:26 ,31 octobre 2021  5:13 ,46.65,20.00,20.00
28610730.0,Finished,30 octobre 2021  5:36 ,30 octobre 2021  6:36 ,60.0,20.00,20.00
3700648.0,Finished,1 novembre 2021  4:14 ,1 novembre 2021  4:57 ,43.22,20.00,20.00
28600844.0,Finished,30 octobre 2021  5:51 ,30 octobre 2021  6:10 ,19.47,17.33,17.33
3703308.0,Finished,1 novembre 2021  8:46 ,1 novembre 2021  9:58 ,72.0,20.00,20.00
28610497.0,Finished,31 octobre 2021  6:43 ,31 octobre 2021  7:29 ,45.98,17.33,17.33
28600211.0,Finished,28 octobre 2021  7:25 ,28 octobre 2021  7:56 ,31.42,20.00,20.00
21113695.0,Finished,31 octobre 2021  10:32 ,31 octobre 2021  11:58 ,85.0,16.00,16.00
21115204.0,Finished,1 novembre 2021  8:34 ,1 novembre 2021  9:27 ,53.6,20.00,20.00
28002307.0,Finished,28 octobre 2021  1:41 ,28 octobre 2021  2:25 ,43.67,20.00,20.00
3700560.0,Finished,31 octobre 2021  7:01 ,31 octobre 2021  7:32 ,30.23,19.33,19.33
3677063.0,Finished,30 octobre 2021  2:25 ,30 octobre 2021  2:53 ,28.05,20.00,20.00
21112734.0,Finished,31 octobre 2021  10:22 ,31 octobre 2021  10:49 ,27.2,20.00,20.00
28600665.0,Finished,31 octobre 2021  4:56 ,31 octobre 2021  5:18 ,21.72,20.00,20.00
28507548.0,Finished,1 novembre 2021  10:14 ,1 novembre 2021  10:26 ,12.38,20.00,20.00
3803162.0,Finished,31 octobre 2021  12:26 ,31 octobre 2021  1:27 ,61.0,20.00,20.00
28602627.0,Finished,30 octobre 2021  7:17 ,30 octobre 2021  7:52 ,35.03,20.00,20.00
21114737.0,Finished,31 octobre 2021  12:59 ,31 octobre 2021  1:33 ,34.62,19.33,19.33
3804195.0,Finished,30 octobre 2021  11:32 ,30 octobre 2021  12:08 ,35.8,20.00,20.00
28720090.0,Finished,1 novembre 2021  9:13 ,1 novembre 2021  9:55 ,42.35,19.33,19.33
3407463.0,Finished,30 octobre 2021  4:40 ,30 octobre 2021  6:02 ,81.0,16.67,16.67
3677161.0,Finished,31 octobre 2021  10:37 ,1 novembre 2021  12:12 ,95.0,15.33,15.33
28603418.0,Finished,28 octobre 2021  8:30 ,28 octobre 2021  8:55 ,25.47,20.00,20.00
28607538.0,Finished,1 novembre 2021  9:03 ,1 novembre 2021  9:50 ,46.4,19.33,19.33
3810013.0,Finished,27 octobre 2021  8:00 ,27 octobre 2021  9:26 ,86.0,20.00,20.00
28610199.0,Finished,27 octobre 2021  2:35 ,27 octobre 2021  3:29 ,53.27,20.00,20.00
28604190.0,Finished,30 octobre 2021  9:52 ,30 octobre 2021  10:58 ,65.0,20.00,20.00
3674474.0,Finished,1 novembre 2021  8:24 ,1 novembre 2021  9:24 ,60.0,20.00,20.00
21113747.0,Finished,31 octobre 2021  9:54 ,31 octobre 2021  10:29 ,34.48,16.67,16.67
3800028.0,Finished,31 octobre 2021  8:37 ,31 octobre 2021  8:49 ,11.67,12.67,12.67
28607117.0,Finished,31 octobre 2021  12:26 ,31 octobre 2021  12:58 ,31.98,20.00,20.00
28619891.0,Finished,31 octobre 2021  11:45 ,1 novembre 2021  12:44 ,59.42,18.67,18.67
3802466.0,Finished,27 octobre 2021  3:41 ,27 octobre 2021  4:29 ,47.17,20.00,20.00
28600653.0,Finished,31 octobre 2021  5:54 ,31 octobre 2021  6:19 ,24.97,20.00,20.00
28610514.0,Finished,1 novembre 2021  9:50 ,1 novembre 2021  10:20 ,30.57,14.00,14.00
28609831.0,Finished,31 octobre 2021  10:51 ,31 octobre 2021  11:05 ,14.62,20.00,20.00
3702385.0,Finished,29 octobre 2021  9:17 ,29 octobre 2021  11:15 ,118.0,14.67,14.67
28600759.0,Finished,1 novembre 2021  9:13 ,1 novembre 2021  10:24 ,70.0,20.00,20.00
28607831.0,Finished,31 octobre 2021  1:32 ,31 octobre 2021  1:41 ,9.3,20.00,20.00
28620112.0,Finished,31 octobre 2021  9:45 ,31 octobre 2021  9:56 ,11.0,17.33,17.33
28602386.0,Finished,25 octobre 2021  8:23 ,25 octobre 2021  8:32 ,9.05,20.00,20.00
3700630.0,Finished,31 octobre 2021  6:08 ,31 octobre 2021  7:05 ,57.15,20.00,20.00
28606830.0,Finished,31 octobre 2021  2:09 ,31 octobre 2021  3:09 ,60.0,3.33,3.33
28606830.0,Finished,31 octobre 2021  3:19 ,31 octobre 2021  3:40 ,21.28,20.00,20.00
28605022.0,Finished,31 octobre 2021  7:09 ,31 octobre 2021  8:11 ,62.0,20.00,20.00
3801873.0,Finished,31 octobre 2021  9:21 ,31 octobre 2021  10:02 ,41.5,18.67,18.67
28711440.0,Finished,31 octobre 2021  12:21 ,31 octobre 2021  12:51 ,30.22,20.00,20.00
3702996.0,Finished,25 octobre 2021  5:36 ,25 octobre 2021  6:00 ,23.57,20.00,20.00
28600464.0,Finished,31 octobre 2021  6:02 ,31 octobre 2021  6:30 ,27.57,20.00,20.00
28506638.0,Finished,1 novembre 2021  8:39 ,1 novembre 2021  9:23 ,44.73,19.33,19.33
3800477.0,Finished,1 novembre 2021  3:38 ,1 novembre 2021  3:59 ,21.65,20.00,20.00
28604304.0,Finished,1 novembre 2021  12:47 ,1 novembre 2021  1:20 ,33.48,20.00,20.00
28608396.0,Finished,31 octobre 2021  8:24 ,31 octobre 2021  9:14 ,49.9,20.00,20.00
3708782.0,Finished,31 octobre 2021  12:11 ,31 octobre 2021  12:40 ,29.32,20.00,20.00
28610448.0,Finished,31 octobre 2021  7:48 ,31 octobre 2021  8:22 ,34.9,20.00,20.00
28610117.0,Finished,31 octobre 2021  7:55 ,31 octobre 2021  8:09 ,14.23,18.67,18.67
28601953.0,Finished,31 octobre 2021  7:17 ,31 octobre 2021  8:15 ,58.3,20.00,20.00
28600470.0,Finished,31 octobre 2021  10:41 ,31 octobre 2021  11:47 ,66.0,20.00,20.00
28607314.0,Finished,31 octobre 2021  8:53 ,31 octobre 2021  9:34 ,41.0,20.00,20.00
3702809.0,Finished,31 octobre 2021  12:30 ,31 octobre 2021  12:41 ,11.57,17.33,17.33
3701883.0,Finished,30 octobre 2021  6:42 ,30 octobre 2021  7:37 ,54.57,20.00,20.00
21116436.0,Finished,31 octobre 2021  3:16 ,31 octobre 2021  3:43 ,27.65,20.00,20.00
28601301.0,Finished,27 octobre 2021  6:25 ,27 octobre 2021  7:02 ,37.1,12.00,12.00
28605864.0,Finished,31 octobre 2021  4:49 ,31 octobre 2021  5:21 ,32.47,20.00,20.00
3700453.0,Finished,31 octobre 2021  11:20 ,1 novembre 2021  12:48 ,88.0,9.33,9.33
3808875.0,Finished,26 octobre 2021  6:07 ,26 octobre 2021  6:30 ,22.7,20.00,20.00
21114731.0,Finished,31 octobre 2021  6:45 ,31 octobre 2021  7:29 ,43.98,20.00,20.00
28600559.0,Finished,29 octobre 2021  11:27 ,29 octobre 2021  11:59 ,31.33,11.33,11.33
3801610.0,Finished,29 octobre 2021  11:27 ,29 octobre 2021  11:54 ,26.38,20.00,20.00
28610130.0,Finished,1 novembre 2021  12:42 ,1 novembre 2021  1:41 ,58.83,20.00,20.00
28717594.0,Finished,29 octobre 2021  6:39 ,29 octobre 2021  7:46 ,66.0,20.00,20.00
28614924.0,Finished,31 octobre 2021  7:33 ,31 octobre 2021  7:58 ,24.12,20.00,20.00
3800162.0,Finished,31 octobre 2021  3:44 ,31 octobre 2021  5:12 ,87.0,20.00,20.00
21109170.0,Finished,1 novembre 2021  6:47 ,1 novembre 2021  7:09 ,21.27,20.00,20.00
3709743.0,Finished,31 octobre 2021  12:40 ,31 octobre 2021  1:17 ,36.42,17.33,17.33
21100776.0,Finished,31 octobre 2021  12:08 ,31 octobre 2021  12:52 ,44.58,20.00,20.00
3802257.0,Finished,31 octobre 2021  10:50 ,31 octobre 2021  11:29 ,39.48,20.00,20.00
28610667.0,Finished,26 octobre 2021  6:07 ,26 octobre 2021  7:02 ,54.73,20.00,20.00
28610190.0,Finished,31 octobre 2021  2:36 ,31 octobre 2021  3:12 ,35.58,20.00,20.00
21108842.0,Finished,1 novembre 2021  12:13 ,1 novembre 2021  1:09 ,56.33,20.00,20.00
