ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /5.00,Q. 4 /5.00
3812573.0,Finished,28 novembre 2021  5:16 ,28 novembre 2021  7:02 ,105.0,14.17,5.00,5.00,2.50,1.67
28610484.0,Finished,28 novembre 2021  8:08 ,28 novembre 2021  9:25 ,76.0,15.00,5.00,5.00,2.50,2.50
28606227.0,Finished,27 novembre 2021  9:38 ,27 novembre 2021  10:58 ,79.0,13.33,5.00,3.33,2.50,2.50
3802791.0,Finished,29 novembre 2021  9:36 ,29 novembre 2021  10:12 ,35.92,15.00,5.00,3.33,2.50,4.17
21113025.0,Finished,28 novembre 2021  12:17 ,28 novembre 2021  1:25 ,67.0,15.83,5.00,3.33,2.50,5.00
21110432.0,Finished,28 novembre 2021  11:10 ,28 novembre 2021  12:26 ,75.0,15.00,5.00,3.33,2.50,4.17
28606489.0,Finished,29 novembre 2021  3:54 ,29 novembre 2021  4:49 ,54.82,16.67,5.00,5.00,2.50,4.17
3701350.0,Finished,29 novembre 2021  1:33 ,29 novembre 2021  3:07 ,93.0,17.50,5.00,5.00,5.00,2.50
28600748.0,Finished,28 novembre 2021  2:14 ,28 novembre 2021  3:18 ,63.0,16.67,5.00,5.00,2.50,4.17
3671406.0,Finished,28 novembre 2021  1:29 ,28 novembre 2021  2:28 ,59.23,15.00,5.00,3.33,2.50,4.17
28602178.0,Finished,28 novembre 2021  10:10 ,28 novembre 2021  11:09 ,58.8,16.67,5.00,5.00,2.50,4.17
28710546.0,Finished,29 novembre 2021  12:05 ,29 novembre 2021  1:56 ,111.0,16.67,5.00,5.00,2.50,4.17
28610319.0,Finished,29 novembre 2021  8:00 ,29 novembre 2021  9:59 ,119.0,16.67,5.00,5.00,2.50,4.17
3808688.0,Finished,29 novembre 2021  12:37 ,29 novembre 2021  2:21 ,104.0,19.17,5.00,5.00,5.00,4.17
3804270.0,Finished,28 novembre 2021  6:17 ,28 novembre 2021  7:16 ,58.73,11.67,2.50,3.33,2.50,3.33
28609148.0,Finished,28 novembre 2021  11:16 ,28 novembre 2021  12:54 ,97.0,13.33,5.00,3.33,2.50,2.50
3803860.0,Finished,29 novembre 2021  6:38 ,29 novembre 2021  7:36 ,58.33,5.00,2.50,0.00,0.00,2.50
28626848.0,Finished,28 novembre 2021  11:24 ,28 novembre 2021  11:43 ,19.82,10.83,5.00,1.67,2.50,1.67
