ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /4.00,Q. 2 /10.00,Q. 3 /6.00
3812573.0,Finished,13 décembre 2021  9:46 ,13 décembre 2021  10:23 ,36.5,4.33,2.33,0.00,2.00
28610484.0,Finished,12 décembre 2021  10:29 ,12 décembre 2021  11:36 ,67.0,11.67,1.67,6.00,4.00
28606227.0,Finished,13 décembre 2021  12:05 ,13 décembre 2021  1:42 ,97.0,6.67,2.67,0.00,4.00
3802791.0,Finished,13 décembre 2021  9:26 ,13 décembre 2021  9:57 ,31.6,7.33,1.33,6.00,0.00
21113025.0,Finished,11 décembre 2021  5:31 ,11 décembre 2021  7:19 ,108.0,8.00,2.00,0.00,6.00
21110432.0,Finished,13 décembre 2021  7:20 ,13 décembre 2021  7:28 ,7.48,2.00,0.00,-,2.00
28606489.0,Finished,13 décembre 2021  12:27 ,13 décembre 2021  2:27 ,120.0,0.00,-,-,-
3701350.0,Finished,13 décembre 2021  9:22 ,13 décembre 2021  10:30 ,67.0,0.00,-,-,-
28600748.0,Finished,12 décembre 2021  5:51 ,12 décembre 2021  7:29 ,97.0,13.67,1.67,6.00,6.00
28602178.0,Finished,13 décembre 2021  12:10 ,13 décembre 2021  12:54 ,44.2,7.67,1.67,-,6.00
28710546.0,Finished,13 décembre 2021  1:21 ,13 décembre 2021  3:09 ,107.0,17.00,3.00,8.00,6.00
28610319.0,Finished,12 décembre 2021  11:40 ,13 décembre 2021  12:58 ,77.0,8.67,2.67,0.00,6.00
3808688.0,Finished,13 décembre 2021  2:09 ,13 décembre 2021  2:50 ,40.6,9.00,3.00,0.00,6.00
3804270.0,Finished,9 décembre 2021  10:56 ,9 décembre 2021  11:48 ,52.82,5.00,3.00,0.00,2.00
28609148.0,Finished,11 décembre 2021  3:27 ,11 décembre 2021  5:19 ,112.0,7.67,1.67,0.00,6.00
28626848.0,Finished,12 décembre 2021  11:23 ,12 décembre 2021  11:43 ,19.23,13.00,3.00,8.00,2.00
28601465.0,Finished,12 décembre 2021  11:35 ,13 décembre 2021  12:42 ,67.0,14.67,2.67,6.00,6.00
28609336.0,Finished,11 décembre 2021  12:57 ,11 décembre 2021  2:51 ,114.0,3.67,1.67,0.00,2.00
21113008.0,Finished,13 décembre 2021  1:42 ,13 décembre 2021  2:48 ,66.0,4.00,2.00,-,2.00
28600163.0,Finished,13 décembre 2021  10:12 ,13 décembre 2021  10:24 ,11.73,1.00,1.00,0.00,-
28608499.0,Finished,12 décembre 2021  11:59 ,13 décembre 2021  1:35 ,95.0,1.67,1.67,0.00,0.00
21115553.0,Finished,13 décembre 2021  9:42 ,13 décembre 2021  10:15 ,33.93,14.67,2.67,6.00,6.00
28600786.0,Finished,13 décembre 2021  12:37 ,13 décembre 2021  2:37 ,120.0,3.67,1.67,0.00,2.00
3700196.0,Finished,13 décembre 2021  12:03 ,13 décembre 2021  12:18 ,15.22,16.67,2.67,8.00,6.00
28607963.0,Finished,13 décembre 2021  1:01 ,13 décembre 2021  3:00 ,118.0,2.33,2.33,0.00,0.00
3804630.0,Finished,13 décembre 2021  7:02 ,13 décembre 2021  9:02 ,119.0,7.33,3.33,4.00,0.00
21112712.0,Finished,12 décembre 2021  12:08 ,12 décembre 2021  1:18 ,70.0,12.00,2.00,6.00,4.00
