ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.00,Q. 2 /0.00,Q. 3 /0.35,Q. 4 /2.11,Q. 5 /0.35,Q. 6 /4.21,Q. 7 /0.35,Q. 8 /4.91,Q. 9 /1.05,Q. 10 /3.16,Q. 11 /3.51
3812573.0,Finished,20 septembre 2021  4:01 ,20 septembre 2021  5:10 ,69.0,19.30,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
3802791.0,Finished,22 septembre 2021  11:17 ,22 septembre 2021  12:07 ,49.78,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
21113025.0,Finished,20 septembre 2021  3:57 ,20 septembre 2021  5:03 ,66.0,19.02,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.53,3.16
21110432.0,Finished,24 septembre 2021  10:48 ,24 septembre 2021  11:26 ,37.52,19.30,-,-,0.35,2.11,0.35,3.86,0.35,4.56,1.05,3.16,3.51
3701350.0,Finished,20 septembre 2021  4:29 ,20 septembre 2021  5:31 ,62.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28600748.0,Finished,23 septembre 2021  6:02 ,23 septembre 2021  6:52 ,49.4,17.93,-,-,0.35,2.11,0.35,3.51,0.35,4.21,1.05,2.84,3.16
3671406.0,Finished,23 septembre 2021  6:03 ,23 septembre 2021  6:45 ,41.83,18.95,-,-,0.35,1.75,0.35,3.51,0.35,4.91,1.05,3.16,3.51
28602178.0,Finished,22 septembre 2021  10:58 ,22 septembre 2021  11:44 ,46.87,17.58,-,-,0.35,2.11,0.35,4.21,0.35,3.16,1.05,2.84,3.16
3601270.0,Finished,20 septembre 2021  4:09 ,20 septembre 2021  5:35 ,85.0,13.96,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,0.63,-
3601270.0,Finished,3 octobre 2021  9:12 ,3 octobre 2021  10:45 ,93.0,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
28710546.0,Finished,21 septembre 2021  4:11 ,21 septembre 2021  5:25 ,74.0,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
3804270.0,Finished,23 septembre 2021  6:05 ,23 septembre 2021  6:48 ,43.32,17.93,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.84,1.75
28609148.0,Finished,23 septembre 2021  5:53 ,23 septembre 2021  6:28 ,34.67,18.60,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,2.11
3803860.0,Finished,21 septembre 2021  4:35 ,21 septembre 2021  6:01 ,86.0,15.47,-,-,0.35,1.40,0.35,2.81,0.35,3.16,0.70,2.84,3.51
28600163.0,Finished,22 septembre 2021  10:58 ,22 septembre 2021  11:42 ,43.13,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28608499.0,Finished,20 septembre 2021  4:12 ,20 septembre 2021  5:00 ,48.08,17.58,-,-,0.35,2.11,0.35,4.21,0.35,2.81,1.05,2.84,3.51
21115553.0,Finished,20 septembre 2021  4:04 ,20 septembre 2021  5:06 ,61.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3700196.0,Finished,21 septembre 2021  4:23 ,21 septembre 2021  5:02 ,39.25,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3804630.0,Finished,21 septembre 2021  4:19 ,21 septembre 2021  5:25 ,66.0,19.33,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,2.84,3.51
28610440.0,Finished,23 septembre 2021  11:05 ,24 septembre 2021  12:21 ,76.0,14.07,-,-,0.35,1.40,0.35,2.81,0.35,3.16,1.05,2.84,1.75
28600291.0,Finished,24 septembre 2021  10:51 ,24 septembre 2021  11:31 ,40.27,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3803479.0,Finished,21 septembre 2021  3:58 ,21 septembre 2021  5:12 ,73.0,17.61,-,-,0.35,2.11,0.35,4.21,0.35,4.91,-,2.53,2.81
28610730.0,Finished,21 septembre 2021  4:14 ,21 septembre 2021  5:16 ,62.0,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
3700648.0,Finished,20 septembre 2021  4:14 ,20 septembre 2021  5:20 ,65.0,16.14,-,-,0.35,2.11,0.35,2.46,0.35,4.21,1.05,3.16,2.11
3801962.0,Finished,21 septembre 2021  4:29 ,21 septembre 2021  5:24 ,54.25,15.44,-,-,0.35,1.40,0.35,2.81,0.35,3.16,0.35,3.16,3.51
28603394.0,Finished,20 septembre 2021  4:08 ,20 septembre 2021  5:05 ,56.82,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28600844.0,Finished,22 septembre 2021  10:54 ,22 septembre 2021  11:44 ,50.13,18.95,-,-,0.35,1.05,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3703308.0,Finished,21 septembre 2021  4:26 ,21 septembre 2021  5:14 ,48.25,14.77,-,-,0.35,1.05,0.35,2.81,-,3.16,1.05,2.84,3.16
28610497.0,Finished,20 septembre 2021  3:55 ,20 septembre 2021  5:06 ,71.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28002307.0,Finished,20 septembre 2021  4:11 ,20 septembre 2021  5:03 ,52.13,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
21112734.0,Finished,20 septembre 2021  4:11 ,20 septembre 2021  5:26 ,74.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28607480.0,Finished,24 septembre 2021  1:16 ,24 septembre 2021  2:11 ,55.78,11.30,-,-,0.35,1.05,0.35,1.40,0.35,1.40,0.70,2.53,3.16
28602627.0,Finished,21 septembre 2021  4:27 ,21 septembre 2021  5:27 ,59.97,19.65,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.70,3.16,3.51
21114737.0,Finished,21 septembre 2021  4:36 ,21 septembre 2021  6:21 ,105.0,15.44,-,-,0.35,1.40,0.35,2.81,-,3.16,0.70,3.16,3.51
3804195.0,Finished,20 septembre 2021  4:00 ,20 septembre 2021  5:11 ,70.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3802503.0,Finished,20 septembre 2021  4:27 ,20 septembre 2021  5:14 ,46.98,18.95,-,-,0.35,2.11,0.35,4.21,0.35,4.21,0.70,3.16,3.51
28720090.0,Finished,23 septembre 2021  6:04 ,23 septembre 2021  6:48 ,44.4,19.30,-,-,0.35,2.11,0.35,4.21,0.35,4.91,0.35,3.16,3.51
3407463.0,Finished,20 septembre 2021  4:05 ,20 septembre 2021  5:05 ,59.6,19.02,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,2.53,3.16
28603418.0,Finished,20 septembre 2021  4:18 ,20 septembre 2021  5:20 ,62.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
28607538.0,Finished,21 septembre 2021  4:25 ,21 septembre 2021  5:27 ,61.0,20.00,-,-,0.35,2.11,0.35,4.21,0.35,4.91,1.05,3.16,3.51
3674474.0,Finished,20 septembre 2021  4:30 ,20 septembre 2021  5:41 ,70.0,10.09,-,-,0.26,2.11,0.35,4.21,0.35,2.81,-,-,-
