ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.36,Q. 2 /0.36,Q. 3 /0.36,Q. 4 /0.36,Q. 5 /1.45,Q. 6 /0.36,Q. 7 /0.36,Q. 8 /1.45,Q. 9 /0.73,Q. 10 /4.36,Q. 11 /0.36,Q. 12 /1.45,Q. 13 /1.45,Q. 14 /4.36,Q. 15 /0.73,Q. 16 /1.45
3812573.0,Finished,22 novembre 2021  4:01 ,22 novembre 2021  5:08 ,67.0,19.27,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,1.09
28610484.0,Finished,25 novembre 2021  5:57 ,25 novembre 2021  7:37 ,100.0,19.15,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.25,0.36,1.45,1.45,4.00,0.73,1.09
21110432.0,Finished,26 novembre 2021  10:46 ,26 novembre 2021  12:21 ,95.0,18.55,0.00,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.00,1.45,1.45,4.36,0.73,1.09
28606489.0,Finished,22 novembre 2021  4:00 ,22 novembre 2021  5:44 ,103.0,18.18,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,3.27,0.73,0.73
28600748.0,Finished,25 novembre 2021  5:57 ,25 novembre 2021  6:58 ,60.0,19.05,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,0.87,4.36,0.73,1.09
3671406.0,Finished,25 novembre 2021  6:00 ,25 novembre 2021  7:14 ,74.0,18.80,0.00,0.00,0.36,0.36,1.45,0.36,0.18,1.45,0.73,4.36,0.36,1.45,1.16,4.36,0.73,1.45
3601270.0,Finished,26 novembre 2021  10:48 ,26 novembre 2021  1:06 ,137.0,18.91,0.00,0.36,0.00,0.36,1.45,0.36,0.36,1.09,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.45
28610319.0,Finished,24 novembre 2021  10:57 ,24 novembre 2021  12:11 ,73.0,18.98,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.09,1.16,4.36,0.73,1.09
3808688.0,Finished,24 novembre 2021  11:06 ,24 novembre 2021  12:21 ,74.0,19.52,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.25,0.36,1.45,1.45,4.36,0.73,1.09
3804270.0,Finished,25 novembre 2021  6:02 ,25 novembre 2021  7:14 ,72.0,18.33,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.36,4.36,0.36,1.45,0.87,3.64,0.73,1.45
3702933.0,Finished,22 novembre 2021  4:05 ,22 novembre 2021  5:18 ,73.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
28600163.0,Finished,24 novembre 2021  10:56 ,24 novembre 2021  12:40 ,103.0,19.27,0.00,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.45
28608499.0,Finished,22 novembre 2021  4:00 ,22 novembre 2021  5:19 ,78.0,19.15,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.25,0.36,1.45,1.45,4.00,0.73,1.09
21115553.0,Finished,22 novembre 2021  4:00 ,22 novembre 2021  5:31 ,91.0,19.64,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,1.45
3804630.0,Finished,23 novembre 2021  4:10 ,23 novembre 2021  5:35 ,84.0,17.85,0.00,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,3.30,0.36,1.45,1.45,4.36,0.73,0.73
3803479.0,Finished,23 novembre 2021  4:10 ,23 novembre 2021  5:32 ,81.0,17.83,0.00,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.01,0.36,1.45,1.45,4.36,0.73,0.36
28610730.0,Finished,23 novembre 2021  4:10 ,23 novembre 2021  5:55 ,105.0,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3801962.0,Finished,23 novembre 2021  4:15 ,23 novembre 2021  5:28 ,73.0,18.18,0.36,0.36,0.00,0.36,1.45,0.00,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.00,0.73,0.73
21109706.0,Finished,25 novembre 2021  5:58 ,25 novembre 2021  7:39 ,100.0,17.36,0.36,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.13,0.36,1.45,0.87,4.36,0.73,0.00
28603394.0,Finished,22 novembre 2021  4:00 ,22 novembre 2021  5:13 ,73.0,18.93,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,3.66,0.36,1.45,1.45,4.36,0.73,1.09
28610497.0,Finished,22 novembre 2021  4:02 ,22 novembre 2021  5:35 ,92.0,18.91,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,3.64,0.73,1.09
28600211.0,Finished,22 novembre 2021  4:01 ,22 novembre 2021  5:21 ,80.0,18.55,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.09,1.45,3.64,0.73,1.09
21115204.0,Finished,22 novembre 2021  4:01 ,22 novembre 2021  5:04 ,62.0,19.27,0.36,0.36,0.00,0.36,1.45,0.36,0.36,1.45,0.73,4.36,0.36,1.45,1.45,4.36,0.73,1.09
3677063.0,Finished,24 novembre 2021  11:26 ,24 novembre 2021  12:36 ,70.0,18.75,0.36,0.36,0.36,0.36,1.45,0.36,0.36,1.45,0.36,4.13,0.36,1.45,1.16,4.36,0.73,1.09
