ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /2.44,Q. 2 /0.98,Q. 3 /0.98,Q. 4 /0.24,Q. 5 /0.24,Q. 6 /0.24,Q. 7 /0.49,Q. 8 /0.24,Q. 9 /5.12,Q. 10 /0.24,Q. 11 /7.80,Q. 12 /0.98
3812573.0,Finished,29 novembre 2021  4:00 ,29 novembre 2021  5:14 ,73.0,16.83,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.90,0.24,5.85,0.98
28610484.0,Finished,2 décembre 2021  5:58 ,2 décembre 2021  7:23 ,85.0,17.56,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.98
3802791.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:38 ,99.0,12.93,1.71,0.49,0.98,0.24,0.24,0.24,0.49,0.24,3.17,0.24,4.88,0.00
21110432.0,Finished,3 décembre 2021  10:53 ,3 décembre 2021  11:51 ,58.15,17.56,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.98
3701350.0,Finished,29 novembre 2021  4:15 ,29 novembre 2021  5:36 ,81.0,15.61,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.00,4.15,0.00,5.85,0.49
28600748.0,Finished,2 décembre 2021  5:59 ,2 décembre 2021  6:42 ,43.38,15.37,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.90,0.00,4.88,0.98
3671406.0,Finished,2 décembre 2021  6:00 ,2 décembre 2021  6:43 ,43.47,16.59,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,4.88,0.98
3601270.0,Finished,3 décembre 2021  10:57 ,3 décembre 2021  12:18 ,81.0,18.05,2.44,0.98,0.98,0.00,0.24,0.00,0.49,0.24,4.63,0.24,7.80,0.00
28610319.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:24 ,86.0,17.32,2.44,0.98,0.98,0.24,0.00,0.24,0.49,0.24,4.63,0.24,5.85,0.98
3808688.0,Finished,1 décembre 2021  11:01 ,1 décembre 2021  12:44 ,102.0,14.15,1.71,0.49,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,3.90,0.98
3803860.0,Finished,30 novembre 2021  4:14 ,30 novembre 2021  5:32 ,78.0,16.34,2.20,0.73,0.98,0.00,0.00,-,0.49,0.00,4.15,0.00,6.83,0.98
28601465.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:26 ,87.0,17.56,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.98
28600163.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:23 ,84.0,16.34,1.71,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,5.85,0.98
28608499.0,Finished,29 novembre 2021  4:13 ,29 novembre 2021  5:24 ,71.0,15.61,2.44,0.24,0.24,0.24,0.24,0.24,0.49,0.24,4.15,0.24,5.85,0.98
28607963.0,Finished,1 décembre 2021  10:58 ,1 décembre 2021  12:29 ,90.0,16.59,2.44,0.24,0.98,0.24,0.24,0.24,0.49,0.24,4.39,0.24,5.85,0.98
3804630.0,Finished,30 novembre 2021  4:11 ,30 novembre 2021  5:09 ,57.42,16.10,2.20,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.00
28610440.0,Finished,29 novembre 2021  5:06 ,29 novembre 2021  6:51 ,105.0,16.83,2.44,0.98,0.73,0.24,0.24,0.24,0.49,0.24,4.39,0.00,5.85,0.98
3803479.0,Finished,30 novembre 2021  3:55 ,30 novembre 2021  5:03 ,67.0,15.37,1.71,0.98,0.49,0.24,0.24,0.24,0.49,0.24,2.68,0.24,6.83,0.98
28610730.0,Finished,30 novembre 2021  4:06 ,30 novembre 2021  5:16 ,70.0,18.54,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.00,4.39,0.00,7.80,0.98
3700648.0,Finished,29 novembre 2021  4:13 ,29 novembre 2021  5:38 ,85.0,16.83,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,4.88,0.98
