ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.11,Q. 2 /1.11,Q. 3 /1.11,Q. 4 /1.11,Q. 5 /0.56,Q. 6 /1.11,Q. 7 /1.11,Q. 8 /0.56,Q. 9 /1.11,Q. 10 /2.22,Q. 11 /5.56,Q. 12 /1.11,Q. 13 /2.22
3812573.0,Finished,6 décembre 2021  3:53 ,6 décembre 2021  5:32 ,98.0,16.41,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,2.22,5.30,1.11,0.00
28610484.0,Finished,9 décembre 2021  6:01 ,9 décembre 2021  7:46 ,105.0,12.27,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,5.05,0.00,-
28606227.0,Finished,7 décembre 2021  4:04 ,7 décembre 2021  5:46 ,102.0,13.89,1.11,1.11,1.11,1.11,0.56,0.00,1.11,0.56,0.00,2.22,3.89,1.11,0.00
21110432.0,Finished,10 décembre 2021  11:04 ,10 décembre 2021  12:20 ,76.0,18.64,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,2.22,5.30,1.11,2.22
28606489.0,Finished,6 décembre 2021  4:01 ,6 décembre 2021  5:53 ,111.0,10.81,1.11,1.11,1.11,0.00,0.00,0.56,1.11,0.56,0.00,0.00,5.25,0.00,0.00
3701350.0,Finished,6 décembre 2021  4:03 ,6 décembre 2021  5:58 ,115.0,8.54,0.56,1.11,1.11,-,0.56,0.00,1.11,0.00,0.00,0.00,4.09,-,-
28600748.0,Finished,9 décembre 2021  5:59 ,9 décembre 2021  7:33 ,93.0,10.56,1.11,1.11,1.11,1.11,-,0.00,1.11,0.56,0.00,0.00,4.44,0.00,0.00
3671406.0,Finished,9 décembre 2021  6:00 ,9 décembre 2021  7:24 ,84.0,9.90,1.11,1.11,1.11,0.00,0.56,0.56,1.11,0.56,0.00,2.22,1.57,0.00,0.00
3601270.0,Finished,10 décembre 2021  10:55 ,10 décembre 2021  12:56 ,121.0,15.81,1.11,1.11,1.11,1.11,0.56,1.11,0.56,0.56,0.00,0.00,5.25,1.11,2.22
28710546.0,Finished,7 décembre 2021  4:03 ,7 décembre 2021  5:38 ,95.0,16.64,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.56,1.11,2.22,5.25,1.11,0.00
28610319.0,Finished,8 décembre 2021  10:52 ,8 décembre 2021  12:15 ,82.0,16.01,1.11,1.11,1.11,1.11,0.56,1.11,0.56,0.56,0.00,0.00,5.45,1.11,2.22
3803860.0,Finished,7 décembre 2021  4:11 ,7 décembre 2021  5:56 ,104.0,10.45,1.11,1.11,1.11,-,0.00,0.56,1.11,0.00,-,2.22,1.01,0.00,2.22
28601465.0,Finished,8 décembre 2021  10:53 ,8 décembre 2021  12:38 ,105.0,16.41,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,0.00,5.30,1.11,2.22
3702933.0,Finished,6 décembre 2021  4:31 ,6 décembre 2021  6:26 ,115.0,5.56,1.11,0.56,1.11,-,0.56,0.56,1.11,0.56,-,-,-,-,-
28608499.0,Finished,6 décembre 2021  4:07 ,6 décembre 2021  5:50 ,103.0,14.55,0.56,0.56,1.11,1.11,0.56,0.56,1.11,0.56,0.00,2.22,5.10,1.11,0.00
21115553.0,Finished,6 décembre 2021  3:58 ,6 décembre 2021  5:43 ,105.0,12.22,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.00,0.00,2.22,2.78,0.00,0.00
3804630.0,Finished,7 décembre 2021  4:08 ,7 décembre 2021  5:38 ,90.0,18.69,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,2.22,4.80,1.11,2.22
28610440.0,Finished,6 décembre 2021  4:05 ,6 décembre 2021  6:00 ,115.0,11.57,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,0.00,3.79,-,-
3803479.0,Finished,7 décembre 2021  3:57 ,7 décembre 2021  5:14 ,76.0,8.33,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.56,0.00,0.00,1.67,0.00,0.00
28610730.0,Finished,7 décembre 2021  4:01 ,7 décembre 2021  5:46 ,105.0,11.62,1.11,1.11,1.11,1.11,0.56,0.56,1.11,-,0.00,2.22,2.73,0.00,-
21109706.0,Finished,9 décembre 2021  6:06 ,9 décembre 2021  6:57 ,50.45,6.62,1.11,1.11,1.11,0.00,0.00,0.00,1.11,0.56,0.00,0.00,1.62,0.00,-
28610497.0,Finished,6 décembre 2021  4:00 ,6 décembre 2021  5:44 ,104.0,9.85,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.56,0.00,0.00,3.18,0.00,0.00
28600211.0,Finished,6 décembre 2021  4:04 ,6 décembre 2021  5:39 ,94.0,10.61,1.11,0.56,1.11,1.11,0.56,0.00,1.11,0.56,1.11,0.00,3.38,0.00,0.00
21115204.0,Finished,6 décembre 2021  3:58 ,6 décembre 2021  5:43 ,105.0,10.00,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.00,0.00,0.00,3.33,0.00,0.00
28002307.0,Finished,6 décembre 2021  4:03 ,6 décembre 2021  5:43 ,99.0,12.73,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.00,0.00,2.22,4.39,0.00,0.00
3677063.0,Finished,8 décembre 2021  11:14 ,8 décembre 2021  12:44 ,90.0,11.62,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,2.22,1.06,1.11,-
21112734.0,Finished,6 décembre 2021  4:03 ,6 décembre 2021  5:43 ,99.0,10.61,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,3.38,0.00,0.00
28507548.0,Finished,9 décembre 2021  6:07 ,9 décembre 2021  7:46 ,99.0,12.58,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,5.35,0.00,0.00
28602627.0,Finished,7 décembre 2021  4:04 ,7 décembre 2021  5:40 ,95.0,13.48,1.11,1.11,1.11,1.11,-,0.00,1.11,0.56,0.00,2.22,4.04,1.11,-
3804195.0,Finished,6 décembre 2021  3:58 ,6 décembre 2021  5:41 ,102.0,13.06,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.56,0.00,2.22,3.33,0.00,0.00
3802503.0,Finished,6 décembre 2021  4:02 ,6 décembre 2021  5:43 ,100.0,12.22,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,2.78,0.00,2.22
28720090.0,Finished,9 décembre 2021  6:08 ,9 décembre 2021  7:52 ,103.0,11.34,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.56,1.11,0.00,3.28,0.00,0.00
3677161.0,Finished,7 décembre 2021  4:04 ,7 décembre 2021  5:46 ,101.0,18.38,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.05,0.00,2.22
28607538.0,Finished,7 décembre 2021  4:03 ,7 décembre 2021  5:48 ,104.0,14.44,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,2.22,3.89,1.11,0.00
3810013.0,Finished,6 décembre 2021  4:00 ,6 décembre 2021  5:45 ,105.0,12.32,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,0.00,3.43,0.00,-
3407716.0,Finished,7 décembre 2021  4:08 ,7 décembre 2021  5:37 ,89.0,16.97,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,2.22,5.30,0.00,2.22
21113747.0,Finished,6 décembre 2021  3:57 ,6 décembre 2021  5:42 ,105.0,9.39,1.11,1.11,1.11,1.11,0.56,1.11,0.00,0.56,0.00,0.00,2.73,-,-
3800028.0,Finished,6 décembre 2021  4:07 ,6 décembre 2021  5:50 ,103.0,10.51,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,3.28,0.00,0.00
28620112.0,Finished,9 décembre 2021  6:08 ,9 décembre 2021  7:52 ,104.0,17.58,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,2.22,3.69,1.11,2.22
28602386.0,Finished,9 décembre 2021  6:01 ,9 décembre 2021  6:55 ,53.72,12.58,1.11,0.56,1.11,1.11,0.56,0.56,1.11,0.56,1.11,0.00,4.80,0.00,0.00
28600769.0,Finished,8 décembre 2021  10:52 ,8 décembre 2021  12:36 ,103.0,14.90,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,2.22,4.90,0.00,-
28606830.0,Finished,6 décembre 2021  4:02 ,6 décembre 2021  5:57 ,115.0,14.65,1.11,1.11,1.11,-,0.00,0.56,1.11,0.00,0.00,2.22,4.09,1.11,2.22
28600492.0,Finished,6 décembre 2021  4:03 ,6 décembre 2021  5:28 ,84.0,15.40,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.00,0.00,2.22,5.40,1.11,0.00
3801873.0,Finished,7 décembre 2021  4:05 ,7 décembre 2021  5:50 ,104.0,11.92,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,0.00,3.03,1.11,0.00
28711440.0,Finished,6 décembre 2021  3:57 ,6 décembre 2021  5:42 ,105.0,13.79,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,4.34,0.00,2.22
28600464.0,Finished,7 décembre 2021  4:00 ,7 décembre 2021  5:45 ,105.0,12.98,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,2.22,3.54,0.00,-
28506638.0,Finished,8 décembre 2021  10:53 ,8 décembre 2021  12:38 ,105.0,13.74,1.11,1.11,1.11,1.11,0.00,1.11,1.11,0.56,0.00,0.00,5.40,1.11,0.00
28604304.0,Finished,6 décembre 2021  4:00 ,6 décembre 2021  5:43 ,103.0,15.56,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,2.22,4.44,1.11,0.00
28608396.0,Finished,7 décembre 2021  4:01 ,7 décembre 2021  5:46 ,105.0,12.12,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,0.00,3.79,-,-
3708782.0,Finished,7 décembre 2021  4:00 ,7 décembre 2021  5:35 ,94.0,14.19,1.11,1.11,1.11,0.00,0.00,1.11,1.11,0.56,0.00,2.22,4.75,1.11,0.00
28610448.0,Finished,8 décembre 2021  10:53 ,8 décembre 2021  12:28 ,95.0,12.83,1.11,1.11,1.11,1.11,0.00,1.11,0.00,0.56,0.56,0.00,5.05,1.11,0.00
28601953.0,Finished,9 décembre 2021  6:01 ,9 décembre 2021  7:04 ,63.0,9.49,1.11,1.11,1.11,0.00,0.56,1.11,1.11,0.56,0.00,0.00,2.83,0.00,0.00
3702809.0,Finished,8 décembre 2021  10:54 ,8 décembre 2021  12:08 ,74.0,12.20,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.56,0.00,0.00,5.25,0.00,0.00
21116436.0,Finished,6 décembre 2021  3:58 ,6 décembre 2021  5:43 ,105.0,18.74,1.11,1.11,0.56,1.11,0.56,1.11,1.11,0.56,1.11,2.22,4.85,1.11,2.22
3700453.0,Finished,7 décembre 2021  4:08 ,7 décembre 2021  5:52 ,103.0,12.63,1.11,1.11,1.11,0.00,0.00,0.56,1.11,0.56,0.00,0.00,4.85,0.00,2.22
3808875.0,Finished,6 décembre 2021  4:02 ,6 décembre 2021  5:47 ,105.0,9.67,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.56,0.00,2.22,0.51,-,-
28600559.0,Finished,6 décembre 2021  4:03 ,6 décembre 2021  5:46 ,103.0,14.70,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,2.22,4.14,0.00,0.00
28717594.0,Finished,9 décembre 2021  6:07 ,9 décembre 2021  7:50 ,103.0,16.31,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,2.22,5.20,1.11,0.00
3800162.0,Finished,7 décembre 2021  4:00 ,7 décembre 2021  5:37 ,96.0,16.82,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,2.22,5.15,1.11,0.00
21109170.0,Finished,7 décembre 2021  4:04 ,7 décembre 2021  5:46 ,102.0,18.18,1.11,1.11,1.11,1.11,0.00,1.11,1.11,0.56,0.00,2.22,5.40,1.11,2.22
21100776.0,Finished,7 décembre 2021  4:06 ,7 décembre 2021  5:51 ,105.0,10.00,1.11,0.56,1.11,1.11,0.56,0.56,-,0.56,0.00,0.00,4.44,0.00,0.00
3672320.0,Finished,7 décembre 2021  4:05 ,7 décembre 2021  5:33 ,88.0,10.20,0.56,0.56,1.11,1.11,0.00,0.00,0.56,0.56,0.00,0.00,4.65,1.11,-
28610190.0,Finished,8 décembre 2021  10:52 ,8 décembre 2021  12:18 ,85.0,14.14,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,0.00,5.25,1.11,0.00
3810768.0,Finished,6 décembre 2021  4:00 ,6 décembre 2021  5:45 ,105.0,13.69,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,2.22,3.13,0.00,0.00
28607223.0,Finished,6 décembre 2021  4:10 ,6 décembre 2021  5:14 ,63.0,15.66,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,5.10,1.11,2.22
3415756.0,Finished,7 décembre 2021  3:56 ,7 décembre 2021  5:36 ,99.0,15.45,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.00,0.00,2.22,3.79,1.11,2.22
3522190.0,Finished,7 décembre 2021  4:08 ,7 décembre 2021  5:48 ,100.0,19.14,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,2.22,5.25,1.11,2.22
28609645.0,Finished,8 décembre 2021  10:52 ,8 décembre 2021  12:29 ,96.0,13.91,1.11,1.11,1.11,0.00,0.28,1.11,1.11,0.56,0.00,0.00,5.30,0.00,2.22
28617603.0,Finished,6 décembre 2021  4:03 ,6 décembre 2021  5:58 ,114.0,12.12,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,0.00,4.34,0.00,0.00
28600712.0,Finished,7 décembre 2021  4:04 ,7 décembre 2021  5:46 ,102.0,18.23,1.11,1.11,1.11,1.11,0.00,1.11,1.11,0.56,0.00,2.22,5.45,1.11,2.22
28610127.0,Finished,8 décembre 2021  10:53 ,8 décembre 2021  12:38 ,105.0,12.98,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.56,0.00,0.00,5.20,1.11,-
28610328.0,Finished,9 décembre 2021  6:07 ,9 décembre 2021  7:52 ,104.0,13.64,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,2.22,4.19,0.00,0.00
28717871.0,Finished,6 décembre 2021  3:58 ,6 décembre 2021  5:43 ,105.0,15.40,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,2.22,4.29,1.11,-
28601343.0,Finished,9 décembre 2021  6:00 ,9 décembre 2021  7:45 ,104.0,10.45,1.11,1.11,1.11,1.11,0.00,0.56,1.11,0.56,0.00,0.00,3.79,0.00,0.00
3603679.0,Finished,8 décembre 2021  10:58 ,8 décembre 2021  12:28 ,89.0,15.96,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.56,0.00,5.40,0.00,2.22
3809215.0,Finished,9 décembre 2021  6:06 ,9 décembre 2021  7:50 ,104.0,11.72,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,4.49,0.00,0.00
28603036.0,Finished,8 décembre 2021  10:54 ,8 décembre 2021  12:12 ,78.0,13.38,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,0.00,5.05,1.11,0.00
