State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /3.00,Q. 3 /4.00,Q. 4 /6.00,Q. 5 /1.00,Q. 6 /1.00
Finished,19 September 2022  12:54 PM,19 September 2022  1:24 PM,29,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,19 September 2022  10:32 PM,19 September 2022  11:11 PM,39,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,20 September 2022  12:43 PM,20 September 2022  1:55 PM,72,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,20 September 2022  3:13 PM,20 September 2022  4:23 PM,69,17.00,5.00,3.00,4.00,3.00,1.00,1.00
Finished,20 September 2022  7:45 PM,20 September 2022  8:33 PM,49,17.00,5.00,0.00,4.00,6.00,1.00,1.00
Finished,21 September 2022  12:06 PM,21 September 2022  1:10 PM,64,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,21 September 2022  1:46 PM,21 September 2022  2:18 PM,32,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,21 September 2022  10:09 PM,21 September 2022  10:55 PM,45,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,21 September 2022  10:46 PM,22 September 2022  12:05 AM,79,12.00,5.00,2.00,4.00,0.00,0.00,1.00
Finished,21 September 2022  10:55 PM,21 September 2022  11:29 PM,34,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  10:23 AM,22 September 2022  10:58 AM,35,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  1:13 PM,22 September 2022  2:27 PM,74,13.78,2.78,3.00,4.00,3.00,1.00,0.00
Finished,22 September 2022  2:37 PM,22 September 2022  2:42 PM,4,13.00,5.00,3.00,3.00,0.00,1.00,1.00
Finished,22 September 2022  2:49 PM,22 September 2022  3:49 PM,59,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  3:16 PM,22 September 2022  3:48 PM,32,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  3:21 PM,22 September 2022  4:04 PM,43,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  3:26 PM,22 September 2022  4:04 PM,38,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  3:26 PM,22 September 2022  4:03 PM,37,19.00,5.00,3.00,3.00,6.00,1.00,1.00
Finished,22 September 2022  3:26 PM,22 September 2022  4:05 PM,39,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  4:09 PM,22 September 2022  4:24 PM,15,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  4:15 PM,22 September 2022  4:56 PM,41,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  4:38 PM,22 September 2022  5:11 PM,33,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  4:38 PM,22 September 2022  5:15 PM,37,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  4:39 PM,22 September 2022  6:39 PM,120,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  4:40 PM,22 September 2022  5:18 PM,38,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  4:42 PM,22 September 2022  4:59 PM,18,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  4:42 PM,22 September 2022  4:59 PM,17,19.00,5.00,3.00,3.00,6.00,1.00,1.00
Finished,22 September 2022  6:24 PM,22 September 2022  7:24 PM,60,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  8:45 PM,22 September 2022  9:36 PM,51,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  9:06 PM,22 September 2022  9:11 PM,6,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  11:10 PM,22 September 2022  11:53 PM,43,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,22 September 2022  11:36 PM,23 September 2022  12:29 AM,53,12.67,1.67,3.00,4.00,3.00,0.00,1.00
Finished,22 September 2022  11:44 PM,23 September 2022  12:06 AM,22,13.78,2.78,3.00,4.00,3.00,0.00,1.00
Finished,23 September 2022  7:51 AM,23 September 2022  8:56 AM,64,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  10:18 AM,23 September 2022  11:06 AM,48,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  11:04 AM,23 September 2022  11:11 AM,7,13.00,5.00,0.00,0.00,6.00,1.00,1.00
Finished,23 September 2022  1:09 PM,23 September 2022  3:08 PM,119,13.78,2.78,3.00,4.00,3.00,0.00,1.00
Finished,23 September 2022  1:11 PM,23 September 2022  2:14 PM,63,13.00,5.00,3.00,4.00,0.00,1.00,0.00
Finished,23 September 2022  1:49 PM,23 September 2022  3:29 PM,99,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  2:12 PM,23 September 2022  3:51 PM,98,16.00,5.00,3.00,4.00,3.00,0.00,1.00
Finished,23 September 2022  2:17 PM,23 September 2022  3:29 PM,71,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  3:01 PM,23 September 2022  3:50 PM,49,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  3:46 PM,23 September 2022  4:33 PM,46,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  4:55 PM,23 September 2022  6:00 PM,64,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  5:13 PM,23 September 2022  6:09 PM,57,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  5:16 PM,23 September 2022  6:38 PM,82,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  5:52 PM,23 September 2022  6:38 PM,46,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  5:59 PM,23 September 2022  6:59 PM,60,17.00,5.00,3.00,4.00,3.00,1.00,1.00
Finished,23 September 2022  5:59 PM,23 September 2022  6:59 PM,60,17.00,5.00,3.00,4.00,3.00,1.00,1.00
Finished,23 September 2022  6:02 PM,23 September 2022  6:58 PM,55,17.00,5.00,3.00,4.00,3.00,1.00,1.00
Finished,23 September 2022  6:03 PM,23 September 2022  6:58 PM,55,17.00,5.00,3.00,4.00,3.00,1.00,1.00
Finished,23 September 2022  6:23 PM,23 September 2022  7:39 PM,75,15.00,5.00,3.00,3.00,3.00,0.00,1.00
Finished,23 September 2022  6:25 PM,23 September 2022  7:36 PM,70,18.89,3.89,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  6:30 PM,23 September 2022  7:34 PM,64,18.89,3.89,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  6:38 PM,23 September 2022  6:55 PM,17,18.89,3.89,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  7:19 PM,23 September 2022  8:03 PM,44,13.22,2.22,3.00,4.00,3.00,0.00,1.00
Finished,23 September 2022  7:24 PM,23 September 2022  9:12 PM,108,20.00,5.00,3.00,4.00,6.00,1.00,1.00
Finished,23 September 2022  7:26 PM,23 September 2022  8:12 PM,47,13.00,5.00,3.00,4.00,0.00,0.00,1.00
Finished,23 September 2022  8:13 PM,23 September 2022  8:54 PM,42,20.00,5.00,3.00,4.00,6.00,1.00,1.00
