State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /8.62,Q. 2 /11.38
Finished,3 October 2022  4:10 PM,3 October 2022  5:05 PM,55 mins 4 secs,19.69,8.62,11.08
Finished,4 October 2022  9:17 AM,4 October 2022  10:05 AM,48 mins 16 secs,10.36,5.13,5.23
Finished,4 October 2022  12:55 PM,4 October 2022  2:02 PM,1 hour 6 mins,19.38,8.62,10.77
Finished,5 October 2022  1:05 PM,5 October 2022  2:02 PM,56 mins 15 secs,20.00,8.62,11.38
Finished,5 October 2022  2:02 PM,5 October 2022  2:59 PM,56 mins 47 secs,20.00,8.62,11.38
Finished,5 October 2022  4:16 PM,5 October 2022  5:06 PM,49 mins 40 secs,19.69,8.62,11.08
Finished,5 October 2022  4:27 PM,5 October 2022  4:46 PM,18 mins 58 secs,19.69,8.62,11.08
Finished,5 October 2022  4:48 PM,5 October 2022  5:22 PM,33 mins 43 secs,19.69,8.62,11.08
Finished,5 October 2022  5:18 PM,5 October 2022  6:27 PM,1 hour 9 mins,18.15,7.38,10.77
Finished,6 October 2022  1:19 PM,6 October 2022  2:10 PM,50 mins 21 secs,19.18,8.41,10.77
Finished,6 October 2022  3:02 PM,6 October 2022  4:11 PM,1 hour 8 mins,19.79,8.41,11.38
Finished,6 October 2022  3:07 PM,6 October 2022  4:09 PM,1 hour 1 min,19.38,8.31,11.08
Finished,6 October 2022  3:07 PM,6 October 2022  4:09 PM,1 hour 1 min,19.69,8.62,11.08
Finished,6 October 2022  3:08 PM,6 October 2022  4:09 PM,1 hour 1 min,19.79,8.41,11.38
Finished,6 October 2022  3:08 PM,6 October 2022  4:11 PM,1 hour 2 mins,20.00,8.62,11.38
Finished,6 October 2022  3:54 PM,6 October 2022  4:31 PM,36 mins 40 secs,19.38,8.62,10.77
Finished,6 October 2022  3:54 PM,6 October 2022  4:29 PM,34 mins 51 secs,19.38,8.62,10.77
Finished,6 October 2022  5:11 PM,6 October 2022  5:41 PM,30 mins 5 secs,14.77,7.38,7.38
Finished,6 October 2022  8:23 PM,6 October 2022  8:59 PM,35 mins 49 secs,15.59,4.51,11.08
Finished,6 October 2022  10:47 PM,7 October 2022  12:47 AM,2 hours,15.59,8.62,6.97
Finished,7 October 2022  10:29 AM,7 October 2022  11:12 AM,42 mins 53 secs,15.38,8.00,7.38
Finished,7 October 2022  1:07 PM,7 October 2022  2:58 PM,1 hour 51 mins,15.59,6.97,8.62
Finished,7 October 2022  1:45 PM,7 October 2022  2:42 PM,56 mins 26 secs,14.36,6.97,7.38
Finished,7 October 2022  2:39 PM,7 October 2022  3:15 PM,36 mins 36 secs,15.28,8.21,7.08
Finished,7 October 2022  3:13 PM,7 October 2022  3:39 PM,26 mins 30 secs,12.97,7.38,5.59
Finished,7 October 2022  4:03 PM,7 October 2022  4:37 PM,34 mins 25 secs,20.00,8.62,11.38
Finished,7 October 2022  4:12 PM,7 October 2022  5:42 PM,1 hour 30 mins,19.08,8.00,11.08
Finished,7 October 2022  4:30 PM,7 October 2022  6:30 PM,1 hour 59 mins,16.26,5.23,11.03
Finished,7 October 2022  4:32 PM,7 October 2022  5:25 PM,52 mins 43 secs,20.00,8.62,11.38
Finished,7 October 2022  4:43 PM,7 October 2022  5:41 PM,58 mins 21 secs,16.31,8.62,7.69
Finished,7 October 2022  4:43 PM,7 October 2022  5:28 PM,45 mins 12 secs,20.00,8.62,11.38
Finished,7 October 2022  4:56 PM,7 October 2022  6:10 PM,1 hour 14 mins,10.36,5.23,5.13
Finished,7 October 2022  5:29 PM,7 October 2022  6:40 PM,1 hour 10 mins,15.38,4.92,10.46
Finished,7 October 2022  5:58 PM,7 October 2022  7:05 PM,1 hour 6 mins,17.95,7.18,10.77
Finished,7 October 2022  6:14 PM,7 October 2022  8:14 PM,1 hour 59 mins,14.82,7.79,7.03
Finished,7 October 2022  6:17 PM,7 October 2022  7:20 PM,1 hour 3 mins,18.87,7.79,11.08
Finished,7 October 2022  6:21 PM,7 October 2022  6:35 PM,13 mins 57 secs,19.33,8.62,10.72
Finished,7 October 2022  7:16 PM,7 October 2022  8:08 PM,51 mins 44 secs,16.82,6.36,10.46
Finished,7 October 2022  7:20 PM,7 October 2022  8:49 PM,1 hour 28 mins,15.08,7.38,7.69
Finished,7 October 2022  8:08 PM,7 October 2022  9:09 PM,1 hour 1 min,19.69,8.62,11.08
Finished,7 October 2022  8:10 PM,7 October 2022  9:14 PM,1 hour 3 mins,19.38,8.62,10.77
Finished,7 October 2022  8:25 PM,7 October 2022  8:53 PM,27 mins 34 secs,18.05,6.97,11.08
Finished,7 October 2022  8:38 PM,7 October 2022  9:33 PM,55 mins 5 secs,19.69,8.62,11.08
Finished,7 October 2022  8:39 PM,7 October 2022  9:06 PM,26 mins 56 secs,19.64,8.62,11.03
Finished,7 October 2022  9:13 PM,7 October 2022  10:34 PM,1 hour 21 mins,18.05,6.97,11.08
Finished,7 October 2022  9:52 PM,7 October 2022  10:51 PM,58 mins 33 secs,19.69,8.62,11.08
Finished,7 October 2022  10:03 PM,7 October 2022  11:07 PM,1 hour 4 mins,19.38,8.62,10.77
Finished,7 October 2022  10:20 PM,8 October 2022  12:20 AM,2 hours,15.90,7.59,8.31
Finished,7 October 2022  10:24 PM,7 October 2022  10:30 PM,6 mins 12 secs,18.21,8.62,9.59
Finished,7 October 2022  10:29 PM,8 October 2022  12:29 AM,1 hour 59 mins,13.23,8.00,5.23
Finished,7 October 2022  10:29 PM,8 October 2022  12:18 AM,1 hour 48 mins,13.95,8.62,5.33
Finished,7 October 2022  10:31 PM,7 October 2022  11:18 PM,47 mins 7 secs,16.10,8.62,7.49
Finished,7 October 2022  10:46 PM,8 October 2022  12:32 AM,1 hour 45 mins,18.41,8.62,9.79
Finished,7 October 2022  10:50 PM,7 October 2022  11:01 PM,10 mins 32 secs,14.36,5.74,8.62
Finished,7 October 2022  11:00 PM,8 October 2022  1:00 AM,2 hours,19.38,8.00,11.38
Finished,7 October 2022  11:08 PM,7 October 2022  11:18 PM,9 mins 45 secs,19.69,8.62,11.08
Finished,7 October 2022  11:11 PM,8 October 2022  12:56 AM,1 hour 44 mins,19.69,8.31,11.38
Finished,7 October 2022  11:14 PM,8 October 2022  12:33 AM,1 hour 18 mins,18.67,8.62,10.05
Finished,7 October 2022  11:15 PM,8 October 2022  1:14 AM,1 hour 59 mins,20.00,8.62,11.38
Finished,8 October 2022  12:09 AM,8 October 2022  1:17 AM,1 hour 7 mins,20.00,8.62,11.38
Finished,8 October 2022  1:10 AM,8 October 2022  1:47 AM,36 mins 33 secs,19.79,8.41,11.38
Finished,8 October 2022  6:19 AM,8 October 2022  7:25 AM,1 hour 5 mins,7.59,5.64,1.95
