State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
Finished,24 October 2022  6:12 PM,24 October 2022  8:12 PM,120,18.00,18.00
Finished,24 October 2022  8:23 PM,24 October 2022  8:40 PM,17,14.00,14.00
Finished,25 October 2022  9:13 AM,25 October 2022  9:37 AM,24,13.33,13.33
Finished,25 October 2022  10:23 AM,25 October 2022  10:55 AM,32,20.00,20.00
Finished,25 October 2022  3:11 PM,25 October 2022  4:13 PM,62,20.00,20.00
Finished,25 October 2022  3:11 PM,25 October 2022  4:13 PM,62,20.00,20.00
Finished,25 October 2022  4:20 PM,25 October 2022  6:20 PM,120,0.00,-
Finished,25 October 2022  5:36 PM,25 October 2022  5:51 PM,15,18.00,18.00
Finished,25 October 2022  9:24 PM,25 October 2022  9:45 PM,21,20.00,20.00
Finished,26 October 2022  4:49 PM,26 October 2022  5:32 PM,43,20.00,20.00
Finished,26 October 2022  5:35 PM,26 October 2022  5:45 PM,10,20.00,20.00
Finished,26 October 2022  5:55 PM,26 October 2022  6:44 PM,49,16.00,16.00
Finished,26 October 2022  9:24 PM,26 October 2022  9:45 PM,21,20.00,20.00
Finished,26 October 2022  10:22 PM,26 October 2022  10:35 PM,13,20.00,20.00
Finished,27 October 2022  1:42 PM,27 October 2022  2:17 PM,35,20.00,20.00
Finished,27 October 2022  2:45 PM,27 October 2022  3:11 PM,26,19.33,19.33
Finished,27 October 2022  2:45 PM,27 October 2022  3:11 PM,26,19.33,19.33
Finished,27 October 2022  2:46 PM,27 October 2022  3:18 PM,32,20.00,20.00
Finished,27 October 2022  2:46 PM,27 October 2022  3:15 PM,29,20.00,20.00
Finished,27 October 2022  2:49 PM,27 October 2022  4:49 PM,120,19.33,19.33
Finished,27 October 2022  2:49 PM,27 October 2022  3:18 PM,29,20.00,20.00
Finished,27 October 2022  2:50 PM,27 October 2022  3:18 PM,28,20.00,20.00
Finished,27 October 2022  7:30 PM,27 October 2022  7:54 PM,25,20.00,20.00
Finished,27 October 2022  7:30 PM,27 October 2022  8:27 PM,57,20.00,20.00
Finished,27 October 2022  7:30 PM,27 October 2022  7:55 PM,26,20.00,20.00
Finished,27 October 2022  8:09 PM,27 October 2022  8:48 PM,39,20.00,20.00
Finished,28 October 2022  9:18 AM,28 October 2022  10:13 AM,55,14.67,14.67
Finished,28 October 2022  9:23 AM,28 October 2022  10:16 AM,53,20.00,20.00
Finished,28 October 2022  12:42 PM,28 October 2022  1:21 PM,39,18.00,18.00
Finished,28 October 2022  2:52 PM,28 October 2022  3:18 PM,26,16.67,16.67
Finished,28 October 2022  3:05 PM,28 October 2022  3:29 PM,25,19.33,19.33
Finished,28 October 2022  3:20 PM,28 October 2022  3:41 PM,20,20.00,20.00
Finished,28 October 2022  4:05 PM,28 October 2022  4:46 PM,41,20.00,20.00
Finished,28 October 2022  5:16 PM,28 October 2022  5:52 PM,36,20.00,20.00
Finished,28 October 2022  5:47 PM,28 October 2022  6:05 PM,17,15.33,15.33
