State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /5.00,Q. 3 /5.00,Q. 4 /5.00
Finished,21 November 2022  2:09 PM,21 November 2022  3:18 PM,1 hour 9 mins,12.50,5.00,3.33,0.00,4.17
Finished,21 November 2022  9:08 PM,21 November 2022  10:45 PM,1 hour 37 mins,13.33,5.00,1.67,2.50,4.17
Finished,21 November 2022  9:08 PM,21 November 2022  10:45 PM,1 hour 37 mins,12.78,4.44,1.67,2.50,4.17
Finished,21 November 2022  10:15 PM,21 November 2022  11:19 PM,1 hour 4 mins,11.11,2.78,3.33,2.50,2.50
Finished,22 November 2022  12:03 AM,22 November 2022  1:52 AM,1 hour 49 mins,15.00,5.00,3.33,2.50,4.17
Finished,22 November 2022  12:03 AM,22 November 2022  1:47 AM,1 hour 44 mins,15.00,5.00,3.33,2.50,4.17
Finished,22 November 2022  8:49 AM,22 November 2022  9:56 AM,1 hour 6 mins,10.56,3.89,1.67,2.50,2.50
Finished,22 November 2022  1:18 PM,22 November 2022  3:09 PM,1 hour 50 mins,13.33,5.00,1.67,2.50,4.17
Finished,22 November 2022  6:15 PM,22 November 2022  7:58 PM,1 hour 43 mins,10.83,1.67,3.33,2.50,3.33
Finished,23 November 2022  4:10 PM,23 November 2022  6:10 PM,2 hours,13.06,4.72,3.33,2.50,2.50
Finished,23 November 2022  4:18 PM,23 November 2022  6:18 PM,2 hours,13.06,4.72,3.33,2.50,2.50
Finished,23 November 2022  5:07 PM,23 November 2022  6:28 PM,1 hour 21 mins,11.39,4.72,3.33,2.50,0.83
Finished,23 November 2022  8:20 PM,23 November 2022  8:59 PM,38 mins 24 secs,15.83,5.00,3.33,2.50,5.00
Finished,23 November 2022  8:23 PM,23 November 2022  8:59 PM,35 mins 33 secs,15.83,5.00,3.33,2.50,5.00
Finished,24 November 2022  10:50 AM,24 November 2022  11:34 AM,43 mins 11 secs,13.33,5.00,3.33,2.50,2.50
Finished,24 November 2022  1:54 PM,24 November 2022  3:33 PM,1 hour 38 mins,16.11,4.44,5.00,2.50,4.17
Finished,24 November 2022  3:03 PM,24 November 2022  4:36 PM,1 hour 33 mins,16.67,5.00,5.00,2.50,4.17
Finished,24 November 2022  3:03 PM,24 November 2022  4:36 PM,1 hour 33 mins,15.00,5.00,3.33,2.50,4.17
Finished,24 November 2022  3:05 PM,24 November 2022  4:36 PM,1 hour 30 mins,13.33,5.00,3.33,2.50,2.50
Finished,24 November 2022  3:05 PM,24 November 2022  4:36 PM,1 hour 31 mins,16.67,5.00,5.00,2.50,4.17
Finished,24 November 2022  3:57 PM,24 November 2022  4:51 PM,53 mins 15 secs,12.78,2.78,3.33,2.50,4.17
Finished,24 November 2022  4:09 PM,24 November 2022  5:22 PM,1 hour 12 mins,15.00,5.00,3.33,2.50,4.17
Finished,25 November 2022  9:24 AM,25 November 2022  11:23 AM,1 hour 59 mins,12.50,3.33,3.33,2.50,3.33
Finished,25 November 2022  9:29 AM,25 November 2022  11:23 AM,1 hour 54 mins,9.72,3.89,3.33,2.50,0.00
Finished,25 November 2022  9:33 AM,25 November 2022  10:45 AM,1 hour 12 mins,14.72,4.72,3.33,2.50,4.17
Finished,25 November 2022  11:49 AM,25 November 2022  1:48 PM,1 hour 58 mins,12.22,2.22,3.33,2.50,4.17
Finished,25 November 2022  1:57 PM,25 November 2022  2:59 PM,1 hour 2 mins,8.06,3.89,3.33,0.00,0.83
Finished,25 November 2022  2:59 PM,25 November 2022  3:27 PM,27 mins 19 secs,11.39,3.89,3.33,0.00,4.17
Finished,25 November 2022  4:00 PM,25 November 2022  5:58 PM,1 hour 57 mins,15.00,5.00,5.00,0.00,5.00
Finished,25 November 2022  5:15 PM,25 November 2022  5:58 PM,42 mins 58 secs,16.67,5.00,5.00,2.50,4.17
Finished,25 November 2022  6:39 PM,25 November 2022  8:25 PM,1 hour 45 mins,15.00,5.00,3.33,2.50,4.17
Finished,25 November 2022  7:53 PM,25 November 2022  9:39 PM,1 hour 46 mins,11.11,2.78,1.67,2.50,4.17
Finished,25 November 2022  7:58 PM,25 November 2022  9:30 PM,1 hour 31 mins,6.94,2.78,1.67,2.50,0.00
Finished,25 November 2022  8:33 PM,25 November 2022  10:25 PM,1 hour 52 mins,10.56,3.89,1.67,2.50,2.50
Finished,25 November 2022  8:33 PM,25 November 2022  9:39 PM,1 hour 5 mins,14.72,4.72,3.33,2.50,4.17
Finished,25 November 2022  9:17 PM,25 November 2022  10:41 PM,1 hour 24 mins,13.06,4.72,1.67,2.50,4.17
Finished,25 November 2022  10:38 PM,26 November 2022  12:34 AM,1 hour 55 mins,15.00,5.00,3.33,2.50,4.17
Finished,25 November 2022  10:39 PM,26 November 2022  12:31 AM,1 hour 51 mins,15.00,5.00,3.33,2.50,4.17
Finished,25 November 2022  10:52 PM,26 November 2022  12:52 AM,2 hours,15.00,5.00,3.33,2.50,4.17
Finished,25 November 2022  10:52 PM,26 November 2022  12:52 AM,2 hours,16.67,5.00,5.00,2.50,4.17
Finished,25 November 2022  11:07 PM,26 November 2022  1:06 AM,1 hour 59 mins,15.00,5.00,3.33,2.50,4.17
Finished,25 November 2022  11:08 PM,26 November 2022  12:13 AM,1 hour 5 mins,10.56,2.22,1.67,2.50,4.17
Finished,25 November 2022  11:18 PM,26 November 2022  1:18 AM,2 hours,8.61,2.78,3.33,0.00,2.50
Finished,25 November 2022  11:52 PM,26 November 2022  1:52 AM,2 hours,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  12:50 AM,26 November 2022  2:50 AM,2 hours,10.28,2.78,3.33,0.00,4.17
Finished,26 November 2022  12:51 AM,26 November 2022  2:07 AM,1 hour 16 mins,10.28,2.78,3.33,0.00,4.17
Finished,26 November 2022  12:51 AM,26 November 2022  1:56 AM,1 hour 5 mins,9.17,1.67,3.33,0.00,4.17
Finished,26 November 2022  12:52 AM,26 November 2022  2:04 AM,1 hour 12 mins,10.28,2.78,3.33,0.00,4.17
Finished,26 November 2022  12:52 AM,26 November 2022  2:52 AM,1 hour 59 mins,14.17,5.00,3.33,2.50,3.33
Finished,26 November 2022  5:09 AM,26 November 2022  6:34 AM,1 hour 25 mins,13.33,5.00,3.33,2.50,2.50
Finished,26 November 2022  9:01 AM,26 November 2022  11:01 AM,2 hours,7.22,0.56,0.00,2.50,4.17
Finished,26 November 2022  9:34 AM,26 November 2022  11:34 AM,2 hours,15.56,3.89,5.00,2.50,4.17
Finished,26 November 2022  10:13 AM,26 November 2022  11:36 AM,1 hour 22 mins,11.39,3.89,3.33,0.00,4.17
Finished,26 November 2022  10:16 AM,26 November 2022  10:53 AM,37 mins 33 secs,17.50,5.00,5.00,2.50,5.00
Finished,26 November 2022  10:38 AM,26 November 2022  11:49 AM,1 hour 11 mins,15.00,5.00,3.33,2.50,4.17
Finished,26 November 2022  10:43 AM,26 November 2022  11:54 AM,1 hour 10 mins,12.22,3.89,1.67,2.50,4.17
