ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.43,Q. 2 /2.14,Q. 3 /5.36,Q. 4 /1.43,Q. 5 /1.07,Q. 6 /1.07,Q. 7 /3.21,Q. 8 /3.21,Q. 9 /1.07
28706664.0,Finished,14 November 2022  4:00 PM,14 November 2022  4:46 PM,46.1,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28725032.0,Finished,14 November 2022  4:00 PM,14 November 2022  4:55 PM,55.2,20.00,1.43,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
21215887.0,Finished,14 November 2022  4:00 PM,14 November 2022  5:07 PM,66.0,20.00,1.43,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
21218709.0,Finished,14 November 2022  4:01 PM,14 November 2022  5:10 PM,69.0,19.42,1.43,2.14,5.13,1.43,0.71,1.07,3.21,3.21,1.07
28720263.0,Finished,14 November 2022  4:01 PM,14 November 2022  4:53 PM,51.95,18.71,1.07,2.14,5.13,1.07,1.07,1.07,2.86,3.21,1.07
28708977.0,Finished,14 November 2022  4:01 PM,14 November 2022  5:07 PM,66.0,19.48,1.07,1.98,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28630611.0,Finished,14 November 2022  4:01 PM,14 November 2022  4:56 PM,55.67,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28631974.0,Finished,14 November 2022  4:01 PM,14 November 2022  4:57 PM,56.48,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28707797.0,Finished,14 November 2022  4:01 PM,14 November 2022  4:53 PM,51.65,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28706138.0,Finished,14 November 2022  4:01 PM,14 November 2022  4:52 PM,50.6,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28706762.0,Finished,14 November 2022  4:02 PM,14 November 2022  5:15 PM,73.0,17.14,1.07,2.14,5.36,1.43,0.00,0.36,2.86,2.86,1.07
21214576.0,Finished,14 November 2022  4:02 PM,14 November 2022  5:06 PM,63.0,18.43,1.07,1.15,5.13,1.43,1.07,1.07,3.21,3.21,1.07
28710344.0,Finished,14 November 2022  4:02 PM,14 November 2022  5:05 PM,63.0,18.76,1.07,1.98,5.36,1.43,0.36,1.07,3.21,3.21,1.07
21207306.0,Finished,14 November 2022  4:02 PM,14 November 2022  4:52 PM,49.88,19.20,1.07,2.14,4.91,1.43,1.07,1.07,3.21,3.21,1.07
28706411.0,Finished,14 November 2022  4:03 PM,14 November 2022  4:54 PM,50.35,19.42,1.07,2.14,5.13,1.43,1.07,1.07,3.21,3.21,1.07
3520774.0,Finished,14 November 2022  4:04 PM,14 November 2022  5:10 PM,66.0,18.93,1.07,2.14,5.36,1.07,1.07,1.07,3.21,3.21,0.71
28706087.0,Finished,14 November 2022  4:04 PM,14 November 2022  4:53 PM,49.57,17.63,1.43,2.14,5.13,0.71,0.00,1.07,3.21,3.21,0.71
28716428.0,Finished,14 November 2022  4:04 PM,14 November 2022  5:03 PM,59.37,19.64,1.43,2.14,5.36,1.43,1.07,1.07,2.86,3.21,1.07
3811446.0,Finished,14 November 2022  4:04 PM,14 November 2022  5:05 PM,61.0,19.06,1.07,2.14,5.13,1.43,1.07,0.71,3.21,3.21,1.07
21113317.0,Finished,14 November 2022  4:05 PM,14 November 2022  5:04 PM,59.07,19.20,1.07,2.14,4.91,1.43,1.07,1.07,3.21,3.21,1.07
21201851.0,Finished,14 November 2022  4:05 PM,14 November 2022  5:16 PM,70.0,18.54,1.07,1.98,5.13,1.43,1.07,0.71,2.86,3.21,1.07
3702042.0,Finished,14 November 2022  4:05 PM,14 November 2022  5:44 PM,99.0,18.35,1.43,2.14,5.13,1.07,1.07,0.71,2.50,3.21,1.07
3808685.0,Finished,14 November 2022  4:05 PM,14 November 2022  4:56 PM,51.33,19.06,1.07,2.14,5.13,1.43,1.07,1.07,2.86,3.21,1.07
28707726.0,Finished,14 November 2022  4:06 PM,14 November 2022  5:07 PM,61.0,17.41,1.07,2.14,4.91,1.43,1.07,1.07,2.50,2.14,1.07
28706879.0,Finished,14 November 2022  4:06 PM,14 November 2022  4:53 PM,47.93,17.63,1.07,2.14,5.13,0.71,1.07,0.71,2.50,3.21,1.07
28711811.0,Finished,14 November 2022  4:06 PM,14 November 2022  4:55 PM,49.03,18.04,1.07,2.14,4.46,1.43,1.07,1.07,2.86,2.86,1.07
28718775.0,Finished,14 November 2022  4:06 PM,14 November 2022  5:04 PM,57.47,20.00,1.43,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28713149.0,Finished,14 November 2022  4:07 PM,14 November 2022  5:08 PM,60.0,17.88,1.43,1.81,5.36,0.71,0.71,0.71,3.21,3.21,0.71
21212724.0,Finished,14 November 2022  4:08 PM,14 November 2022  5:03 PM,55.43,19.20,1.43,2.14,4.91,1.43,1.07,1.07,2.86,3.21,1.07
28706052.0,Finished,14 November 2022  4:08 PM,14 November 2022  5:11 PM,62.0,18.93,1.07,2.14,5.36,1.43,0.36,1.07,3.21,3.21,1.07
28706848.0,Finished,14 November 2022  4:09 PM,14 November 2022  4:51 PM,42.07,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28632942.0,Finished,14 November 2022  4:09 PM,14 November 2022  4:50 PM,41.13,19.29,1.07,2.14,5.36,1.07,1.07,1.07,3.21,3.21,1.07
28614630.0,Finished,14 November 2022  4:09 PM,14 November 2022  5:13 PM,63.0,19.29,1.43,2.14,5.36,1.43,1.07,1.07,2.86,3.21,0.71
28710401.0,Finished,14 November 2022  4:09 PM,14 November 2022  5:04 PM,54.95,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28614730.0,Finished,14 November 2022  4:09 PM,14 November 2022  4:57 PM,47.92,19.29,1.43,2.14,5.36,1.43,1.07,1.07,2.50,3.21,1.07
28707798.0,Finished,14 November 2022  4:16 PM,14 November 2022  4:59 PM,43.4,18.57,1.07,2.14,5.36,1.43,0.36,0.71,3.21,3.21,1.07
28707365.0,Finished,14 November 2022  4:17 PM,14 November 2022  5:08 PM,50.93,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
3802649.0,Finished,15 November 2022  3:59 PM,15 November 2022  4:29 PM,29.07,19.06,1.07,2.14,5.13,1.43,1.07,1.07,3.21,2.86,1.07
21215141.0,Finished,15 November 2022  4:00 PM,15 November 2022  4:43 PM,43.63,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28711664.0,Finished,15 November 2022  4:00 PM,15 November 2022  4:58 PM,58.05,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
3804152.0,Finished,15 November 2022  4:01 PM,15 November 2022  4:35 PM,34.43,18.93,1.07,2.14,5.36,1.07,1.07,1.07,2.86,3.21,1.07
21208523.0,Finished,15 November 2022  4:01 PM,15 November 2022  4:58 PM,57.57,19.29,1.07,2.14,5.36,1.43,1.07,0.71,3.21,3.21,1.07
21200527.0,Finished,15 November 2022  4:01 PM,15 November 2022  4:52 PM,50.9,15.95,1.07,1.98,4.69,0.36,1.07,0.36,2.50,3.21,0.71
28706331.0,Finished,15 November 2022  4:01 PM,15 November 2022  4:31 PM,30.17,18.35,0.36,2.14,5.13,1.43,1.07,0.71,3.21,3.21,1.07
28618109.0,Finished,15 November 2022  4:01 PM,15 November 2022  5:11 PM,69.0,19.29,1.07,2.14,5.36,1.07,1.07,1.07,3.21,3.21,1.07
28711501.0,Finished,15 November 2022  4:01 PM,15 November 2022  5:22 PM,80.0,16.04,1.07,1.98,5.13,0.71,0.71,0.71,2.86,2.50,0.36
21218316.0,Finished,15 November 2022  4:01 PM,15 November 2022  4:50 PM,48.32,18.48,1.07,2.14,4.91,1.43,1.07,1.07,2.86,2.86,1.07
28600768.0,Finished,15 November 2022  4:01 PM,15 November 2022  4:26 PM,24.7,19.06,1.07,2.14,5.13,1.07,1.07,1.07,3.21,3.21,1.07
28713301.0,Finished,15 November 2022  4:01 PM,15 November 2022  5:16 PM,74.0,19.06,1.07,2.14,5.13,1.07,1.07,1.07,3.21,3.21,1.07
28707180.0,Finished,15 November 2022  4:01 PM,15 November 2022  5:46 PM,105.0,18.76,1.07,1.98,5.36,1.07,1.07,0.71,3.21,3.21,1.07
28706076.0,Finished,15 November 2022  4:02 PM,15 November 2022  4:29 PM,26.97,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28708487.0,Finished,15 November 2022  4:02 PM,15 November 2022  4:57 PM,55.22,19.64,1.43,2.14,5.36,1.43,1.07,1.07,2.86,3.21,1.07
28616341.0,Finished,15 November 2022  4:02 PM,15 November 2022  4:46 PM,44.03,18.57,1.07,2.14,5.36,1.43,1.07,0.71,2.86,3.21,0.71
28711002.0,Finished,15 November 2022  4:02 PM,15 November 2022  4:45 PM,42.82,19.48,1.07,1.98,5.36,1.43,1.07,1.07,3.21,3.21,1.07
3804052.0,Finished,15 November 2022  4:03 PM,15 November 2022  5:48 PM,105.0,0.00,-,-,-,-,-,-,-,-,-
28705959.0,Finished,15 November 2022  4:04 PM,15 November 2022  4:43 PM,38.78,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28608444.0,Finished,15 November 2022  4:04 PM,15 November 2022  4:39 PM,34.47,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
3804887.0,Finished,15 November 2022  4:04 PM,15 November 2022  5:17 PM,72.0,19.64,1.43,2.14,5.36,1.43,1.07,1.07,3.21,3.21,0.71
28609357.0,Finished,15 November 2022  4:05 PM,15 November 2022  4:42 PM,37.1,17.99,1.07,2.14,5.13,1.43,1.07,1.07,2.86,2.86,0.36
28711733.0,Finished,15 November 2022  4:05 PM,15 November 2022  5:12 PM,67.0,17.99,1.07,2.14,5.13,1.43,1.07,0.71,2.86,2.86,0.71
3803088.0,Finished,15 November 2022  4:07 PM,15 November 2022  5:11 PM,64.0,18.35,1.07,2.14,5.13,1.43,1.07,0.71,3.21,2.86,0.71
3702933.0,Finished,15 November 2022  4:07 PM,15 November 2022  4:40 PM,33.62,18.93,1.07,2.14,5.36,1.43,1.07,0.71,3.21,2.86,1.07
