State,Started on,Completed,Time taken,Grade/20.00
Finished,19 septembre 2021  11:19 ,20 septembre 2021  12:11 ,51.77,8.18
Finished,19 septembre 2021  11:27 ,19 septembre 2021  12:09 ,42.25,15.45
Finished,20 septembre 2021  8:33 ,20 septembre 2021  8:37 ,4.6,15.45
Finished,18 septembre 2021  4:29 ,18 septembre 2021  5:15 ,45.78,14.55
Finished,17 septembre 2021  9:52 ,17 septembre 2021  10:58 ,65.0,18.64
Finished,19 septembre 2021  4:31 ,19 septembre 2021  5:41 ,69.0,10.0
Finished,19 septembre 2021  10:30 ,20 septembre 2021  12:00 ,90.0,13.64
Finished,19 septembre 2021  11:17 ,19 septembre 2021  12:13 ,55.67,15.45
Finished,19 septembre 2021  10:25 ,19 septembre 2021  11:33 ,67.0,5.91
Finished,19 septembre 2021  9:53 ,19 septembre 2021  10:53 ,59.28,15.91
Finished,14 septembre 2021  5:42 ,14 septembre 2021  7:36 ,113.0,15.0
Finished,19 septembre 2021  9:27 ,19 septembre 2021  9:31 ,4.17,10.0
Finished,17 septembre 2021  9:02 ,17 septembre 2021  10:59 ,116.0,9.09
Finished,19 septembre 2021  9:56 ,19 septembre 2021  10:26 ,30.35,15.91
Finished,20 septembre 2021  12:14 ,20 septembre 2021  12:30 ,16.05,14.55
Finished,14 septembre 2021  1:56 ,14 septembre 2021  2:42 ,45.93,16.36
Finished,19 septembre 2021  1:17 ,19 septembre 2021  2:48 ,90.0,9.09
Finished,20 septembre 2021  7:57 ,20 septembre 2021  9:57 ,120.0,0.0
Finished,19 septembre 2021  5:24 ,19 septembre 2021  5:43 ,18.52,15.45
Finished,19 septembre 2021  5:30 ,19 septembre 2021  6:32 ,62.0,16.36
Finished,19 septembre 2021  3:21 ,19 septembre 2021  3:32 ,10.78,15.45
Finished,18 septembre 2021  6:14 ,18 septembre 2021  8:08 ,114.0,3.64
Finished,19 septembre 2021  11:26 ,20 septembre 2021  12:59 ,92.0,16.36
Finished,19 septembre 2021  8:39 ,19 septembre 2021  10:39 ,119.0,11.36
Finished,19 septembre 2021  3:13 ,19 septembre 2021  4:02 ,49.02,10.91
Finished,20 septembre 2021  8:52 ,20 septembre 2021  9:59 ,67.0,13.64
Finished,19 septembre 2021  3:10 ,19 septembre 2021  3:39 ,28.63,10.91
Finished,15 septembre 2021  10:04 ,15 septembre 2021  11:29 ,85.0,10.91
Finished,19 septembre 2021  9:46 ,19 septembre 2021  11:41 ,114.0,16.36
Finished,16 septembre 2021  2:50 ,16 septembre 2021  4:49 ,118.0,8.18
Finished,19 septembre 2021  8:31 ,19 septembre 2021  9:54 ,83.0,17.27
Finished,20 septembre 2021  12:35 ,20 septembre 2021  1:49 ,74.0,18.18
Finished,16 septembre 2021  5:54 ,16 septembre 2021  7:26 ,92.0,6.36
Finished,18 septembre 2021  1:00 ,18 septembre 2021  1:40 ,40.13,19.09
Finished,16 septembre 2021  7:09 ,16 septembre 2021  8:38 ,89.0,11.36
Finished,18 septembre 2021  11:30 ,18 septembre 2021  12:06 ,35.9,16.82
Finished,14 septembre 2021  1:54 ,14 septembre 2021  2:13 ,18.6,1.82
Finished,19 septembre 2021  10:48 ,19 septembre 2021  11:25 ,37.15,4.55
Finished,18 septembre 2021  6:27 ,18 septembre 2021  7:15 ,48.12,14.55
Finished,14 septembre 2021  7:40 ,14 septembre 2021  8:31 ,50.67,18.18
Finished,18 septembre 2021  2:27 ,18 septembre 2021  3:46 ,79.0,15.45
Finished,15 septembre 2021  4:38 ,15 septembre 2021  6:37 ,119.0,13.64
Finished,14 septembre 2021  1:18 ,14 septembre 2021  2:23 ,64.0,12.73
Finished,18 septembre 2021  12:53 ,18 septembre 2021  1:27 ,33.9,15.45
Finished,18 septembre 2021  2:16 ,18 septembre 2021  3:33 ,76.0,17.27
Finished,19 septembre 2021  11:24 ,20 septembre 2021  12:26 ,61.0,17.73
Finished,20 septembre 2021  12:29 ,20 septembre 2021  12:49 ,19.35,15.45
Finished,20 septembre 2021  7:46 ,20 septembre 2021  8:45 ,58.62,0.91
Finished,19 septembre 2021  9:41 ,19 septembre 2021  11:31 ,109.0,16.36
Finished,19 septembre 2021  5:08 ,19 septembre 2021  5:26 ,17.5,15.45
Finished,19 septembre 2021  6:32 ,19 septembre 2021  8:32 ,120.0,14.55
Finished,14 septembre 2021  3:56 ,14 septembre 2021  4:56 ,60.0,11.82
Finished,19 septembre 2021  11:42 ,20 septembre 2021  12:27 ,45.58,6.36
