ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /3.53,Q. 2 /2.94,Q. 3 /0.59,Q. 4 /0.59,Q. 5 /7.06,Q. 6 /1.18,Q. 7 /2.35,Q. 8 /1.76
3802135.0,Finished,28 September 2020  12:32 AM,28 September 2020  1:13 AM,40.77,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3803619.0,Finished,25 September 2020  11:22 AM,25 September 2020  12:51 PM,88.0,16.47,2.94,1.18,0.59,0.00,7.06,1.18,2.35,1.18
3804139.0,Finished,27 September 2020  1:44 PM,27 September 2020  3:44 PM,119.0,17.06,3.53,2.94,0.59,0.00,7.06,1.18,1.18,0.59
3800432.0,Finished,22 September 2020  5:30 PM,22 September 2020  6:50 PM,79.0,18.24,2.94,2.94,0.59,0.59,7.06,0.59,2.35,1.18
3876256.0,Finished,27 September 2020  10:36 PM,27 September 2020  11:07 PM,30.5,16.47,1.76,2.94,0.59,0.59,7.06,1.18,1.76,0.59
28502318.0,Finished,26 September 2020  7:05 PM,26 September 2020  8:44 PM,99.0,11.76,1.18,1.18,0.00,0.00,7.06,0.59,1.76,0.00
3702388.0,Finished,27 September 2020  4:05 PM,27 September 2020  5:00 PM,54.45,14.71,1.76,2.94,0.59,0.59,4.71,1.18,2.35,0.59
3802651.0,Finished,27 September 2020  4:32 PM,27 September 2020  4:48 PM,15.58,17.65,2.94,2.94,0.59,0.59,7.06,1.18,2.35,0.00
3416871.0,Finished,22 September 2020  5:13 PM,22 September 2020  6:51 PM,98.0,14.71,1.18,1.18,0.59,0.00,7.06,1.18,2.35,1.18
3671634.0,Finished,27 September 2020  7:03 PM,27 September 2020  7:38 PM,35.42,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3700108.0,Finished,25 September 2020  6:07 PM,25 September 2020  7:15 PM,68.0,10.59,1.18,0.59,0.00,0.00,7.06,1.18,0.59,0.00
3410283.0,Finished,21 September 2020  7:16 PM,21 September 2020  8:25 PM,69.0,13.53,0.59,1.18,0.59,0.00,7.06,1.18,1.76,1.18
3802501.0,Finished,28 September 2020  12:35 AM,28 September 2020  2:14 AM,99.0,19.41,3.53,2.94,0.59,0.59,7.06,1.18,2.35,1.18
3803112.0,Finished,28 September 2020  12:30 AM,28 September 2020  1:08 AM,37.8,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3701404.0,Finished,27 September 2020  11:07 PM,27 September 2020  11:29 PM,22.27,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3700144.0,Finished,24 September 2020  4:34 PM,24 September 2020  5:25 PM,51.45,15.29,1.76,2.94,0.00,0.00,7.06,1.18,1.76,0.59
3804929.0,Finished,27 September 2020  11:24 PM,28 September 2020  12:52 AM,88.0,16.47,1.76,2.94,0.59,0.59,7.06,1.18,1.76,0.59
3802734.0,Finished,27 September 2020  3:22 PM,27 September 2020  4:26 PM,64.0,17.06,1.76,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3208353.0,Finished,26 September 2020  8:08 PM,26 September 2020  9:15 PM,66.0,17.06,1.76,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3710439.0,Finished,28 September 2020  1:22 AM,28 September 2020  2:41 AM,79.0,8.82,1.18,1.76,0.59,0.00,1.76,1.18,1.18,1.18
3670543.0,Finished,27 September 2020  3:43 PM,27 September 2020  4:00 PM,16.48,17.06,3.53,2.35,0.59,0.00,7.06,1.18,1.18,1.18
3806311.0,Finished,22 September 2020  11:22 AM,22 September 2020  12:29 PM,67.0,17.06,3.53,2.35,0.59,0.00,7.06,1.18,1.76,0.59
3710493.0,Finished,27 September 2020  1:50 PM,27 September 2020  3:49 PM,118.0,14.12,2.94,1.18,0.59,0.00,7.06,1.18,0.59,0.59
3671340.0,Finished,27 September 2020  4:32 PM,27 September 2020  4:48 PM,16.47,18.24,3.53,2.94,0.59,0.59,7.06,1.18,2.35,0.00
28717430.0,Finished,27 September 2020  12:04 PM,27 September 2020  2:04 PM,120.0,10.59,0.59,1.76,0.00,0.00,7.06,0.00,0.59,0.59
3677177.0,Finished,27 September 2020  8:14 PM,27 September 2020  10:12 PM,118.0,10.59,0.59,0.59,0.59,0.00,7.06,0.59,1.18,0.00
3670574.0,Finished,23 September 2020  4:24 AM,23 September 2020  5:23 AM,58.95,14.12,2.35,2.35,0.59,0.00,7.06,1.18,0.59,0.00
28616068.0,Finished,27 September 2020  10:34 PM,28 September 2020  12:34 AM,119.0,18.82,3.53,2.94,0.59,0.00,7.06,1.18,2.35,1.18
3670795.0,Finished,24 September 2020  1:18 PM,24 September 2020  1:54 PM,35.93,12.35,1.76,1.76,0.00,0.00,7.06,1.18,0.00,0.59
3801935.0,Finished,27 September 2020  11:04 PM,28 September 2020  12:10 AM,66.0,14.12,0.59,0.59,0.59,0.59,7.06,1.18,2.35,1.18
3680559.0,Finished,21 September 2020  4:58 PM,21 September 2020  6:57 PM,119.0,14.71,0.00,1.76,0.59,0.59,7.06,1.18,2.35,1.18
3677063.0,Finished,27 September 2020  8:14 PM,27 September 2020  8:22 PM,7.55,16.47,1.76,2.94,0.59,0.59,7.06,1.18,1.76,0.59
3672216.0,Finished,24 September 2020  8:42 PM,24 September 2020  9:10 PM,28.12,12.94,1.76,1.76,0.00,0.00,7.06,1.18,0.59,0.59
3677850.0,Finished,21 September 2020  7:50 PM,21 September 2020  9:09 PM,79.0,4.71,2.94,0.59,0.59,0.00,0.59,-,-,-
3971113.0,Finished,27 September 2020  9:13 PM,27 September 2020  10:51 PM,98.0,16.47,1.76,2.94,0.59,0.00,7.06,1.18,2.35,0.59
28616582.0,Finished,23 September 2020  9:58 PM,23 September 2020  11:51 PM,112.0,10.59,1.76,1.18,0.00,0.00,7.06,0.59,0.00,0.00
28507548.0,Finished,27 September 2020  9:16 PM,27 September 2020  10:31 PM,75.0,10.00,0.59,0.00,0.00,0.00,7.06,1.18,0.00,1.18
3802696.0,Finished,26 September 2020  11:14 AM,26 September 2020  11:46 AM,31.82,11.18,1.18,1.76,0.59,0.00,7.06,0.00,0.00,0.59
28614429.0,Finished,22 September 2020  3:42 PM,22 September 2020  4:51 PM,69.0,11.18,0.59,0.59,0.59,0.59,7.06,0.00,1.18,0.59
3521310.0,Finished,25 September 2020  3:06 PM,25 September 2020  4:12 PM,66.0,11.76,1.76,0.59,0.00,0.00,7.06,1.18,0.59,0.59
3700288.0,Finished,27 September 2020  1:34 PM,27 September 2020  3:06 PM,91.0,9.41,1.76,1.18,0.00,0.00,3.53,1.18,1.18,0.59
3810883.0,Finished,21 September 2020  4:58 PM,21 September 2020  6:57 PM,119.0,14.12,0.00,1.76,0.59,0.00,7.06,1.18,2.35,1.18
3802927.0,Finished,28 September 2020  7:57 AM,28 September 2020  8:18 AM,20.92,19.41,3.53,2.94,0.59,0.59,7.06,1.18,2.35,1.18
3706553.0,Finished,27 September 2020  3:06 PM,27 September 2020  5:03 PM,117.0,9.41,1.76,0.59,0.59,0.00,3.53,1.18,1.18,0.59
3708951.0,Finished,27 September 2020  10:18 PM,27 September 2020  11:15 PM,56.63,15.88,3.53,2.94,0.00,0.00,7.06,1.18,0.59,0.59
3701943.0,Finished,27 September 2020  6:32 PM,27 September 2020  8:19 PM,107.0,15.29,2.94,2.35,0.59,0.00,7.06,1.18,0.59,0.59
