State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /7.00,Q. 2 /1.00,Q. 3 /2.00,Q. 4 /3.00,Q. 5 /1.00,Q. 6 /6.00
Finished,25 October 2020  11:27 PM,25 October 2020  11:46 PM,19.45,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,22 October 2020  11:16 AM,22 October 2020  11:49 AM,32.88,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  3:41 PM,25 October 2020  5:19 PM,98.0,18.21,6.50,1.00,2.00,3.00,1.00,4.71
Finished,25 October 2020  10:44 PM,25 October 2020  11:56 PM,72.0,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,21 October 2020  1:02 PM,21 October 2020  2:26 PM,83.0,16.57,7.00,1.00,2.00,3.00,1.00,2.57
Finished,25 October 2020  11:45 PM,26 October 2020  12:17 AM,31.33,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  11:19 PM,26 October 2020  12:39 AM,80.0,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  12:54 PM,25 October 2020  1:52 PM,57.92,16.57,7.00,1.00,2.00,3.00,1.00,2.57
Finished,24 October 2020  10:29 PM,24 October 2020  10:36 PM,7.0,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,19 October 2020  3:04 PM,19 October 2020  3:44 PM,40.22,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  9:23 PM,25 October 2020  9:26 PM,2.93,17.71,7.00,1.00,2.00,3.00,-,4.71
Finished,23 October 2020  9:42 AM,23 October 2020  9:45 AM,3.0,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  11:51 PM,26 October 2020  12:01 AM,10.25,18.21,6.50,1.00,2.00,3.00,1.00,4.71
Finished,25 October 2020  10:19 PM,25 October 2020  11:26 PM,67.0,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  8:10 PM,25 October 2020  8:15 PM,5.33,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  11:19 AM,25 October 2020  11:45 AM,25.85,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,23 October 2020  5:32 PM,23 October 2020  5:35 PM,2.75,17.43,7.00,1.00,2.00,3.00,1.00,3.43
Finished,25 October 2020  3:35 PM,25 October 2020  3:41 PM,5.67,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,26 October 2020  12:50 PM,26 October 2020  2:14 PM,84.0,19.57,7.00,1.00,2.00,3.00,1.00,5.57
Finished,24 October 2020  4:17 PM,24 October 2020  4:35 PM,18.25,18.71,7.00,1.00,2.00,3.00,1.00,4.71
Finished,25 October 2020  11:05 PM,25 October 2020  11:55 PM,50.42,19.57,7.00,1.00,2.00,3.00,1.00,5.57
Finished,26 October 2020  8:51 AM,26 October 2020  9:40 AM,48.95,19.14,7.00,1.00,2.00,3.00,1.00,5.14
Finished,19 October 2020  8:24 PM,19 October 2020  8:48 PM,23.62,18.00,7.00,1.00,0.00,3.00,1.00,6.00
Finished,22 October 2020  9:15 PM,22 October 2020  9:17 PM,1.67,18.71,7.00,1.00,2.00,3.00,1.00,4.71
Finished,24 October 2020  10:57 PM,25 October 2020  12:16 AM,79.0,19.14,7.00,1.00,2.00,3.00,1.00,5.14
Finished,24 October 2020  10:28 PM,24 October 2020  10:34 PM,5.97,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,23 October 2020  8:39 PM,23 October 2020  9:03 PM,23.92,18.71,7.00,1.00,2.00,3.00,1.00,4.71
Finished,26 October 2020  9:29 AM,26 October 2020  10:16 AM,46.97,19.14,7.00,1.00,2.00,3.00,1.00,5.14
Finished,25 October 2020  2:25 AM,25 October 2020  2:43 AM,17.5,16.64,6.50,1.00,0.00,3.00,1.00,5.14
Finished,24 October 2020  6:59 PM,24 October 2020  8:15 PM,75.0,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,21 October 2020  12:09 PM,21 October 2020  12:23 PM,14.07,16.57,7.00,1.00,2.00,3.00,1.00,2.57
Finished,20 October 2020  2:01 PM,20 October 2020  2:29 PM,27.93,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,24 October 2020  8:17 PM,24 October 2020  9:27 PM,69.0,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  7:00 PM,25 October 2020  7:04 PM,4.1,16.57,7.00,1.00,2.00,3.00,1.00,2.57
Finished,25 October 2020  10:19 PM,25 October 2020  10:51 PM,31.92,16.00,7.00,1.00,0.00,1.00,1.00,6.00
Finished,26 October 2020  12:55 AM,26 October 2020  1:21 AM,26.03,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,26 October 2020  4:06 AM,26 October 2020  4:21 AM,14.95,18.71,7.00,1.00,2.00,3.00,1.00,4.71
Finished,25 October 2020  8:35 AM,25 October 2020  9:09 AM,34.08,11.57,7.00,1.00,0.00,0.00,1.00,2.57
Finished,24 October 2020  2:08 PM,24 October 2020  2:27 PM,19.1,14.57,5.00,1.00,2.00,3.00,1.00,2.57
Finished,25 October 2020  5:01 PM,25 October 2020  5:23 PM,22.72,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,26 October 2020  12:09 AM,26 October 2020  12:15 AM,6.25,18.71,7.00,1.00,2.00,3.00,1.00,4.71
Finished,25 October 2020  11:01 PM,25 October 2020  11:17 PM,16.07,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  4:39 PM,25 October 2020  5:26 PM,47.23,16.57,7.00,1.00,2.00,3.00,1.00,2.57
Finished,20 October 2020  2:01 PM,20 October 2020  2:29 PM,28.15,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  10:47 PM,25 October 2020  11:10 PM,23.08,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  1:46 PM,25 October 2020  2:16 PM,30.15,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  11:41 PM,26 October 2020  12:17 AM,36.32,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,26 October 2020  8:56 AM,26 October 2020  9:41 AM,45.27,13.57,4.00,1.00,2.00,3.00,1.00,2.57
Finished,25 October 2020  9:08 AM,25 October 2020  9:21 AM,13.62,15.71,7.00,1.00,2.00,3.00,1.00,1.71
Finished,26 October 2020  12:45 AM,26 October 2020  1:30 AM,45.3,19.14,7.00,1.00,2.00,3.00,1.00,5.14
Finished,25 October 2020  12:06 PM,25 October 2020  12:14 PM,7.6,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,26 October 2020  4:57 AM,26 October 2020  5:32 AM,34.6,17.50,4.50,1.00,2.00,3.00,1.00,6.00
Finished,21 October 2020  6:16 PM,21 October 2020  6:26 PM,10.12,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,24 October 2020  2:29 PM,24 October 2020  2:48 PM,19.08,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  8:34 PM,25 October 2020  9:16 PM,41.63,14.86,7.00,1.00,2.00,0.00,1.00,3.86
Finished,20 October 2020  2:01 PM,20 October 2020  2:29 PM,28.0,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  12:52 AM,25 October 2020  1:11 AM,19.17,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  11:27 PM,25 October 2020  11:56 PM,29.3,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,26 October 2020  8:30 AM,26 October 2020  8:55 AM,25.07,17.86,7.00,1.00,2.00,3.00,1.00,3.86
Finished,19 October 2020  12:30 PM,19 October 2020  1:44 PM,73.0,15.57,7.00,0.00,2.00,3.00,1.00,2.57
Finished,24 October 2020  6:54 PM,24 October 2020  7:25 PM,31.23,19.07,6.50,1.00,2.00,3.00,1.00,5.57
Finished,25 October 2020  4:42 PM,25 October 2020  5:00 PM,18.48,17.86,7.00,1.00,2.00,3.00,1.00,3.86
Finished,25 October 2020  9:43 PM,25 October 2020  10:23 PM,40.15,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,26 October 2020  8:55 AM,26 October 2020  10:28 AM,93.0,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  4:53 PM,25 October 2020  5:17 PM,24.05,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  10:08 PM,25 October 2020  10:52 PM,44.37,9.00,7.00,0.00,0.00,1.00,1.00,0.00
Finished,24 October 2020  9:06 PM,24 October 2020  9:30 PM,23.97,19.57,7.00,1.00,2.00,3.00,1.00,5.57
Finished,26 October 2020  5:36 AM,26 October 2020  6:00 AM,24.72,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  7:56 PM,25 October 2020  8:02 PM,5.98,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,24 October 2020  8:28 PM,24 October 2020  9:29 PM,61.0,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,24 October 2020  11:31 PM,24 October 2020  11:51 PM,20.02,19.50,6.50,1.00,2.00,3.00,1.00,6.00
Finished,24 October 2020  11:27 PM,24 October 2020  11:34 PM,7.12,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,26 October 2020  2:33 AM,26 October 2020  3:01 AM,28.17,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,24 October 2020  6:53 PM,24 October 2020  7:25 PM,32.23,19.07,6.50,1.00,2.00,3.00,1.00,5.57
Finished,26 October 2020  7:28 AM,26 October 2020  8:33 AM,64.0,19.14,7.00,1.00,2.00,3.00,1.00,5.14
Finished,25 October 2020  9:48 PM,25 October 2020  10:49 PM,60.0,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  5:47 PM,25 October 2020  6:15 PM,27.9,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  8:29 PM,25 October 2020  9:18 PM,48.5,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,25 October 2020  5:36 PM,25 October 2020  5:48 PM,12.5,20.00,7.00,1.00,2.00,3.00,1.00,6.00
Finished,26 October 2020  7:25 AM,26 October 2020  7:39 AM,13.33,20.00,7.00,1.00,2.00,3.00,1.00,6.00
