ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.00,Q. 2 /1.00,Q. 3 /1.00,Q. 4 /1.00,Q. 5 /1.00,Q. 6 /1.00,Q. 7 /14.00
3802135.0,Finished,14 December 2020  1:38 AM,14 December 2020  1:45 AM,7.02,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
3803619.0,Finished,12 December 2020  5:42 PM,12 December 2020  6:45 PM,62.0,13.65,1.00,1.00,1.00,1.00,0.00,1.00,8.65
3803619.0,Finished,14 December 2020  8:02 PM,14 December 2020  8:14 PM,12.25,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
3802009.0,Finished,14 December 2020  7:56 AM,14 December 2020  9:49 AM,112.0,11.59,1.00,1.00,1.00,1.00,1.00,0.00,6.59
3804139.0,Finished,13 December 2020  11:03 PM,14 December 2020  12:40 AM,97.0,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
3800432.0,Finished,11 December 2020  12:39 PM,11 December 2020  1:24 PM,45.2,13.65,1.00,1.00,1.00,1.00,1.00,0.00,8.65
3876256.0,Finished,13 December 2020  7:17 PM,13 December 2020  8:14 PM,56.78,17.00,1.00,0.00,1.00,0.00,0.00,1.00,14.00
28502318.0,Finished,13 December 2020  2:54 PM,13 December 2020  4:23 PM,89.0,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
3702388.0,Finished,14 December 2020  9:21 AM,14 December 2020  10:24 AM,63.0,8.29,1.00,1.00,1.00,1.00,1.00,0.00,3.29
3802651.0,Finished,13 December 2020  9:01 PM,13 December 2020  9:05 PM,3.9,18.59,1.00,1.00,1.00,1.00,0.00,1.00,13.59
3416871.0,Finished,10 December 2020  4:47 PM,10 December 2020  6:04 PM,77.0,17.35,1.00,1.00,1.00,1.00,1.00,0.00,12.35
3671634.0,Finished,14 December 2020  12:07 AM,14 December 2020  12:12 AM,4.62,19.59,1.00,1.00,1.00,1.00,1.00,1.00,13.59
3700108.0,Finished,10 December 2020  4:47 PM,10 December 2020  6:04 PM,76.0,17.35,1.00,1.00,1.00,1.00,1.00,0.00,12.35
3410283.0,Finished,13 December 2020  10:16 PM,13 December 2020  11:07 PM,51.87,16.59,1.00,0.00,1.00,0.00,0.00,1.00,13.59
3802501.0,Finished,14 December 2020  3:01 AM,14 December 2020  3:42 AM,41.23,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
3803112.0,Finished,13 December 2020  11:45 PM,13 December 2020  11:51 PM,5.4,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
28710978.0,Finished,13 December 2020  10:29 AM,13 December 2020  11:28 AM,59.07,18.59,1.00,1.00,1.00,1.00,1.00,0.00,13.59
3701404.0,Finished,14 December 2020  2:35 AM,14 December 2020  2:45 AM,10.02,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
3700144.0,Finished,14 December 2020  12:26 AM,14 December 2020  1:37 AM,71.0,19.59,1.00,1.00,1.00,1.00,1.00,1.00,13.59
3804929.0,Finished,13 December 2020  11:19 PM,14 December 2020  12:55 AM,96.0,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
3802734.0,Finished,13 December 2020  10:27 PM,13 December 2020  11:17 PM,50.03,17.00,1.00,0.00,1.00,0.00,1.00,0.00,14.00
3208353.0,Finished,13 December 2020  10:05 PM,14 December 2020  12:05 AM,120.0,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
3710439.0,Finished,14 December 2020  3:29 AM,14 December 2020  4:38 AM,68.0,6.12,0.00,1.00,0.00,1.00,0.00,0.00,4.12
3670543.0,Finished,13 December 2020  12:47 PM,13 December 2020  1:08 PM,20.95,14.06,1.00,1.00,1.00,1.00,0.00,1.00,9.06
3806311.0,Finished,13 December 2020  4:33 PM,13 December 2020  4:58 PM,24.42,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
3710493.0,Finished,13 December 2020  11:02 PM,13 December 2020  11:41 PM,38.97,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
3671340.0,Finished,14 December 2020  12:46 AM,14 December 2020  12:55 AM,8.48,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
28717430.0,Finished,13 December 2020  10:57 PM,13 December 2020  11:53 PM,56.25,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
28616068.0,Finished,14 December 2020  8:02 AM,14 December 2020  9:54 AM,112.0,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
3670795.0,Finished,13 December 2020  1:14 PM,13 December 2020  1:28 PM,13.65,19.00,1.00,1.00,1.00,1.00,1.00,0.00,14.00
3801935.0,Finished,14 December 2020  7:41 PM,14 December 2020  9:22 PM,101.0,18.59,1.00,1.00,1.00,1.00,0.00,1.00,13.59
3680559.0,Finished,8 December 2020  2:17 PM,8 December 2020  3:24 PM,66.0,16.12,1.00,1.00,1.00,1.00,1.00,0.00,11.12
3672216.0,Finished,11 December 2020  7:39 PM,11 December 2020  7:44 PM,5.12,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
3971113.0,Finished,14 December 2020  8:45 AM,14 December 2020  8:57 AM,11.75,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
28616582.0,Finished,14 December 2020  10:31 AM,14 December 2020  10:43 AM,12.32,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
28507548.0,Finished,14 December 2020  10:13 AM,14 December 2020  10:43 AM,29.48,11.18,1.00,1.00,1.00,1.00,1.00,0.00,6.18
28717951.0,Finished,14 December 2020  1:39 AM,14 December 2020  2:46 AM,67.0,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
3803521.0,Finished,13 December 2020  9:05 PM,13 December 2020  10:55 PM,109.0,19.00,1.00,1.00,1.00,1.00,1.00,0.00,14.00
3810883.0,Finished,8 December 2020  2:18 PM,8 December 2020  3:24 PM,66.0,16.12,1.00,1.00,1.00,1.00,1.00,0.00,11.12
3802927.0,Finished,14 December 2020  8:53 AM,14 December 2020  9:08 AM,14.95,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
3706553.0,Finished,13 December 2020  10:24 AM,13 December 2020  10:58 AM,34.32,5.76,0.00,0.00,0.00,0.00,0.00,0.00,5.76
3708951.0,Finished,14 December 2020  12:58 AM,14 December 2020  1:54 AM,55.67,16.12,1.00,1.00,1.00,1.00,1.00,0.00,11.12
28720090.0,Finished,14 December 2020  9:00 AM,14 December 2020  10:08 AM,67.0,5.06,1.00,1.00,0.00,0.00,1.00,0.00,2.06
3701943.0,Finished,14 December 2020  9:08 AM,14 December 2020  10:24 AM,75.0,18.18,1.00,1.00,1.00,1.00,1.00,0.00,13.18
3302425.0,Finished,13 December 2020  10:34 PM,13 December 2020  11:14 PM,39.98,19.00,1.00,1.00,1.00,1.00,1.00,0.00,14.00
3801875.0,Finished,13 December 2020  9:02 PM,13 December 2020  11:02 PM,120.0,17.76,1.00,1.00,1.00,1.00,1.00,0.00,12.76
3800455.0,Finished,9 December 2020  2:12 AM,9 December 2020  3:19 AM,67.0,15.00,0.00,0.00,0.00,0.00,1.00,0.00,14.00
3700584.0,Finished,14 December 2020  12:13 AM,14 December 2020  12:32 AM,18.95,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
3800333.0,Finished,12 December 2020  3:43 PM,12 December 2020  4:31 PM,47.47,19.00,1.00,1.00,1.00,1.00,1.00,0.00,14.00
3700463.0,Finished,13 December 2020  11:51 PM,14 December 2020  12:11 AM,19.63,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
3706539.0,Finished,8 December 2020  2:18 PM,8 December 2020  3:24 PM,66.0,16.12,1.00,1.00,1.00,1.00,1.00,0.00,11.12
28718098.0,Finished,14 December 2020  8:44 AM,14 December 2020  10:22 AM,97.0,17.35,1.00,1.00,1.00,1.00,1.00,0.00,12.35
3970876.0,Finished,14 December 2020  2:28 AM,14 December 2020  3:42 AM,74.0,19.00,1.00,1.00,1.00,1.00,0.00,1.00,14.00
3520680.0,Finished,14 December 2020  4:11 AM,14 December 2020  4:21 AM,10.27,19.59,1.00,1.00,1.00,1.00,1.00,1.00,13.59
3800042.0,Finished,14 December 2020  8:07 AM,14 December 2020  9:47 AM,99.0,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
3520431.0,Finished,14 December 2020  9:47 AM,14 December 2020  10:28 AM,40.57,10.88,0.00,0.00,0.00,0.00,0.00,1.00,9.88
3800417.0,Finished,13 December 2020  4:05 PM,13 December 2020  4:45 PM,40.27,14.06,1.00,1.00,1.00,1.00,1.00,0.00,9.06
3520375.0,Finished,13 December 2020  6:36 PM,13 December 2020  7:37 PM,61.0,15.29,1.00,1.00,1.00,1.00,1.00,0.00,10.29
3702742.0,Finished,10 December 2020  5:17 PM,10 December 2020  6:43 PM,85.0,14.29,1.00,1.00,1.00,1.00,0.00,0.00,10.29
3872455.0,Finished,14 December 2020  9:01 AM,14 December 2020  10:10 AM,69.0,15.71,1.00,1.00,1.00,1.00,1.00,0.00,10.71
3802719.0,Finished,13 December 2020  10:58 PM,13 December 2020  11:15 PM,17.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
3802466.0,Finished,13 December 2020  9:26 PM,13 December 2020  11:25 PM,119.0,20.00,1.00,1.00,1.00,1.00,1.00,1.00,14.00
