ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.43,Q. 2 /2.14,Q. 3 /5.36,Q. 4 /1.43,Q. 5 /1.07,Q. 6 /1.07,Q. 7 /3.21,Q. 8 /3.21,Q. 9 /1.07
3802135.0,Finished,27 November 2020  3:54 PM,27 November 2020  4:07 PM,13.13,19.29,1.07,2.14,5.36,1.43,1.07,0.71,3.21,3.21,1.07
3803619.0,Finished,23 November 2020  4:07 PM,23 November 2020  4:59 PM,52.1,19.78,1.43,2.14,5.13,1.43,1.07,1.07,3.21,3.21,1.07
3804139.0,Finished,27 November 2020  3:59 PM,27 November 2020  4:53 PM,54.42,19.29,1.07,2.14,5.36,1.43,0.71,1.07,3.21,3.21,1.07
3800432.0,Finished,23 November 2020  4:55 PM,23 November 2020  5:30 PM,35.25,18.57,1.07,2.14,5.36,1.43,1.07,0.71,2.86,3.21,0.71
3876256.0,Finished,27 November 2020  3:35 PM,27 November 2020  3:57 PM,21.93,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28502318.0,Finished,25 November 2020  10:43 AM,25 November 2020  12:17 PM,94.0,18.71,1.43,2.14,5.13,1.43,1.07,0.71,2.86,2.86,1.07
3702388.0,Finished,25 November 2020  10:53 AM,25 November 2020  12:22 PM,89.0,15.98,0.36,2.14,4.91,0.71,0.00,0.71,3.21,3.21,0.71
3802651.0,Finished,27 November 2020  10:48 AM,27 November 2020  12:08 PM,80.0,18.82,1.43,1.32,5.36,1.43,1.07,1.07,3.21,3.21,0.71
3416871.0,Finished,25 November 2020  10:21 AM,25 November 2020  11:04 AM,42.35,19.42,1.07,2.14,5.13,1.43,1.07,1.07,3.21,3.21,1.07
3700108.0,Finished,23 November 2020  4:08 PM,23 November 2020  5:10 PM,61.0,17.41,1.07,2.14,4.91,1.07,1.07,0.00,3.21,2.86,1.07
3802501.0,Finished,26 November 2020  12:09 PM,26 November 2020  1:23 PM,73.0,19.64,1.43,2.14,5.36,1.43,1.07,0.71,3.21,3.21,1.07
3803112.0,Finished,27 November 2020  4:00 PM,27 November 2020  5:34 PM,93.0,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28710978.0,Finished,23 November 2020  4:08 PM,23 November 2020  5:25 PM,76.0,15.23,1.43,1.48,4.46,0.00,0.36,0.71,3.21,3.21,0.36
3701404.0,Finished,27 November 2020  2:31 PM,27 November 2020  3:07 PM,36.23,18.24,1.07,1.32,5.13,1.43,1.07,1.07,3.21,3.21,0.71
3700144.0,Finished,23 November 2020  4:07 PM,23 November 2020  5:20 PM,73.0,20.00,1.43,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
3802734.0,Finished,25 November 2020  10:36 AM,25 November 2020  11:41 AM,65.0,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
3208353.0,Finished,29 November 2020  6:07 PM,29 November 2020  7:42 PM,94.0,19.42,1.43,2.14,5.13,1.43,1.07,0.71,3.21,3.21,1.07
3670543.0,Finished,25 November 2020  10:21 AM,25 November 2020  11:27 AM,65.0,19.20,1.07,2.14,4.91,1.43,1.07,1.07,3.21,3.21,1.07
3806311.0,Finished,27 November 2020  3:57 PM,27 November 2020  4:33 PM,36.18,20.00,1.43,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
3710493.0,Finished,23 November 2020  4:37 PM,23 November 2020  5:52 PM,75.0,15.68,0.36,1.98,5.13,1.07,0.36,0.36,2.50,2.86,1.07
3671340.0,Finished,27 November 2020  10:52 AM,27 November 2020  12:09 PM,76.0,18.60,1.07,1.32,5.13,1.43,1.07,1.07,3.21,3.21,1.07
28717430.0,Finished,26 November 2020  11:24 AM,26 November 2020  12:43 PM,78.0,19.29,1.07,2.14,5.36,1.43,1.07,0.71,3.21,3.21,1.07
28616068.0,Finished,27 November 2020  3:58 PM,27 November 2020  5:29 PM,90.0,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
3670795.0,Finished,27 November 2020  3:46 PM,27 November 2020  3:54 PM,7.6,20.00,1.43,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
3801935.0,Finished,25 November 2020  10:43 AM,25 November 2020  11:41 AM,58.43,19.42,1.43,2.14,5.13,1.43,1.07,0.71,3.21,3.21,1.07
3680559.0,Finished,27 November 2020  4:01 PM,27 November 2020  4:59 PM,57.97,18.71,1.07,2.14,5.13,1.43,1.07,0.36,3.21,3.21,1.07
3677063.0,Finished,25 November 2020  12:36 PM,25 November 2020  12:45 PM,9.42,19.64,1.07,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
3971113.0,Finished,27 November 2020  11:00 AM,27 November 2020  12:13 PM,72.0,20.00,1.43,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28616582.0,Finished,27 November 2020  3:04 PM,27 November 2020  4:08 PM,64.0,20.00,1.43,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
28507548.0,Finished,23 November 2020  4:30 PM,23 November 2020  5:18 PM,48.0,17.86,1.07,2.14,5.36,1.07,0.71,0.36,3.21,3.21,0.71
28717951.0,Finished,27 November 2020  7:06 PM,27 November 2020  8:07 PM,60.0,19.29,1.07,2.14,5.36,1.43,1.07,0.71,3.21,3.21,1.07
28614429.0,Finished,23 November 2020  5:37 PM,23 November 2020  5:54 PM,16.17,19.29,1.43,2.14,5.36,1.07,1.07,0.71,3.21,3.21,1.07
3803521.0,Finished,27 November 2020  4:05 PM,27 November 2020  5:04 PM,58.92,18.93,1.07,2.14,5.36,1.43,1.07,0.36,3.21,3.21,1.07
3810883.0,Finished,27 November 2020  4:00 PM,27 November 2020  4:58 PM,58.12,18.71,1.07,2.14,5.13,1.43,1.07,0.36,3.21,3.21,1.07
3706553.0,Finished,27 November 2020  10:54 AM,27 November 2020  12:27 PM,92.0,19.42,1.43,2.14,5.13,1.43,1.07,1.07,2.86,3.21,1.07
3708951.0,Finished,25 November 2020  10:37 AM,25 November 2020  11:46 AM,68.0,16.92,1.07,2.14,5.13,0.71,0.71,0.36,3.21,2.86,0.71
28720090.0,Finished,27 November 2020  4:18 PM,27 November 2020  5:59 PM,100.0,16.21,1.43,2.14,5.13,0.00,0.71,0.36,2.86,3.21,0.36
3701943.0,Finished,27 November 2020  10:45 AM,27 November 2020  11:57 AM,72.0,20.00,1.43,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
3800455.0,Finished,25 November 2020  10:37 AM,25 November 2020  11:58 AM,81.0,19.55,1.43,2.14,4.91,1.43,1.07,1.07,3.21,3.21,1.07
3700584.0,Finished,25 November 2020  10:32 AM,25 November 2020  11:06 AM,33.72,20.00,1.43,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
3800333.0,Finished,25 November 2020  10:47 AM,25 November 2020  11:32 AM,44.82,19.64,1.43,2.14,5.36,1.43,1.07,0.71,3.21,3.21,1.07
3800411.0,Finished,25 November 2020  10:58 AM,25 November 2020  11:54 AM,55.75,19.03,1.43,1.98,4.91,1.43,1.07,0.71,3.21,3.21,1.07
3706539.0,Finished,27 November 2020  4:01 PM,27 November 2020  4:58 PM,57.75,18.54,1.07,1.98,5.13,1.43,1.07,0.36,3.21,3.21,1.07
28718098.0,Finished,26 November 2020  11:17 AM,26 November 2020  12:29 PM,72.0,17.19,1.07,2.14,4.69,1.07,1.07,0.00,2.86,3.21,1.07
3970876.0,Finished,26 November 2020  12:31 PM,26 November 2020  2:15 PM,104.0,20.00,1.43,2.14,5.36,1.43,1.07,1.07,3.21,3.21,1.07
