ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.39,Q. 2 /0.39,Q. 3 /0.39,Q. 4 /0.39,Q. 5 /1.57,Q. 6 /0.39,Q. 7 /0.39,Q. 8 /1.57,Q. 9 /0.78,Q. 10 /3.14,Q. 11 /0.39,Q. 12 /1.57,Q. 13 /1.57,Q. 14 /4.71,Q. 15 /0.78,Q. 16 /1.57
3802135.0,Finished,4 December 2020  2:30 PM,4 December 2020  3:27 PM,56.52,17.75,0.39,0.39,0.39,0.39,1.57,0.00,0.39,1.57,0.78,2.85,0.39,1.18,1.18,4.31,0.78,1.18
3803619.0,Finished,30 November 2020  4:23 PM,30 November 2020  6:06 PM,103.0,14.90,0.39,0.39,0.00,0.39,1.57,0.39,0.39,0.00,0.78,1.57,0.39,1.18,1.57,3.53,0.78,1.57
3802009.0,Finished,4 December 2020  3:50 PM,4 December 2020  5:04 PM,73.0,19.47,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,2.99,0.39,1.57,1.57,4.31,0.78,1.57
3804139.0,Finished,4 December 2020  4:00 PM,4 December 2020  5:34 PM,94.0,19.47,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,2.99,0.39,1.57,1.57,4.31,0.78,1.57
3800432.0,Finished,30 November 2020  3:51 PM,30 November 2020  5:20 PM,88.0,16.76,0.00,0.39,0.00,0.39,1.57,0.39,0.39,1.57,0.78,1.85,0.39,1.57,1.18,4.31,0.78,1.18
3876256.0,Finished,4 December 2020  11:54 AM,4 December 2020  12:14 PM,19.43,18.15,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,2.85,0.39,1.18,1.18,4.31,0.78,1.18
28502318.0,Finished,2 December 2020  11:06 AM,2 December 2020  12:51 PM,105.0,18.15,0.00,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,2.85,0.39,1.18,1.57,3.92,0.78,1.57
3702388.0,Finished,2 December 2020  11:06 AM,2 December 2020  12:51 PM,104.0,16.11,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,2.00,0.39,1.57,1.57,2.75,0.78,0.78
3802651.0,Finished,4 December 2020  11:00 AM,4 December 2020  12:10 PM,69.0,19.08,0.39,0.39,0.39,0.39,1.47,0.39,0.39,1.57,0.78,2.71,0.39,1.57,1.57,4.31,0.78,1.57
3416871.0,Finished,2 December 2020  11:05 AM,2 December 2020  12:33 PM,87.0,17.42,0.00,0.39,0.00,0.39,1.57,0.20,0.39,1.18,0.78,2.71,0.39,1.57,1.57,4.31,0.78,1.18
3700108.0,Finished,30 November 2020  4:18 PM,30 November 2020  5:40 PM,82.0,15.90,0.39,0.39,0.00,0.39,1.57,0.39,0.39,1.18,0.78,1.00,0.39,1.18,1.57,4.31,0.78,1.18
3410283.0,Finished,4 December 2020  2:48 PM,4 December 2020  4:06 PM,77.0,19.61,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,3.14,0.39,1.57,1.57,4.31,0.78,1.57
3802501.0,Finished,4 December 2020  4:05 PM,4 December 2020  5:24 PM,79.0,19.22,0.00,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,3.14,0.39,1.57,1.57,4.31,0.78,1.57
3803112.0,Finished,4 December 2020  3:46 PM,4 December 2020  5:31 PM,104.0,18.89,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,2.42,0.39,1.57,1.57,4.31,0.78,1.57
28710978.0,Finished,30 November 2020  4:03 PM,30 November 2020  5:44 PM,101.0,16.08,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,1.57,0.39,1.18,1.57,3.53,0.78,0.78
3701404.0,Finished,4 December 2020  4:26 PM,4 December 2020  4:46 PM,20.68,19.22,0.39,0.39,0.39,0.39,1.57,0.00,0.39,1.57,0.78,3.14,0.39,1.57,1.57,4.31,0.78,1.57
3700144.0,Finished,30 November 2020  5:17 PM,30 November 2020  6:46 PM,89.0,17.33,0.00,0.39,0.00,0.39,1.57,0.39,0.39,1.57,0.78,2.42,0.39,1.57,1.18,4.31,0.78,1.18
3804929.0,Finished,4 December 2020  4:14 PM,4 December 2020  5:49 PM,95.0,18.82,0.39,0.39,0.39,0.39,1.57,0.00,0.39,1.57,0.78,3.14,0.39,1.57,1.57,4.31,0.39,1.57
3802734.0,Finished,4 December 2020  9:56 AM,4 December 2020  11:07 AM,70.0,17.25,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,1.57,0.39,1.18,1.57,4.31,0.78,1.18
3208353.0,Finished,4 December 2020  3:44 PM,4 December 2020  5:08 PM,84.0,19.61,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,3.14,0.39,1.57,1.57,4.31,0.78,1.57
3710439.0,Finished,2 December 2020  11:02 AM,2 December 2020  12:28 PM,86.0,17.97,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,2.28,0.39,1.18,1.57,4.31,0.78,1.18
3670543.0,Finished,2 December 2020  11:05 AM,2 December 2020  12:45 PM,100.0,15.69,0.39,0.39,0.39,0.39,1.18,0.39,0.39,0.39,0.78,3.14,0.00,0.78,0.78,3.92,0.78,1.57
3806311.0,Finished,4 December 2020  2:46 PM,4 December 2020  4:03 PM,77.0,19.61,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,3.14,0.39,1.57,1.57,4.31,0.78,1.57
3710493.0,Finished,4 December 2020  4:39 PM,4 December 2020  5:26 PM,46.72,18.30,0.39,0.39,0.39,0.39,1.47,0.39,0.39,1.57,0.78,2.71,0.39,1.57,1.57,3.92,0.78,1.18
3671340.0,Finished,4 December 2020  11:00 AM,4 December 2020  12:11 PM,71.0,19.22,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,3.14,0.39,1.18,1.57,4.31,0.78,1.57
28717430.0,Finished,4 December 2020  3:14 PM,4 December 2020  4:45 PM,90.0,19.47,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,2.99,0.39,1.57,1.57,4.31,0.78,1.57
3677177.0,Finished,4 December 2020  4:01 PM,4 December 2020  5:33 PM,91.0,13.85,0.39,0.39,0.00,0.39,1.57,0.20,0.39,1.18,0.39,0.71,0.39,0.78,1.18,3.53,0.78,1.57
3670574.0,Finished,3 December 2020  8:32 PM,3 December 2020  9:41 PM,69.0,14.62,0.00,0.39,0.00,0.00,1.57,0.39,0.39,0.39,0.39,1.28,0.39,1.18,1.57,4.31,0.78,1.57
28616068.0,Finished,4 December 2020  4:05 PM,4 December 2020  5:21 PM,75.0,19.22,0.39,0.39,0.39,0.39,1.57,0.00,0.39,1.57,0.78,3.14,0.39,1.57,1.57,4.31,0.78,1.57
3670795.0,Finished,4 December 2020  11:06 AM,4 December 2020  12:10 PM,63.0,19.61,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,3.14,0.39,1.57,1.57,4.31,0.78,1.57
3801935.0,Finished,4 December 2020  12:53 PM,4 December 2020  2:34 PM,101.0,17.51,0.39,0.39,0.39,0.39,1.47,0.00,0.39,1.57,0.78,2.71,0.39,1.18,1.18,4.31,0.78,1.18
3680559.0,Finished,4 December 2020  4:03 PM,4 December 2020  5:10 PM,67.0,16.08,0.00,0.39,0.00,0.39,1.57,0.39,0.39,1.57,0.39,1.57,0.39,1.18,1.57,4.31,0.78,1.18
3677063.0,Finished,4 December 2020  4:48 PM,4 December 2020  4:59 PM,10.52,19.22,0.39,0.39,0.39,-,1.57,0.39,0.39,1.57,0.78,3.14,0.39,1.57,1.57,4.31,0.78,1.57
3672216.0,Finished,4 December 2020  4:24 PM,4 December 2020  4:35 PM,10.68,19.22,0.39,0.39,0.00,0.39,1.57,0.39,0.39,1.57,0.78,3.14,0.39,1.57,1.57,4.31,0.78,1.57
3971113.0,Finished,4 December 2020  11:10 AM,4 December 2020  12:29 PM,79.0,19.61,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,3.14,0.39,1.57,1.57,4.31,0.78,1.57
28616582.0,Finished,4 December 2020  4:31 PM,4 December 2020  4:52 PM,20.88,19.07,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,2.99,0.39,1.57,1.57,4.31,0.78,1.18
28507548.0,Finished,4 December 2020  3:37 PM,4 December 2020  4:54 PM,77.0,14.67,0.00,0.00,0.00,0.39,1.57,0.39,0.20,1.57,0.78,1.14,0.39,1.57,1.18,4.31,0.00,1.18
3802696.0,Finished,4 December 2020  3:25 PM,4 December 2020  4:03 PM,38.65,7.04,0.00,0.00,0.00,0.39,1.37,0.20,0.20,0.00,0.78,2.14,0.39,0.39,1.18,-,-,-
28717951.0,Finished,30 November 2020  6:36 PM,30 November 2020  8:20 PM,104.0,16.69,0.00,0.39,0.00,0.39,1.47,0.39,0.39,1.57,0.78,2.28,0.39,1.57,1.18,3.92,0.78,1.18
3803521.0,Finished,4 December 2020  4:00 PM,4 December 2020  5:34 PM,94.0,17.29,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.39,2.00,0.39,1.18,1.57,4.31,0.78,1.18
3521310.0,Finished,4 December 2020  6:49 PM,4 December 2020  7:28 PM,38.63,2.35,0.00,0.39,0.00,0.39,0.00,0.20,0.20,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.78
3700288.0,Finished,4 December 2020  4:03 PM,4 December 2020  5:44 PM,100.0,14.10,0.00,0.39,0.00,0.39,1.57,0.39,0.20,0.78,0.78,0.57,0.39,1.18,1.57,4.31,0.78,0.78
3810883.0,Finished,4 December 2020  4:02 PM,4 December 2020  5:10 PM,67.0,16.47,0.00,0.39,0.00,0.39,1.57,0.39,0.39,1.57,0.78,1.57,0.39,1.18,1.57,4.31,0.78,1.18
3802927.0,Finished,4 December 2020  3:51 PM,4 December 2020  5:20 PM,89.0,18.43,0.00,0.39,0.39,0.39,1.57,0.39,0.39,0.78,0.78,3.14,0.39,1.57,1.57,4.31,0.78,1.57
3706553.0,Finished,4 December 2020  11:01 AM,4 December 2020  12:34 PM,92.0,18.27,0.39,0.39,0.39,0.39,1.57,0.39,0.20,1.57,0.78,2.00,0.39,1.57,1.57,4.31,0.78,1.57
3708951.0,Finished,2 December 2020  11:07 AM,2 December 2020  12:48 PM,100.0,18.75,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,2.28,0.39,1.57,1.57,4.31,0.78,1.57
28720090.0,Finished,4 December 2020  4:02 PM,4 December 2020  5:45 PM,102.0,16.08,0.00,0.39,0.00,0.39,1.57,0.39,0.39,1.57,0.78,1.57,0.39,1.18,1.18,4.31,0.78,1.18
3801875.0,Finished,4 December 2020  3:59 PM,4 December 2020  5:35 PM,95.0,18.07,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,2.00,0.39,1.18,1.57,4.31,0.78,1.57
3800455.0,Finished,3 December 2020  1:03 AM,3 December 2020  2:36 AM,93.0,17.72,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.39,2.42,0.39,1.57,1.57,4.31,0.78,0.78
3700584.0,Finished,2 December 2020  11:06 AM,2 December 2020  12:41 PM,94.0,0.00,0.00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3800333.0,Finished,30 November 2020  4:23 PM,30 November 2020  5:55 PM,92.0,17.36,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,1.28,0.39,1.57,1.57,4.31,0.78,1.18
3700463.0,Finished,3 December 2020  7:47 PM,3 December 2020  8:31 PM,44.38,16.36,0.00,0.39,0.00,0.39,1.57,0.39,0.39,1.57,0.78,1.85,0.00,1.57,1.18,4.31,0.78,1.18
3800411.0,Finished,3 December 2020  2:09 PM,3 December 2020  3:10 PM,60.0,16.58,0.39,0.39,0.39,0.39,1.57,0.39,0.39,1.57,0.78,1.28,0.39,1.18,1.57,3.92,0.78,1.18
3706539.0,Finished,4 December 2020  4:03 PM,4 December 2020  5:10 PM,66.0,16.61,0.00,0.39,0.00,0.39,1.57,0.39,0.39,1.57,0.78,1.71,0.39,1.18,1.57,4.31,0.78,1.18
28718098.0,Finished,4 December 2020  3:06 PM,4 December 2020  4:51 PM,104.0,16.76,0.39,0.39,0.39,0.39,1.47,0.39,0.39,1.18,0.39,1.57,0.39,0.78,1.57,4.71,0.78,1.57
