ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.11,Q. 2 /1.11,Q. 3 /1.11,Q. 4 /1.11,Q. 5 /0.56,Q. 6 /1.11,Q. 7 /1.11,Q. 8 /0.56,Q. 9 /1.11,Q. 10 /2.22,Q. 11 /5.56,Q. 12 /1.11,Q. 13 /2.22
3802135.0,Finished,18 December 2020  12:52 PM,18 December 2020  1:18 PM,25.83,17.25,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.56,1.11,2.22,5.30,1.11,0.00
3803619.0,Finished,14 December 2020  4:31 PM,14 December 2020  6:16 PM,105.0,10.25,1.11,1.11,1.11,0.00,0.56,1.11,1.11,0.00,0.56,0.00,3.59,0.00,0.00
3804139.0,Finished,18 December 2020  4:05 PM,18 December 2020  5:27 PM,81.0,18.43,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,2.22,5.10,1.11,2.22
3800432.0,Finished,18 December 2020  12:36 PM,18 December 2020  1:44 PM,67.0,13.13,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,0.00,5.35,0.00,0.00
3876256.0,Finished,18 December 2020  4:29 PM,18 December 2020  4:50 PM,21.18,19.75,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.30,1.11,2.22
28502318.0,Finished,16 December 2020  10:49 AM,16 December 2020  12:34 PM,105.0,9.39,1.11,1.11,1.11,1.11,0.56,0.00,1.11,0.00,1.11,0.00,2.17,-,0.00
3702388.0,Finished,16 December 2020  10:48 AM,16 December 2020  12:20 PM,92.0,12.12,1.11,1.11,1.11,0.00,0.00,0.56,0.00,0.00,0.56,2.22,4.34,1.11,0.00
3802651.0,Finished,18 December 2020  11:16 AM,18 December 2020  11:55 AM,38.87,19.75,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.30,1.11,2.22
3416871.0,Finished,16 December 2020  10:48 AM,16 December 2020  12:32 PM,104.0,14.14,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,0.00,2.22,3.59,1.11,0.00
3700108.0,Finished,18 December 2020  1:04 PM,18 December 2020  1:49 PM,45.67,16.97,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,2.22,5.30,1.11,0.00
3802501.0,Finished,18 December 2020  4:07 PM,18 December 2020  5:41 PM,94.0,17.53,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.30,1.11,0.00
3803112.0,Finished,18 December 2020  4:15 PM,18 December 2020  5:35 PM,80.0,16.97,1.11,1.11,1.11,1.11,0.56,0.56,1.11,0.56,1.11,2.22,5.30,1.11,0.00
28710978.0,Finished,14 December 2020  4:08 PM,14 December 2020  5:53 PM,104.0,7.93,1.11,1.11,1.11,0.00,0.00,0.56,1.11,0.56,0.00,0.00,2.37,0.00,0.00
3701404.0,Finished,18 December 2020  5:33 PM,18 December 2020  5:45 PM,12.27,17.53,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,4.19,0.00,2.22
3700144.0,Finished,18 December 2020  1:53 PM,18 December 2020  3:10 PM,76.0,17.37,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,2.22,5.15,0.00,2.22
3804929.0,Finished,18 December 2020  4:10 PM,18 December 2020  5:38 PM,88.0,16.59,1.11,1.11,1.11,1.11,0.28,0.56,1.11,0.56,1.11,2.22,5.20,1.11,0.00
3802734.0,Finished,16 December 2020  10:49 AM,16 December 2020  12:32 PM,102.0,13.89,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,0.00,5.00,1.11,0.00
3208353.0,Finished,18 December 2020  4:03 PM,18 December 2020  5:44 PM,100.0,19.80,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,5.35,1.11,2.22
3710439.0,Finished,16 December 2020  10:48 AM,16 December 2020  12:33 PM,104.0,15.45,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,1.11,2.22,4.34,0.00,0.00
3670543.0,Finished,16 December 2020  11:00 AM,16 December 2020  12:27 PM,86.0,13.66,1.11,1.11,1.11,1.11,0.28,1.11,1.11,0.56,0.00,0.00,5.05,1.11,0.00
3806311.0,Finished,18 December 2020  4:22 PM,18 December 2020  5:34 PM,71.0,18.69,1.11,1.11,1.11,1.11,0.56,1.11,1.11,0.56,0.00,2.22,5.35,1.11,2.22
