State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.65,Q. 2 /5.16,Q. 3 /1.29,Q. 4 /3.87,Q. 5 /3.87,Q. 6 /2.58,Q. 7 /2.58
Finished,3 octobre 2021  1:30 ,3 octobre 2021  2:12 ,41.18,18.06,0.65,3.23,1.29,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  6:05 ,3 octobre 2021  7:14 ,69.0,10.32,0.00,2.58,0.00,0.00,3.23,2.58,1.94
Finished,3 octobre 2021  9:35 ,3 octobre 2021  10:05 ,29.83,13.55,0.65,2.58,1.29,0.00,3.87,2.58,2.58
Finished,4 octobre 2021  9:52 ,4 octobre 2021  9:57 ,5.22,4.52,-,-,-,-,-,2.58,1.94
Finished,3 octobre 2021  2:21 ,3 octobre 2021  2:57 ,35.85,16.77,0.00,2.58,1.29,3.87,3.87,2.58,2.58
Finished,2 octobre 2021  6:42 ,2 octobre 2021  7:21 ,39.08,15.48,0.00,2.58,-,3.87,3.87,2.58,2.58
Finished,4 octobre 2021  12:36 ,4 octobre 2021  12:50 ,14.35,10.97,0.65,0.00,1.29,0.00,3.87,2.58,2.58
Finished,4 octobre 2021  3:50 ,4 octobre 2021  4:28 ,38.22,11.61,0.65,1.94,1.29,0.00,2.58,2.58,2.58
Finished,3 octobre 2021  6:38 ,3 octobre 2021  7:18 ,39.7,11.61,0.65,2.58,0.65,0.00,3.87,1.29,2.58
Finished,3 octobre 2021  3:33 ,3 octobre 2021  4:52 ,78.0,10.97,-,-,-,3.87,3.87,1.29,1.94
Finished,28 septembre 2021  10:05 ,28 septembre 2021  11:43 ,98.0,12.90,0.00,1.94,1.29,1.29,3.87,1.94,2.58
Finished,4 octobre 2021  4:10 ,4 octobre 2021  6:07 ,116.0,11.61,0.00,5.16,-,-,3.87,0.65,1.94
Finished,3 octobre 2021  11:31 ,4 octobre 2021  12:33 ,61.0,20.00,0.65,5.16,1.29,3.87,3.87,2.58,2.58
Finished,3 octobre 2021  9:46 ,3 octobre 2021  11:25 ,98.0,18.71,0.65,4.52,1.29,3.87,3.87,1.94,2.58
Finished,4 octobre 2021  7:13 ,4 octobre 2021  7:39 ,25.52,17.42,0.65,2.58,1.29,3.87,3.87,2.58,2.58
Finished,29 septembre 2021  1:18 ,29 septembre 2021  1:54 ,36.38,11.61,0.65,2.58,0.00,0.00,3.87,1.94,2.58
Finished,3 octobre 2021  3:21 ,3 octobre 2021  4:23 ,61.0,14.84,0.65,0.00,1.29,3.87,3.87,2.58,2.58
Finished,4 octobre 2021  10:00 ,4 octobre 2021  10:23 ,22.82,5.48,-,-,0.00,0.00,2.26,1.29,1.94
Finished,3 octobre 2021  10:29 ,3 octobre 2021  11:04 ,35.1,13.23,0.65,0.00,0.00,3.87,3.55,2.58,2.58
Finished,3 octobre 2021  10:50 ,3 octobre 2021  11:24 ,34.62,18.71,0.65,4.52,1.29,3.87,3.87,1.94,2.58
Finished,3 octobre 2021  6:13 ,3 octobre 2021  7:10 ,56.9,9.03,0.65,1.94,1.29,0.00,0.00,2.58,2.58
Finished,4 octobre 2021  8:49 ,4 octobre 2021  9:27 ,38.35,12.26,0.65,1.29,1.29,0.00,3.87,2.58,2.58
Finished,3 octobre 2021  10:28 ,3 octobre 2021  11:00 ,31.92,17.42,0.65,2.58,1.29,3.87,3.87,2.58,2.58
Finished,4 octobre 2021  12:45 ,4 octobre 2021  1:54 ,69.0,10.97,0.00,3.23,0.00,0.00,3.87,2.58,1.29
Finished,2 octobre 2021  12:07 ,2 octobre 2021  2:03 ,115.0,16.13,0.65,2.58,0.00,3.87,3.87,2.58,2.58
