State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /8.62,Q. 2 /11.38
Finished,10 octobre 2021  10:17 ,10 octobre 2021  10:57 ,40.6,13.95,4.72,9.23
Finished,10 octobre 2021  5:32 ,10 octobre 2021  6:25 ,53.07,11.90,5.13,6.77
Finished,11 octobre 2021  12:09 ,11 octobre 2021  2:00 ,111.0,12.31,6.97,5.33
Finished,11 octobre 2021  12:40 ,11 octobre 2021  1:42 ,61.0,14.15,3.79,10.36
Finished,10 octobre 2021  2:01 ,10 octobre 2021  2:49 ,47.67,14.87,3.79,11.08
Finished,10 octobre 2021  10:25 ,10 octobre 2021  10:57 ,31.7,19.69,8.62,11.08
Finished,11 octobre 2021  3:02 ,11 octobre 2021  3:48 ,46.05,17.85,6.77,11.08
Finished,10 octobre 2021  7:35 ,10 octobre 2021  8:38 ,62.0,14.97,4.51,10.46
Finished,10 octobre 2021  10:41 ,10 octobre 2021  10:56 ,15.4,2.46,2.46,-
Finished,10 octobre 2021  2:59 ,10 octobre 2021  4:05 ,65.0,17.54,7.38,10.15
Finished,11 octobre 2021  7:00 ,11 octobre 2021  8:53 ,112.0,19.08,8.00,11.08
Finished,10 octobre 2021  8:20 ,10 octobre 2021  9:08 ,47.95,19.69,8.62,11.08
Finished,10 octobre 2021  11:05 ,11 octobre 2021  12:48 ,103.0,15.90,8.00,7.90
Finished,11 octobre 2021  2:19 ,11 octobre 2021  3:01 ,42.57,17.64,6.56,11.08
Finished,5 octobre 2021  1:02 ,5 octobre 2021  1:22 ,20.0,14.05,8.00,6.05
Finished,9 octobre 2021  4:10 ,9 octobre 2021  5:22 ,71.0,17.95,6.87,11.08
Finished,11 octobre 2021  9:52 ,11 octobre 2021  10:30 ,37.25,5.85,2.15,3.69
Finished,10 octobre 2021  11:42 ,11 octobre 2021  12:23 ,40.48,11.28,4.82,6.46
Finished,10 octobre 2021  11:18 ,11 octobre 2021  1:11 ,113.0,18.77,7.38,11.38
Finished,10 octobre 2021  1:28 ,10 octobre 2021  2:48 ,79.0,15.90,4.82,11.08
Finished,11 octobre 2021  8:55 ,11 octobre 2021  10:29 ,94.0,9.95,7.18,2.77
Finished,10 octobre 2021  10:40 ,11 octobre 2021  12:27 ,106.0,14.46,3.79,10.67
Finished,10 octobre 2021  11:50 ,11 octobre 2021  12:24 ,33.67,17.33,5.95,11.38
Finished,10 octobre 2021  11:11 ,11 octobre 2021  12:06 ,55.37,11.79,7.59,4.21
Finished,10 octobre 2021  3:51 ,10 octobre 2021  5:16 ,84.0,19.69,8.62,11.08
Finished,11 octobre 2021  8:55 ,11 octobre 2021  9:53 ,57.73,14.97,6.56,8.41
Finished,11 octobre 2021  8:50 ,11 octobre 2021  9:39 ,48.65,9.49,7.59,1.90
Finished,10 octobre 2021  8:18 ,10 octobre 2021  10:18 ,119.0,16.41,6.97,9.44
Finished,10 octobre 2021  11:41 ,11 octobre 2021  1:31 ,109.0,19.69,8.62,11.08
Finished,10 octobre 2021  2:42 ,10 octobre 2021  3:42 ,59.97,17.95,6.56,11.38
Finished,11 octobre 2021  9:32 ,11 octobre 2021  10:30 ,57.97,17.74,6.36,11.38
Finished,11 octobre 2021  12:44 ,11 octobre 2021  1:18 ,34.47,19.08,8.00,11.08
Finished,10 octobre 2021  5:55 ,10 octobre 2021  6:48 ,53.32,7.28,4.51,2.77
Finished,9 octobre 2021  5:00 ,9 octobre 2021  5:30 ,29.47,17.33,5.95,11.38
Finished,11 octobre 2021  9:18 ,11 octobre 2021  10:30 ,71.0,12.31,5.74,6.56
Finished,10 octobre 2021  4:06 ,10 octobre 2021  4:43 ,37.08,13.03,6.56,6.46
Finished,10 octobre 2021  8:37 ,10 octobre 2021  9:28 ,50.8,19.08,8.62,10.46
Finished,10 octobre 2021  10:58 ,10 octobre 2021  11:48 ,50.05,14.26,7.08,7.18
Finished,9 octobre 2021  7:46 ,9 octobre 2021  9:33 ,107.0,18.46,8.31,10.15
Finished,7 octobre 2021  9:17 ,7 octobre 2021  9:57 ,39.93,20.00,8.62,11.38
Finished,11 octobre 2021  9:08 ,11 octobre 2021  9:41 ,33.25,8.15,4.72,3.44
Finished,10 octobre 2021  8:07 ,10 octobre 2021  9:18 ,71.0,15.59,5.13,10.46
Finished,10 octobre 2021  1:00 ,10 octobre 2021  1:56 ,56.43,18.62,8.62,10.00
Finished,10 octobre 2021  2:48 ,10 octobre 2021  4:16 ,87.0,16.31,8.62,7.69
Finished,11 octobre 2021  3:28 ,11 octobre 2021  4:15 ,46.65,19.38,8.62,10.77
Finished,10 octobre 2021  1:17 ,10 octobre 2021  2:14 ,57.58,16.00,8.62,7.38
Finished,11 octobre 2021  12:04 ,11 octobre 2021  12:34 ,30.73,19.69,8.62,11.08
Finished,11 octobre 2021  9:18 ,11 octobre 2021  10:16 ,57.77,13.85,5.95,7.90
Finished,10 octobre 2021  11:37 ,11 octobre 2021  1:07 ,90.0,19.38,8.62,10.77
Finished,11 octobre 2021  8:40 ,11 octobre 2021  8:48 ,7.38,10.36,4.82,5.54
Finished,11 octobre 2021  1:20 ,11 octobre 2021  3:20 ,120.0,17.03,6.26,10.77
Finished,9 octobre 2021  12:14 ,9 octobre 2021  12:53 ,39.15,12.62,4.51,8.10
Finished,10 octobre 2021  4:31 ,10 octobre 2021  5:46 ,74.0,19.69,8.62,11.08
Finished,10 octobre 2021  11:20 ,10 octobre 2021  11:40 ,20.23,11.90,7.38,4.51
Finished,9 octobre 2021  9:03 ,9 octobre 2021  10:43 ,99.0,13.85,6.77,7.08
Finished,7 octobre 2021  9:41 ,7 octobre 2021  10:42 ,60.0,19.69,8.62,11.08
Finished,10 octobre 2021  11:26 ,10 octobre 2021  11:55 ,28.23,4.15,2.56,1.59
Finished,6 octobre 2021  10:00 ,6 octobre 2021  10:39 ,38.68,15.38,8.00,7.38
Finished,11 octobre 2021  12:19 ,11 octobre 2021  1:31 ,71.0,9.28,4.31,4.97
Finished,9 octobre 2021  3:01 ,9 octobre 2021  3:55 ,53.88,19.08,8.00,11.08
Finished,9 octobre 2021  3:33 ,9 octobre 2021  3:50 ,16.52,14.87,3.79,11.08
Finished,10 octobre 2021  7:17 ,10 octobre 2021  7:39 ,22.25,19.38,8.00,11.38
Finished,11 octobre 2021  1:13 ,11 octobre 2021  2:17 ,64.0,10.00,5.44,4.56
Finished,10 octobre 2021  11:55 ,11 octobre 2021  12:53 ,57.9,19.69,8.62,11.08
Finished,10 octobre 2021  10:20 ,10 octobre 2021  10:34 ,14.57,10.05,4.10,5.95
Finished,10 octobre 2021  2:57 ,10 octobre 2021  3:29 ,31.3,18.26,8.62,9.64
Finished,11 octobre 2021  8:22 ,11 octobre 2021  8:41 ,18.8,5.59,2.05,3.54
Finished,10 octobre 2021  2:45 ,10 octobre 2021  4:01 ,76.0,10.10,5.13,4.97
Finished,10 octobre 2021  9:20 ,10 octobre 2021  10:04 ,44.47,15.49,4.72,10.77
Finished,11 octobre 2021  8:18 ,11 octobre 2021  8:52 ,33.9,8.62,3.38,5.23
Finished,11 octobre 2021  1:09 ,11 octobre 2021  1:39 ,30.18,19.69,8.62,11.08
Finished,11 octobre 2021  9:55 ,11 octobre 2021  10:29 ,34.3,19.69,8.62,11.08
Finished,11 octobre 2021  12:31 ,11 octobre 2021  1:14 ,42.28,19.69,8.62,11.08
Finished,10 octobre 2021  6:48 ,10 octobre 2021  7:37 ,48.85,16.97,7.69,9.28
Finished,10 octobre 2021  10:21 ,10 octobre 2021  11:14 ,53.02,18.77,7.38,11.38
Finished,4 octobre 2021  11:03 ,4 octobre 2021  11:21 ,18.1,19.49,8.41,11.08
Finished,10 octobre 2021  11:55 ,10 octobre 2021  1:01 ,66.0,15.13,8.00,7.13
Finished,10 octobre 2021  8:37 ,10 octobre 2021  8:51 ,14.7,16.92,6.15,10.77
Finished,10 octobre 2021  10:47 ,10 octobre 2021  11:44 ,57.03,19.38,8.00,11.38
Finished,11 octobre 2021  9:55 ,11 octobre 2021  10:03 ,7.75,14.97,4.51,10.46
Finished,10 octobre 2021  5:15 ,10 octobre 2021  5:48 ,32.65,18.46,7.38,11.08
Finished,11 octobre 2021  9:03 ,11 octobre 2021  9:17 ,14.38,9.64,5.74,3.90
Finished,11 octobre 2021  8:29 ,11 octobre 2021  9:17 ,48.37,19.38,8.00,11.38
