State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.45,Q. 2 /5.45,Q. 3 /9.09
Finished,17 octobre 2021  3:58 ,17 octobre 2021  4:30 ,32.18,20.00,5.45,5.45,9.09
Finished,17 octobre 2021  5:34 ,17 octobre 2021  6:19 ,45.27,18.79,5.45,5.45,7.88
Finished,16 octobre 2021  10:28 ,16 octobre 2021  10:50 ,21.48,18.91,5.45,4.36,9.09
Finished,18 octobre 2021  5:58 ,18 octobre 2021  6:40 ,41.68,13.59,3.90,5.45,4.24
Finished,17 octobre 2021  10:14 ,17 octobre 2021  10:30 ,16.25,19.39,5.45,5.45,8.48
Finished,16 octobre 2021  5:31 ,16 octobre 2021  6:03 ,32.03,18.40,5.06,5.45,7.88
Finished,18 octobre 2021  4:02 ,18 octobre 2021  4:28 ,25.8,18.18,5.45,5.45,7.27
Finished,17 octobre 2021  10:21 ,18 octobre 2021  12:09 ,107.0,20.00,5.45,5.45,9.09
Finished,17 octobre 2021  6:21 ,17 octobre 2021  6:56 ,34.63,20.00,5.45,5.45,9.09
Finished,17 octobre 2021  1:22 ,17 octobre 2021  2:09 ,46.78,13.59,3.90,5.45,4.24
Finished,17 octobre 2021  9:46 ,17 octobre 2021  10:53 ,66.0,18.83,4.29,5.45,9.09
Finished,18 octobre 2021  3:37 ,18 octobre 2021  5:30 ,112.0,20.00,5.45,5.45,9.09
Finished,17 octobre 2021  11:41 ,18 octobre 2021  12:01 ,20.82,15.52,5.45,2.18,7.88
Finished,17 octobre 2021  9:11 ,17 octobre 2021  10:40 ,89.0,20.00,5.45,5.45,9.09
Finished,18 octobre 2021  1:28 ,18 octobre 2021  1:51 ,23.15,18.05,3.51,5.45,9.09
Finished,12 octobre 2021  2:00 ,12 octobre 2021  2:21 ,20.7,8.20,1.17,2.18,4.85
Finished,17 octobre 2021  12:25 ,17 octobre 2021  1:18 ,53.85,18.79,5.45,5.45,7.88
Finished,18 octobre 2021  9:47 ,18 octobre 2021  10:29 ,42.47,11.00,3.12,5.45,2.42
Finished,17 octobre 2021  10:51 ,17 octobre 2021  11:19 ,28.08,16.23,3.51,5.45,7.27
Finished,17 octobre 2021  7:13 ,17 octobre 2021  8:18 ,64.0,20.00,5.45,5.45,9.09
Finished,16 octobre 2021  4:03 ,16 octobre 2021  5:43 ,100.0,19.22,4.68,5.45,9.09
Finished,18 octobre 2021  8:29 ,18 octobre 2021  9:09 ,40.08,18.40,5.06,5.45,7.88
Finished,18 octobre 2021  12:36 ,18 octobre 2021  1:07 ,31.1,17.82,5.45,3.27,9.09
Finished,17 octobre 2021  10:17 ,17 octobre 2021  10:29 ,11.88,20.00,5.45,5.45,9.09
Finished,17 octobre 2021  9:57 ,17 octobre 2021  10:28 ,30.38,15.02,3.51,5.45,6.06
Finished,13 octobre 2021  9:32 ,13 octobre 2021  10:12 ,39.42,17.82,5.45,3.27,9.09
Finished,18 octobre 2021  9:13 ,18 octobre 2021  9:35 ,22.62,18.18,5.45,5.45,7.27
Finished,17 octobre 2021  3:06 ,17 octobre 2021  3:34 ,27.8,14.78,3.51,2.18,9.09
Finished,17 octobre 2021  8:48 ,17 octobre 2021  10:21 ,92.0,11.88,5.45,2.18,4.24
Finished,18 octobre 2021  12:03 ,18 octobre 2021  12:21 ,17.53,16.73,5.45,2.18,9.09
Finished,17 octobre 2021  11:36 ,17 octobre 2021  1:18 ,101.0,20.00,5.45,5.45,9.09
Finished,17 octobre 2021  9:21 ,17 octobre 2021  9:52 ,31.53,18.18,5.45,5.45,7.27
Finished,17 octobre 2021  8:56 ,17 octobre 2021  9:31 ,35.3,20.00,5.45,5.45,9.09
Finished,17 octobre 2021  8:03 ,17 octobre 2021  8:53 ,49.8,12.48,5.45,2.18,4.85
Finished,17 octobre 2021  12:57 ,17 octobre 2021  1:23 ,25.6,20.00,5.45,5.45,9.09
Finished,18 octobre 2021  9:12 ,18 octobre 2021  9:50 ,38.03,16.97,5.45,5.45,6.06
Finished,17 octobre 2021  4:29 ,17 octobre 2021  5:55 ,85.0,19.61,5.06,5.45,9.09
Finished,17 octobre 2021  9:33 ,17 octobre 2021  10:59 ,85.0,13.33,5.45,5.45,2.42
Finished,14 octobre 2021  8:46 ,14 octobre 2021  9:13 ,26.22,16.12,5.45,2.18,8.48
Finished,16 octobre 2021  3:17 ,16 octobre 2021  3:47 ,29.95,20.00,5.45,5.45,9.09
Finished,17 octobre 2021  12:03 ,17 octobre 2021  12:19 ,16.47,20.00,5.45,5.45,9.09
Finished,17 octobre 2021  9:59 ,17 octobre 2021  10:40 ,40.98,14.91,5.45,2.18,7.27
Finished,17 octobre 2021  11:35 ,17 octobre 2021  12:01 ,26.1,20.00,5.45,5.45,9.09
Finished,17 octobre 2021  3:56 ,17 octobre 2021  4:16 ,19.88,19.39,5.45,5.45,8.48
Finished,18 octobre 2021  3:42 ,18 octobre 2021  4:19 ,37.18,17.84,3.90,5.45,8.48
Finished,17 octobre 2021  12:00 ,17 octobre 2021  12:23 ,23.12,18.18,5.45,5.45,7.27
Finished,16 octobre 2021  10:34 ,16 octobre 2021  10:51 ,17.88,16.97,5.45,5.45,6.06
Finished,18 octobre 2021  12:46 ,18 octobre 2021  12:52 ,5.88,19.39,5.45,5.45,8.48
Finished,18 octobre 2021  9:28 ,18 octobre 2021  9:59 ,30.4,12.42,2.73,5.45,4.24
