State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
Finished,31 octobre 2021  7:00 ,31 octobre 2021  7:11 ,10.3,20.00,20.00
Finished,1 novembre 2021  3:14 ,1 novembre 2021  3:59 ,45.9,20.00,20.00
Finished,1 novembre 2021  8:59 ,1 novembre 2021  9:22 ,23.25,20.00,20.00
Finished,31 octobre 2021  9:09 ,31 octobre 2021  9:35 ,25.45,20.00,20.00
Finished,31 octobre 2021  10:00 ,31 octobre 2021  10:18 ,18.42,20.00,20.00
Finished,1 novembre 2021  1:53 ,1 novembre 2021  2:31 ,38.22,20.00,20.00
Finished,1 novembre 2021  8:18 ,1 novembre 2021  9:47 ,89.0,20.00,20.00
Finished,31 octobre 2021  8:54 ,31 octobre 2021  9:26 ,31.32,20.00,20.00
Finished,1 novembre 2021  8:25 ,1 novembre 2021  8:52 ,27.62,20.00,20.00
Finished,31 octobre 2021  12:54 ,31 octobre 2021  1:23 ,29.17,20.00,20.00
Finished,15 novembre 2021  7:47 ,15 novembre 2021  9:18 ,90.0,20.00,20.00
Finished,31 octobre 2021  12:26 ,31 octobre 2021  1:28 ,61.0,20.00,20.00
Finished,31 octobre 2021  11:18 ,1 novembre 2021  12:25 ,66.0,20.00,20.00
Finished,1 novembre 2021  2:26 ,1 novembre 2021  3:04 ,38.32,16.00,16.00
Finished,27 octobre 2021  2:06 ,27 octobre 2021  2:26 ,20.27,20.00,20.00
Finished,31 octobre 2021  3:50 ,31 octobre 2021  5:15 ,85.0,20.00,20.00
Finished,1 novembre 2021  12:18 ,1 novembre 2021  12:47 ,28.82,20.00,20.00
Finished,31 octobre 2021  10:10 ,31 octobre 2021  11:34 ,83.0,20.00,20.00
Finished,30 octobre 2021  11:45 ,30 octobre 2021  12:13 ,27.57,20.00,20.00
Finished,31 octobre 2021  10:35 ,31 octobre 2021  11:20 ,45.47,18.67,18.67
Finished,31 octobre 2021  11:32 ,1 novembre 2021  12:05 ,32.92,15.33,15.33
Finished,1 novembre 2021  12:58 ,1 novembre 2021  1:14 ,15.35,20.00,20.00
Finished,30 octobre 2021  8:52 ,30 octobre 2021  9:35 ,43.03,20.00,20.00
Finished,31 octobre 2021  7:18 ,31 octobre 2021  8:28 ,69.0,20.00,20.00
Finished,31 octobre 2021  12:28 ,31 octobre 2021  1:43 ,74.0,20.00,20.00
Finished,30 octobre 2021  11:00 ,30 octobre 2021  11:26 ,25.88,15.33,15.33
Finished,31 octobre 2021  2:19 ,31 octobre 2021  2:52 ,32.83,20.00,20.00
Finished,31 octobre 2021  4:26 ,31 octobre 2021  5:13 ,46.65,20.00,20.00
Finished,30 octobre 2021  5:36 ,30 octobre 2021  6:36 ,60.0,20.00,20.00
Finished,1 novembre 2021  4:14 ,1 novembre 2021  4:57 ,43.22,20.00,20.00
Finished,30 octobre 2021  5:51 ,30 octobre 2021  6:10 ,19.47,17.33,17.33
Finished,1 novembre 2021  8:46 ,1 novembre 2021  9:58 ,72.0,20.00,20.00
Finished,31 octobre 2021  6:43 ,31 octobre 2021  7:29 ,45.98,17.33,17.33
Finished,28 octobre 2021  7:25 ,28 octobre 2021  7:56 ,31.42,20.00,20.00
Finished,31 octobre 2021  10:32 ,31 octobre 2021  11:58 ,85.0,16.00,16.00
Finished,1 novembre 2021  8:34 ,1 novembre 2021  9:27 ,53.6,20.00,20.00
Finished,28 octobre 2021  1:41 ,28 octobre 2021  2:25 ,43.67,20.00,20.00
Finished,31 octobre 2021  7:01 ,31 octobre 2021  7:32 ,30.23,19.33,19.33
Finished,30 octobre 2021  2:25 ,30 octobre 2021  2:53 ,28.05,20.00,20.00
Finished,31 octobre 2021  10:22 ,31 octobre 2021  10:49 ,27.2,20.00,20.00
Finished,31 octobre 2021  4:56 ,31 octobre 2021  5:18 ,21.72,20.00,20.00
Finished,1 novembre 2021  10:14 ,1 novembre 2021  10:26 ,12.38,20.00,20.00
Finished,31 octobre 2021  12:26 ,31 octobre 2021  1:27 ,61.0,20.00,20.00
Finished,30 octobre 2021  7:17 ,30 octobre 2021  7:52 ,35.03,20.00,20.00
Finished,31 octobre 2021  12:59 ,31 octobre 2021  1:33 ,34.62,19.33,19.33
Finished,30 octobre 2021  11:32 ,30 octobre 2021  12:08 ,35.8,20.00,20.00
Finished,1 novembre 2021  9:13 ,1 novembre 2021  9:55 ,42.35,19.33,19.33
Finished,30 octobre 2021  4:40 ,30 octobre 2021  6:02 ,81.0,16.67,16.67
Finished,31 octobre 2021  10:37 ,1 novembre 2021  12:12 ,95.0,15.33,15.33
Finished,28 octobre 2021  8:30 ,28 octobre 2021  8:55 ,25.47,20.00,20.00
Finished,1 novembre 2021  9:03 ,1 novembre 2021  9:50 ,46.4,19.33,19.33
Finished,27 octobre 2021  8:00 ,27 octobre 2021  9:26 ,86.0,20.00,20.00
Finished,27 octobre 2021  2:35 ,27 octobre 2021  3:29 ,53.27,20.00,20.00
Finished,30 octobre 2021  9:52 ,30 octobre 2021  10:58 ,65.0,20.00,20.00
Finished,1 novembre 2021  8:24 ,1 novembre 2021  9:24 ,60.0,20.00,20.00
Finished,31 octobre 2021  9:54 ,31 octobre 2021  10:29 ,34.48,16.67,16.67
Finished,31 octobre 2021  8:37 ,31 octobre 2021  8:49 ,11.67,12.67,12.67
Finished,31 octobre 2021  12:26 ,31 octobre 2021  12:58 ,31.98,20.00,20.00
Finished,31 octobre 2021  11:45 ,1 novembre 2021  12:44 ,59.42,18.67,18.67
Finished,27 octobre 2021  3:41 ,27 octobre 2021  4:29 ,47.17,20.00,20.00
Finished,31 octobre 2021  5:54 ,31 octobre 2021  6:19 ,24.97,20.00,20.00
Finished,1 novembre 2021  9:50 ,1 novembre 2021  10:20 ,30.57,14.00,14.00
