ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /0.47,Q. 2 /0.66,Q. 3 /0.19,Q. 4 /0.85,Q. 5 /5.38,Q. 6 /12.45
21110432.0,Finished,17 décembre 2021  11:07 ,17 décembre 2021  12:52 ,104.0,20.00,0.47,0.66,0.19,0.85,5.38,12.45
28606489.0,Finished,13 décembre 2021  4:00 ,13 décembre 2021  5:25 ,84.0,15.95,0.47,0.66,0.00,0.85,5.38,8.59
3701350.0,Finished,13 décembre 2021  4:25 ,13 décembre 2021  5:27 ,61.0,7.12,0.47,0.66,0.19,0.42,5.38,-
28600748.0,Finished,16 décembre 2021  5:48 ,16 décembre 2021  6:52 ,63.0,14.37,0.47,0.66,0.00,0.85,5.38,7.01
3671406.0,Finished,16 décembre 2021  5:49 ,16 décembre 2021  6:51 ,61.0,15.90,0.47,0.66,0.00,0.85,5.38,8.54
3601270.0,Finished,17 décembre 2021  11:08 ,17 décembre 2021  1:09 ,120.0,8.20,0.47,0.66,0.19,0.85,5.38,0.65
28710546.0,Finished,14 décembre 2021  3:53 ,14 décembre 2021  5:36 ,103.0,13.45,0.47,0.19,0.09,0.85,5.38,6.47
28610319.0,Finished,15 décembre 2021  10:52 ,15 décembre 2021  12:17 ,85.0,15.56,0.47,0.57,0.19,0.85,5.00,8.48
3804270.0,Finished,16 décembre 2021  5:50 ,16 décembre 2021  7:13 ,82.0,15.91,0.47,0.57,0.00,0.85,5.38,8.65
3803860.0,Finished,14 décembre 2021  4:00 ,14 décembre 2021  5:44 ,104.0,12.83,0.38,0.66,0.00,0.71,5.38,5.71
28609336.0,Finished,13 décembre 2021  4:00 ,13 décembre 2021  5:42 ,102.0,12.61,0.47,0.19,0.09,0.85,5.19,5.82
21115553.0,Finished,13 décembre 2021  4:00 ,13 décembre 2021  5:29 ,88.0,16.14,0.47,0.66,0.19,0.85,5.38,8.59
28607963.0,Finished,15 décembre 2021  11:02 ,15 décembre 2021  12:47 ,105.0,19.89,0.47,0.66,0.19,0.85,5.38,12.34
3804630.0,Finished,14 décembre 2021  4:01 ,14 décembre 2021  5:42 ,101.0,13.93,0.47,0.57,0.00,0.85,5.19,6.85
28610440.0,Finished,13 décembre 2021  4:01 ,13 décembre 2021  5:42 ,100.0,15.39,0.47,0.19,0.00,0.71,5.38,8.65
3803479.0,Finished,14 décembre 2021  3:58 ,14 décembre 2021  5:30 ,92.0,13.10,0.42,0.66,0.09,0.57,4.34,7.01
28610730.0,Finished,14 décembre 2021  3:47 ,14 décembre 2021  5:26 ,98.0,16.10,0.47,0.66,0.09,0.85,5.38,8.65
28603394.0,Finished,13 décembre 2021  4:00 ,13 décembre 2021  5:11 ,71.0,18.94,0.47,0.66,-,0.85,5.38,11.58
3703308.0,Finished,14 décembre 2021  4:07 ,14 décembre 2021  5:52 ,105.0,12.08,0.42,0.19,0.00,0.57,5.19,5.71
28610497.0,Finished,13 décembre 2021  4:08 ,13 décembre 2021  5:28 ,79.0,15.84,0.47,0.66,0.09,0.85,5.28,8.48
3677063.0,Finished,15 décembre 2021  12:10 ,15 décembre 2021  1:03 ,52.7,11.90,0.28,0.28,0.19,0.71,5.00,5.44
21112734.0,Finished,13 décembre 2021  4:04 ,13 décembre 2021  5:40 ,95.0,17.16,0.47,0.19,0.00,0.85,5.38,10.28
28602627.0,Finished,14 décembre 2021  3:57 ,14 décembre 2021  5:32 ,95.0,15.61,0.24,0.66,0.00,0.85,5.38,8.48
3804195.0,Finished,13 décembre 2021  4:07 ,13 décembre 2021  5:31 ,83.0,17.53,0.47,0.57,0.19,0.71,5.38,10.22
3802503.0,Finished,13 décembre 2021  4:00 ,13 décembre 2021  5:39 ,99.0,12.90,0.28,0.19,0.09,0.71,5.38,6.25
28720090.0,Finished,16 décembre 2021  5:50 ,16 décembre 2021  7:10 ,79.0,16.10,0.47,0.66,0.09,0.85,5.38,8.65
3677161.0,Finished,14 décembre 2021  3:52 ,14 décembre 2021  5:23 ,91.0,15.99,0.47,0.66,0.09,0.85,5.38,8.54
28603418.0,Finished,13 décembre 2021  4:05 ,13 décembre 2021  5:44 ,98.0,17.11,0.47,0.19,0.00,0.85,5.38,10.22
28607538.0,Finished,14 décembre 2021  3:57 ,14 décembre 2021  5:37 ,100.0,15.71,0.42,0.66,0.09,0.85,5.09,8.59
28604190.0,Finished,14 décembre 2021  4:11 ,14 décembre 2021  5:39 ,87.0,15.00,0.42,0.28,0.00,0.85,4.91,8.54
21113747.0,Finished,13 décembre 2021  4:06 ,13 décembre 2021  5:28 ,81.0,15.98,0.42,0.66,0.19,0.85,5.38,8.48
3800028.0,Finished,13 décembre 2021  4:05 ,13 décembre 2021  5:46 ,101.0,15.36,0.42,0.28,0.00,0.85,5.38,8.43
28619891.0,Finished,15 décembre 2021  11:08 ,15 décembre 2021  12:26 ,78.0,14.84,0.47,0.19,0.19,0.71,4.15,9.14
28609831.0,Finished,16 décembre 2021  5:59 ,16 décembre 2021  7:42 ,102.0,14.85,0.47,0.66,0.00,0.85,5.09,7.78
28620112.0,Finished,16 décembre 2021  5:50 ,16 décembre 2021  7:11 ,80.0,17.45,0.09,0.66,0.19,0.85,5.38,10.28
28602386.0,Finished,16 décembre 2021  5:51 ,16 décembre 2021  6:50 ,58.4,13.48,0.47,0.66,0.09,0.71,4.53,7.01
3700630.0,Finished,13 décembre 2021  4:02 ,13 décembre 2021  5:41 ,98.0,15.50,0.47,0.57,0.09,0.57,5.38,8.43
28600769.0,Finished,15 décembre 2021  11:07 ,15 décembre 2021  12:52 ,105.0,10.42,0.42,0.57,0.19,0.71,5.38,3.15
28600492.0,Finished,13 décembre 2021  4:01 ,13 décembre 2021  5:45 ,104.0,15.72,0.42,0.66,0.19,0.71,5.09,8.65
3801873.0,Finished,14 décembre 2021  4:09 ,14 décembre 2021  5:40 ,90.0,15.29,0.42,0.66,0.19,0.85,5.28,7.88
28711440.0,Finished,13 décembre 2021  4:02 ,13 décembre 2021  5:26 ,83.0,16.00,0.47,0.57,0.09,0.85,5.38,8.65
28604304.0,Finished,13 décembre 2021  4:05 ,13 décembre 2021  5:31 ,86.0,16.10,0.47,0.57,0.19,0.85,5.38,8.65
28608396.0,Finished,14 décembre 2021  3:47 ,14 décembre 2021  5:22 ,94.0,15.14,0.47,0.66,0.09,0.85,4.53,8.54
3708782.0,Finished,14 décembre 2021  3:56 ,14 décembre 2021  5:17 ,81.0,14.33,0.42,0.57,0.09,0.85,5.38,7.01
28610448.0,Finished,15 décembre 2021  10:53 ,15 décembre 2021  12:25 ,92.0,19.29,0.47,0.66,0.19,0.85,5.38,11.75
28601953.0,Finished,16 décembre 2021  5:50 ,16 décembre 2021  6:53 ,62.0,15.48,0.09,0.66,0.00,0.85,5.28,8.59
28600470.0,Finished,15 décembre 2021  10:52 ,15 décembre 2021  12:37 ,104.0,12.61,0.47,0.38,0.09,0.85,5.38,5.44
3702809.0,Finished,15 décembre 2021  11:11 ,15 décembre 2021  12:23 ,71.0,14.99,0.42,0.19,0.19,0.85,4.15,9.19
3701883.0,Finished,13 décembre 2021  4:02 ,13 décembre 2021  5:46 ,103.0,15.82,0.42,0.66,0.00,0.71,5.38,8.65
21114731.0,Finished,14 décembre 2021  3:47 ,14 décembre 2021  5:03 ,76.0,16.00,0.47,0.57,0.09,0.85,5.38,8.65
3801610.0,Finished,13 décembre 2021  4:03 ,13 décembre 2021  5:41 ,98.0,15.52,0.47,0.28,-,0.85,5.38,8.54
28614924.0,Finished,14 décembre 2021  3:47 ,14 décembre 2021  5:30 ,102.0,12.60,0.47,0.19,-,0.85,5.38,5.71
3800162.0,Finished,14 décembre 2021  3:46 ,14 décembre 2021  5:03 ,77.0,16.10,0.47,0.66,0.09,0.85,5.38,8.65
21109170.0,Finished,14 décembre 2021  3:54 ,14 décembre 2021  5:38 ,104.0,12.57,0.38,0.38,0.09,0.85,5.38,5.49
3709743.0,Finished,13 décembre 2021  4:00 ,13 décembre 2021  5:28 ,88.0,14.42,0.42,0.66,0.09,0.71,4.81,7.72
21100776.0,Finished,14 décembre 2021  3:57 ,14 décembre 2021  5:39 ,102.0,15.80,0.42,0.66,0.09,0.71,5.38,8.54
28610667.0,Finished,13 décembre 2021  4:05 ,13 décembre 2021  5:47 ,102.0,15.57,0.47,0.28,0.00,0.85,5.38,8.59
3672320.0,Finished,14 décembre 2021  3:48 ,14 décembre 2021  5:27 ,99.0,10.66,0.47,0.19,0.00,0.71,5.38,3.92
3810768.0,Finished,13 décembre 2021  4:03 ,13 décembre 2021  5:48 ,105.0,17.40,0.47,0.57,0.00,0.71,5.38,10.28
28610187.0,Finished,15 décembre 2021  10:56 ,15 décembre 2021  12:41 ,105.0,16.49,0.47,0.57,0.09,0.85,5.38,9.14
3812676.0,Finished,16 décembre 2021  5:52 ,16 décembre 2021  7:10 ,78.0,17.73,0.47,0.57,0.19,0.85,5.38,10.28
28620155.0,Finished,15 décembre 2021  10:50 ,15 décembre 2021  12:22 ,92.0,15.75,0.42,0.57,0.19,0.85,4.15,9.57
3415756.0,Finished,14 décembre 2021  3:51 ,14 décembre 2021  5:32 ,100.0,13.10,0.47,0.28,0.09,0.57,5.38,6.31
3522190.0,Finished,14 décembre 2021  3:56 ,14 décembre 2021  5:34 ,98.0,16.00,0.42,0.66,0.09,0.85,5.38,8.59
28609645.0,Finished,15 décembre 2021  10:52 ,15 décembre 2021  12:24 ,91.0,19.91,0.47,0.57,0.19,0.85,5.38,12.45
28605064.0,Finished,15 décembre 2021  10:49 ,15 décembre 2021  12:34 ,105.0,14.26,0.47,0.57,0.19,0.85,5.28,6.91
28617603.0,Finished,13 décembre 2021  4:01 ,13 décembre 2021  5:45 ,103.0,10.77,0.47,0.57,0.19,0.28,4.15,5.11
