ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /6.67
3812573.0,Finished,8 novembre 2021  12:31 ,8 novembre 2021  1:57 ,86.0,14.96,5.08,5.56,4.32
28610484.0,Finished,8 novembre 2021  12:31 ,8 novembre 2021  2:01 ,90.0,8.39,3.30,0.56,4.54
28606227.0,Finished,8 novembre 2021  12:31 ,8 novembre 2021  2:01 ,90.0,9.62,3.81,1.11,4.70
3802791.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,89.0,2.54,1.89,-,0.66
21113025.0,Finished,8 novembre 2021  12:31 ,8 novembre 2021  2:01 ,90.0,11.00,1.92,3.89,5.19
21110432.0,Finished,8 novembre 2021  12:30 ,8 novembre 2021  2:00 ,89.0,11.38,3.41,2.78,5.19
28606489.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,5.41,3.08,1.67,0.66
3701350.0,Finished,8 novembre 2021  10:48 ,8 novembre 2021  12:17 ,89.0,9.00,3.15,0.56,5.30
28600748.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,89.0,12.58,4.27,3.89,4.43
3671406.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:14 ,89.0,8.12,3.37,0.00,4.75
28602178.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,89.0,8.12,3.63,0.56,3.93
3601270.0,Finished,8 novembre 2021  12:32 ,8 novembre 2021  2:26 ,113.0,3.82,3.22,-,0.60
28710546.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,89.0,9.40,3.11,3.33,2.95
28610319.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,11.02,4.55,1.67,4.81
3808688.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,10.21,4.74,0.00,5.46
3804270.0,Finished,8 novembre 2021  12:30 ,8 novembre 2021  2:02 ,91.0,15.83,3.59,6.67,5.57
28609148.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:14 ,89.0,12.14,3.94,3.89,4.32
3803860.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,6.31,2.37,0.56,3.39
28626848.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,9.17,-,2.78,6.39
28601465.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,89.0,6.70,3.41,0.56,2.73
28609336.0,Finished,8 novembre 2021  10:46 ,8 novembre 2021  12:16 ,90.0,12.88,2.36,5.00,5.52
3702933.0,Finished,8 novembre 2021  12:37 ,8 novembre 2021  2:05 ,88.0,7.80,1.61,1.11,5.08
21113008.0,Finished,8 novembre 2021  10:52 ,8 novembre 2021  12:22 ,90.0,6.68,2.96,0.00,3.72
28600163.0,Finished,8 novembre 2021  10:45 ,8 novembre 2021  12:15 ,90.0,11.29,3.96,3.33,3.99
28608499.0,Finished,8 novembre 2021  12:30 ,8 novembre 2021  2:00 ,90.0,8.69,3.15,1.67,3.88
21115553.0,Finished,8 novembre 2021  12:30 ,8 novembre 2021  2:00 ,90.0,15.46,3.80,5.00,6.67
