State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /6.67,Q. 2 /6.67,Q. 3 /1.48,Q. 4 /2.96,Q. 5 /2.22
Finished,12 September 2022  2:52 PM,12 September 2022  3:08 PM,15.18,12.90,3.64,3.33,1.48,2.96,1.48
Finished,12 September 2022  6:09 PM,12 September 2022  7:04 PM,55.55,10.34,1.82,3.33,1.48,2.22,1.48
Finished,12 September 2022  7:48 PM,12 September 2022  8:52 PM,63.0,13.69,4.24,5.00,1.48,0.74,2.22
Finished,12 September 2022  8:36 PM,12 September 2022  10:23 PM,107.0,13.80,1.21,6.67,1.48,2.96,1.48
Finished,13 September 2022  11:51 AM,13 September 2022  12:56 PM,64.0,16.48,6.67,5.00,1.48,2.22,1.11
Finished,13 September 2022  1:14 PM,13 September 2022  2:54 PM,100.0,12.22,6.67,3.33,1.48,0.74,0.00
Finished,13 September 2022  2:06 PM,13 September 2022  3:59 PM,112.0,8.59,3.03,3.33,1.48,0.74,0.00
Finished,13 September 2022  2:47 PM,13 September 2022  4:47 PM,120.0,13.60,5.45,3.33,1.48,1.48,1.85
Finished,13 September 2022  2:49 PM,13 September 2022  4:21 PM,92.0,11.82,1.82,6.67,0.74,1.48,1.11
Finished,13 September 2022  2:55 PM,13 September 2022  4:17 PM,81.0,14.07,6.67,3.33,1.48,0.74,1.85
Finished,13 September 2022  2:56 PM,13 September 2022  4:25 PM,88.0,12.56,1.82,6.67,1.48,1.48,1.11
Finished,13 September 2022  2:58 PM,13 September 2022  4:10 PM,71.0,13.70,6.67,3.33,1.48,1.48,0.74
Finished,13 September 2022  2:58 PM,13 September 2022  4:10 PM,71.0,12.49,5.45,3.33,1.48,1.48,0.74
Finished,13 September 2022  3:38 PM,13 September 2022  5:38 PM,120.0,2.69,1.21,-,0.74,0.74,-
Finished,13 September 2022  3:51 PM,13 September 2022  5:35 PM,103.0,8.48,1.82,0.00,1.48,2.96,2.22
Finished,13 September 2022  4:11 PM,13 September 2022  5:18 PM,67.0,11.55,3.03,3.33,1.48,2.22,1.48
Finished,13 September 2022  4:46 PM,13 September 2022  5:23 PM,36.77,10.98,0.61,6.67,1.48,0.74,1.48
Finished,13 September 2022  4:49 PM,13 September 2022  6:04 PM,75.0,15.22,4.85,6.67,1.48,0.74,1.48
Finished,13 September 2022  5:12 PM,13 September 2022  7:12 PM,120.0,11.55,3.03,3.33,1.48,2.22,1.48
Finished,13 September 2022  6:15 PM,13 September 2022  7:40 PM,84.0,18.52,6.67,6.67,1.48,2.22,1.48
Finished,13 September 2022  6:16 PM,13 September 2022  8:05 PM,109.0,1.95,1.21,0.00,0.74,0.00,0.00
Finished,13 September 2022  6:18 PM,13 September 2022  7:52 PM,94.0,13.64,3.64,3.33,1.48,2.96,2.22
Finished,13 September 2022  7:09 PM,13 September 2022  8:08 PM,59.23,6.60,3.64,0.00,1.48,0.74,0.74
Finished,13 September 2022  7:27 PM,13 September 2022  8:16 PM,49.6,10.54,4.24,3.33,1.48,0.00,1.48
Finished,13 September 2022  10:10 PM,13 September 2022  11:12 PM,61.0,17.04,6.67,6.67,0.74,2.22,0.74
Finished,14 September 2022  10:22 AM,14 September 2022  11:31 AM,68.0,16.85,6.67,5.00,1.48,2.22,1.48
Finished,14 September 2022  10:51 AM,14 September 2022  11:46 AM,54.5,20.00,6.67,6.67,1.48,2.96,2.22
Finished,14 September 2022  2:16 PM,14 September 2022  3:17 PM,60.0,12.96,6.67,3.33,0.74,1.48,0.74
Finished,14 September 2022  3:43 PM,14 September 2022  4:39 PM,56.77,20.00,6.67,6.67,1.48,2.96,2.22
Finished,14 September 2022  3:50 PM,14 September 2022  5:27 PM,97.0,19.63,6.67,6.67,1.48,2.96,1.85
Finished,14 September 2022  4:10 PM,14 September 2022  4:50 PM,40.42,10.57,2.42,3.33,1.48,2.22,1.11
Finished,14 September 2022  4:30 PM,14 September 2022  6:29 PM,119.0,18.89,6.67,6.67,1.48,2.22,1.85
Finished,14 September 2022  4:57 PM,14 September 2022  5:47 PM,49.25,15.19,6.67,3.33,1.48,1.48,2.22
Finished,14 September 2022  5:53 PM,14 September 2022  7:12 PM,78.0,15.15,1.82,6.67,1.48,2.96,2.22
Finished,14 September 2022  5:56 PM,14 September 2022  7:09 PM,73.0,9.80,4.24,3.33,1.48,0.74,0.00
Finished,14 September 2022  6:53 PM,14 September 2022  8:38 PM,104.0,18.15,6.67,6.67,1.48,1.48,1.85
Finished,14 September 2022  8:39 PM,14 September 2022  9:01 PM,21.82,18.15,6.67,6.67,1.48,1.48,1.85
Finished,14 September 2022  10:04 PM,15 September 2022  12:03 AM,119.0,9.90,5.45,0.00,1.48,1.48,1.48
Finished,15 September 2022  10:19 AM,15 September 2022  11:01 AM,41.68,6.30,0.00,3.33,1.48,0.74,0.74
Finished,15 September 2022  11:56 AM,15 September 2022  12:51 PM,55.02,7.51,1.21,3.33,1.48,0.74,0.74
Finished,15 September 2022  1:12 PM,15 September 2022  2:53 PM,100.0,10.54,4.24,3.33,1.48,1.48,0.00
Finished,15 September 2022  2:04 PM,15 September 2022  2:35 PM,31.25,17.41,6.67,6.67,1.48,0.74,1.85
Finished,15 September 2022  2:32 PM,15 September 2022  4:26 PM,113.0,14.98,4.24,6.67,1.48,1.48,1.11
Finished,15 September 2022  2:57 PM,15 September 2022  3:40 PM,42.1,19.63,6.67,6.67,1.48,2.96,1.85
Finished,15 September 2022  3:03 PM,15 September 2022  5:02 PM,118.0,8.86,1.82,3.33,1.48,0.74,1.48
Finished,15 September 2022  3:46 PM,15 September 2022  5:22 PM,95.0,13.47,6.06,3.33,1.48,1.48,1.11
Finished,15 September 2022  3:46 PM,15 September 2022  5:22 PM,95.0,14.07,6.67,3.33,1.48,1.48,1.11
Finished,15 September 2022  3:52 PM,15 September 2022  4:57 PM,64.0,11.01,5.45,3.33,0.74,0.74,0.74
Finished,15 September 2022  4:20 PM,15 September 2022  5:14 PM,54.42,17.91,6.06,6.67,1.48,2.96,0.74
Finished,15 September 2022  4:55 PM,15 September 2022  5:32 PM,36.88,16.06,6.06,3.33,1.48,2.96,2.22
Finished,15 September 2022  5:07 PM,15 September 2022  5:58 PM,50.47,14.44,6.67,3.33,1.48,0.74,2.22
Finished,15 September 2022  5:11 PM,15 September 2022  6:05 PM,53.75,16.67,6.67,3.33,1.48,2.96,2.22
Finished,15 September 2022  5:21 PM,15 September 2022  6:05 PM,43.83,16.85,6.67,5.00,0.00,2.96,2.22
Finished,15 September 2022  5:21 PM,15 September 2022  6:07 PM,46.02,14.24,4.24,3.33,1.48,2.96,2.22
Finished,15 September 2022  5:26 PM,15 September 2022  6:04 PM,37.77,15.93,6.67,3.33,1.48,2.96,1.48
Finished,15 September 2022  5:31 PM,15 September 2022  6:34 PM,62.0,17.04,6.67,6.67,1.48,1.48,0.74
Finished,15 September 2022  5:33 PM,15 September 2022  6:17 PM,44.08,14.85,4.85,3.33,1.48,2.96,2.22
Finished,15 September 2022  5:38 PM,15 September 2022  6:24 PM,46.25,16.06,6.06,3.33,1.48,2.96,2.22
Finished,15 September 2022  6:32 PM,15 September 2022  7:22 PM,49.55,16.46,4.24,6.67,1.48,2.96,1.11
Finished,15 September 2022  7:30 PM,15 September 2022  8:11 PM,41.55,8.59,3.03,3.33,1.48,0.74,0.00
Finished,15 September 2022  7:46 PM,15 September 2022  8:52 PM,66.0,16.84,4.24,6.67,1.48,2.22,2.22
Finished,15 September 2022  7:47 PM,15 September 2022  8:52 PM,65.0,10.17,4.24,0.00,1.48,2.22,2.22
Finished,15 September 2022  7:48 PM,15 September 2022  8:57 PM,69.0,19.26,6.67,6.67,1.48,2.96,1.48
Finished,15 September 2022  7:49 PM,15 September 2022  9:43 PM,113.0,16.67,6.67,3.33,1.48,2.96,2.22
Finished,15 September 2022  8:12 PM,15 September 2022  9:39 PM,86.0,10.81,3.03,3.33,1.48,1.48,1.48
Finished,15 September 2022  8:48 PM,15 September 2022  9:59 PM,71.0,18.79,5.45,6.67,1.48,2.96,2.22
Finished,15 September 2022  9:44 PM,15 September 2022  10:09 PM,24.8,18.79,5.45,6.67,1.48,2.96,2.22
Finished,15 September 2022  9:52 PM,15 September 2022  11:00 PM,68.0,13.55,4.85,5.00,1.48,1.48,0.74
Finished,15 September 2022  10:09 PM,15 September 2022  10:29 PM,20.18,20.00,6.67,6.67,1.48,2.96,2.22
Finished,15 September 2022  10:13 PM,15 September 2022  11:55 PM,101.0,6.90,0.61,3.33,1.48,0.74,0.74
Finished,15 September 2022  10:42 PM,16 September 2022  12:42 AM,120.0,10.34,1.82,3.33,1.48,2.22,1.48
Finished,16 September 2022  8:57 AM,16 September 2022  10:56 AM,118.0,12.73,6.06,3.33,1.48,0.74,1.11
Finished,16 September 2022  9:26 AM,16 September 2022  10:43 AM,77.0,13.40,3.03,6.67,1.48,0.74,1.48
Finished,16 September 2022  10:00 AM,16 September 2022  11:00 AM,60.0,15.93,6.67,3.33,1.48,2.96,1.48
Finished,16 September 2022  12:20 PM,16 September 2022  1:43 PM,82.0,8.42,5.45,0.00,1.48,0.74,0.74
Finished,16 September 2022  12:44 PM,16 September 2022  2:43 PM,119.0,8.99,1.21,3.33,1.48,0.74,2.22
Finished,16 September 2022  1:16 PM,16 September 2022  3:11 PM,115.0,15.19,6.67,3.33,1.48,1.48,2.22
Finished,16 September 2022  1:58 PM,16 September 2022  2:39 PM,41.72,7.37,1.82,3.33,1.48,0.74,0.00
Finished,16 September 2022  1:59 PM,16 September 2022  2:43 PM,44.33,14.95,6.06,3.33,1.48,2.22,1.85
Finished,16 September 2022  2:13 PM,16 September 2022  4:13 PM,120.0,15.19,6.67,3.33,1.48,1.48,2.22
Finished,16 September 2022  2:23 PM,16 September 2022  3:13 PM,49.82,8.99,1.21,3.33,1.48,0.74,2.22
Finished,16 September 2022  2:32 PM,16 September 2022  4:32 PM,120.0,6.30,0.00,3.33,1.48,1.48,0.00
Finished,16 September 2022  2:33 PM,16 September 2022  3:47 PM,74.0,15.45,5.45,3.33,1.48,2.96,2.22
Finished,16 September 2022  3:02 PM,16 September 2022  4:41 PM,99.0,16.30,6.67,3.33,1.48,2.96,1.85
Finished,16 September 2022  3:07 PM,16 September 2022  4:15 PM,67.0,17.78,6.67,6.67,1.48,0.74,2.22
Finished,16 September 2022  3:16 PM,16 September 2022  4:54 PM,98.0,13.70,6.67,3.33,1.48,0.74,1.48
Finished,16 September 2022  3:16 PM,16 September 2022  4:56 PM,99.0,13.70,6.67,3.33,1.48,0.74,1.48
Finished,16 September 2022  3:17 PM,16 September 2022  5:16 PM,119.0,13.70,6.67,3.33,1.48,0.74,1.48
Finished,16 September 2022  3:27 PM,16 September 2022  4:03 PM,35.82,14.75,3.64,6.67,1.48,0.74,2.22
Finished,16 September 2022  3:32 PM,16 September 2022  4:13 PM,40.93,17.78,6.67,6.67,1.48,0.74,2.22
Finished,16 September 2022  3:36 PM,16 September 2022  5:36 PM,119.0,11.63,1.82,5.00,1.48,2.96,0.37
Finished,16 September 2022  3:50 PM,16 September 2022  4:40 PM,49.63,10.72,4.24,5.00,0.74,0.74,0.00
