ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /5.00,Q. 2 /3.00,Q. 3 /4.00,Q. 4 /6.00,Q. 5 /1.00,Q. 6 /1.00
28738728.0,Finished,19 September 2022  12:54 PM,19 September 2022  1:24 PM,29.15,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28609357.0,Finished,19 September 2022  10:32 PM,19 September 2022  11:11 PM,38.67,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28707195.0,Finished,20 September 2022  12:43 PM,20 September 2022  1:55 PM,72.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28708645.0,Finished,20 September 2022  3:13 PM,20 September 2022  4:23 PM,69.0,17.00,5.00,3.00,4.00,3.00,1.00,1.00
21208193.0,Finished,20 September 2022  7:45 PM,20 September 2022  8:33 PM,48.52,17.00,5.00,0.00,4.00,6.00,1.00,1.00
21215298.0,Finished,21 September 2022  12:06 PM,21 September 2022  1:10 PM,64.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28630611.0,Finished,21 September 2022  1:46 PM,21 September 2022  2:18 PM,31.77,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28709878.0,Finished,21 September 2022  10:09 PM,21 September 2022  10:55 PM,45.35,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28602183.0,Finished,21 September 2022  10:46 PM,22 September 2022  12:05 AM,79.0,12.00,5.00,2.00,4.00,0.00,0.00,1.00
28601294.0,Finished,21 September 2022  10:55 PM,21 September 2022  11:29 PM,33.83,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28725032.0,Finished,22 September 2022  10:23 AM,22 September 2022  10:58 AM,35.2,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28706331.0,Finished,22 September 2022  1:13 PM,22 September 2022  2:27 PM,74.0,13.78,2.78,3.00,4.00,3.00,1.00,0.00
28707917.0,Finished,22 September 2022  2:37 PM,22 September 2022  2:42 PM,4.23,13.00,5.00,3.00,3.00,0.00,1.00,1.00
28711936.0,Finished,22 September 2022  2:49 PM,22 September 2022  3:49 PM,59.4,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28711505.0,Finished,22 September 2022  3:16 PM,22 September 2022  3:48 PM,31.95,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28706128.0,Finished,22 September 2022  3:21 PM,22 September 2022  4:04 PM,42.97,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28624266.0,Finished,22 September 2022  3:26 PM,22 September 2022  4:04 PM,38.38,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28706456.0,Finished,22 September 2022  3:26 PM,22 September 2022  4:03 PM,37.3,19.00,5.00,3.00,3.00,6.00,1.00,1.00
28700380.0,Finished,22 September 2022  3:26 PM,22 September 2022  4:05 PM,38.55,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3521887.0,Finished,22 September 2022  4:09 PM,22 September 2022  4:24 PM,14.77,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28631029.0,Finished,22 September 2022  4:15 PM,22 September 2022  4:56 PM,41.35,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28708078.0,Finished,22 September 2022  4:38 PM,22 September 2022  5:11 PM,33.27,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28627904.0,Finished,22 September 2022  4:38 PM,22 September 2022  5:15 PM,37.12,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28706508.0,Finished,22 September 2022  4:39 PM,22 September 2022  6:39 PM,120.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28600769.0,Finished,22 September 2022  4:40 PM,22 September 2022  5:18 PM,38.22,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28710401.0,Finished,22 September 2022  4:42 PM,22 September 2022  4:59 PM,17.53,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28713149.0,Finished,22 September 2022  4:42 PM,22 September 2022  4:59 PM,16.75,19.00,5.00,3.00,3.00,6.00,1.00,1.00
28711002.0,Finished,22 September 2022  6:24 PM,22 September 2022  7:24 PM,60.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28701368.0,Finished,22 September 2022  8:45 PM,22 September 2022  9:36 PM,50.52,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28620133.0,Finished,22 September 2022  9:06 PM,22 September 2022  9:11 PM,5.62,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28634278.0,Finished,22 September 2022  11:10 PM,22 September 2022  11:53 PM,43.25,20.00,5.00,3.00,4.00,6.00,1.00,1.00
21203528.0,Finished,22 September 2022  11:36 PM,23 September 2022  12:29 AM,53.3,12.67,1.67,3.00,4.00,3.00,0.00,1.00
21208523.0,Finished,22 September 2022  11:44 PM,23 September 2022  12:06 AM,21.83,13.78,2.78,3.00,4.00,3.00,0.00,1.00
28616341.0,Finished,23 September 2022  7:51 AM,23 September 2022  8:56 AM,64.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3673536.0,Finished,23 September 2022  10:18 AM,23 September 2022  11:06 AM,47.7,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28721870.0,Finished,23 September 2022  11:04 AM,23 September 2022  11:11 AM,6.83,13.00,5.00,0.00,0.00,6.00,1.00,1.00
3800655.0,Finished,23 September 2022  1:09 PM,23 September 2022  3:08 PM,119.0,13.78,2.78,3.00,4.00,3.00,0.00,1.00
28712638.0,Finished,23 September 2022  1:11 PM,23 September 2022  2:14 PM,63.0,13.00,5.00,3.00,4.00,0.00,1.00,0.00
21218316.0,Finished,23 September 2022  1:49 PM,23 September 2022  3:29 PM,99.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
21201851.0,Finished,23 September 2022  2:12 PM,23 September 2022  3:51 PM,98.0,16.00,5.00,3.00,4.00,3.00,0.00,1.00
28705835.0,Finished,23 September 2022  2:17 PM,23 September 2022  3:29 PM,71.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28608444.0,Finished,23 September 2022  3:01 PM,23 September 2022  3:50 PM,49.25,20.00,5.00,3.00,4.00,6.00,1.00,1.00
21207306.0,Finished,23 September 2022  3:46 PM,23 September 2022  4:33 PM,46.43,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28602815.0,Finished,23 September 2022  4:55 PM,23 September 2022  6:00 PM,64.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
3803083.0,Finished,23 September 2022  5:13 PM,23 September 2022  6:09 PM,56.65,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28706827.0,Finished,23 September 2022  5:16 PM,23 September 2022  6:38 PM,82.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28712278.0,Finished,23 September 2022  5:52 PM,23 September 2022  6:38 PM,45.7,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28707365.0,Finished,23 September 2022  5:59 PM,23 September 2022  6:59 PM,60.0,17.00,5.00,3.00,4.00,3.00,1.00,1.00
28708067.0,Finished,23 September 2022  5:59 PM,23 September 2022  6:59 PM,60.0,17.00,5.00,3.00,4.00,3.00,1.00,1.00
28706879.0,Finished,23 September 2022  6:02 PM,23 September 2022  6:58 PM,55.27,17.00,5.00,3.00,4.00,3.00,1.00,1.00
28710067.0,Finished,23 September 2022  6:03 PM,23 September 2022  6:58 PM,54.97,17.00,5.00,3.00,4.00,3.00,1.00,1.00
28711733.0,Finished,23 September 2022  6:23 PM,23 September 2022  7:39 PM,75.0,15.00,5.00,3.00,3.00,3.00,0.00,1.00
28706563.0,Finished,23 September 2022  6:25 PM,23 September 2022  7:36 PM,70.0,18.89,3.89,3.00,4.00,6.00,1.00,1.00
28706636.0,Finished,23 September 2022  6:30 PM,23 September 2022  7:34 PM,64.0,18.89,3.89,3.00,4.00,6.00,1.00,1.00
3803110.0,Finished,23 September 2022  6:38 PM,23 September 2022  6:55 PM,17.37,18.89,3.89,3.00,4.00,6.00,1.00,1.00
3804152.0,Finished,23 September 2022  7:19 PM,23 September 2022  8:03 PM,43.95,13.22,2.22,3.00,4.00,3.00,0.00,1.00
21200397.0,Finished,23 September 2022  7:24 PM,23 September 2022  9:12 PM,108.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28614730.0,Finished,23 September 2022  7:26 PM,23 September 2022  8:12 PM,46.55,13.00,5.00,3.00,4.00,0.00,0.00,1.00
28610536.0,Finished,23 September 2022  8:13 PM,23 September 2022  8:54 PM,41.63,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28632942.0,Finished,23 September 2022  8:34 PM,23 September 2022  8:54 PM,19.92,19.00,5.00,2.00,4.00,6.00,1.00,1.00
28614630.0,Finished,23 September 2022  8:54 PM,23 September 2022  9:37 PM,43.07,16.00,5.00,3.00,4.00,3.00,0.00,1.00
28706745.0,Finished,23 September 2022  9:00 PM,23 September 2022  9:20 PM,20.2,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28706112.0,Finished,23 September 2022  9:07 PM,23 September 2022  10:12 PM,64.0,18.00,5.00,3.00,4.00,6.00,0.00,0.00
28708977.0,Finished,23 September 2022  9:11 PM,23 September 2022  10:23 PM,72.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
21201131.0,Finished,23 September 2022  9:43 PM,23 September 2022  10:48 PM,64.0,14.89,3.89,3.00,4.00,3.00,0.00,1.00
28707210.0,Finished,23 September 2022  9:44 PM,23 September 2022  10:22 PM,38.08,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28707889.0,Finished,23 September 2022  9:48 PM,23 September 2022  10:44 PM,56.5,17.00,5.00,3.00,4.00,3.00,1.00,1.00
21200572.0,Finished,23 September 2022  9:50 PM,23 September 2022  10:28 PM,38.45,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28706087.0,Finished,23 September 2022  9:50 PM,23 September 2022  10:19 PM,28.38,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28710344.0,Finished,23 September 2022  9:52 PM,23 September 2022  10:45 PM,52.45,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28605493.0,Finished,23 September 2022  9:55 PM,23 September 2022  10:34 PM,39.3,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28605540.0,Finished,23 September 2022  9:57 PM,23 September 2022  10:39 PM,41.22,20.00,5.00,3.00,4.00,6.00,1.00,1.00
21215141.0,Finished,23 September 2022  10:10 PM,23 September 2022  10:27 PM,16.85,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28708934.0,Finished,23 September 2022  10:11 PM,23 September 2022  11:39 PM,87.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28706052.0,Finished,23 September 2022  10:23 PM,23 September 2022  11:29 PM,66.0,16.00,5.00,3.00,4.00,3.00,1.00,0.00
21208634.0,Finished,23 September 2022  10:40 PM,23 September 2022  11:29 PM,48.6,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28707404.0,Finished,23 September 2022  11:40 PM,24 September 2022  12:42 AM,62.0,20.00,5.00,3.00,4.00,6.00,1.00,1.00
28709630.0,Finished,23 September 2022  11:57 PM,24 September 2022  12:49 AM,52.45,20.00,5.00,3.00,4.00,6.00,1.00,1.00
21215887.0,Finished,24 September 2022  12:00 AM,24 September 2022  1:05 AM,65.0,17.00,5.00,3.00,4.00,3.00,1.00,1.00
3811446.0,Finished,24 September 2022  12:03 AM,24 September 2022  12:38 AM,34.55,17.00,5.00,2.00,4.00,6.00,0.00,0.00
28705401.0,Finished,24 September 2022  12:16 AM,24 September 2022  12:35 AM,18.78,20.00,5.00,3.00,4.00,6.00,1.00,1.00
21209708.0,Finished,24 September 2022  12:46 AM,24 September 2022  1:09 AM,23.23,20.00,5.00,3.00,4.00,6.00,1.00,1.00
