ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /8.62,Q. 2 /11.38
28709878.0,Finished,3 October 2022  4:10 PM,3 October 2022  5:05 PM,55.07,19.69,8.62,11.08
28708645.0,Finished,4 October 2022  9:17 AM,4 October 2022  10:05 AM,48.27,10.36,5.13,5.23
28707195.0,Finished,4 October 2022  12:55 PM,4 October 2022  2:02 PM,66.0,19.38,8.62,10.77
28630611.0,Finished,5 October 2022  1:05 PM,5 October 2022  2:02 PM,56.25,20.00,8.62,11.38
28616341.0,Finished,5 October 2022  2:02 PM,5 October 2022  2:59 PM,56.78,20.00,8.62,11.38
28631029.0,Finished,5 October 2022  4:16 PM,5 October 2022  5:06 PM,49.67,19.69,8.62,11.08
21200809.0,Finished,5 October 2022  4:27 PM,5 October 2022  4:46 PM,18.97,19.69,8.62,11.08
28710401.0,Finished,5 October 2022  4:48 PM,5 October 2022  5:22 PM,33.72,19.69,8.62,11.08
28713149.0,Finished,5 October 2022  5:18 PM,5 October 2022  6:27 PM,69.0,18.15,7.38,10.77
3802649.0,Finished,6 October 2022  1:19 PM,6 October 2022  2:10 PM,50.35,19.18,8.41,10.77
28700380.0,Finished,6 October 2022  3:02 PM,6 October 2022  4:11 PM,68.0,19.79,8.41,11.38
28624266.0,Finished,6 October 2022  3:07 PM,6 October 2022  4:09 PM,61.0,19.38,8.31,11.08
28706128.0,Finished,6 October 2022  3:07 PM,6 October 2022  4:09 PM,61.0,19.69,8.62,11.08
28706456.0,Finished,6 October 2022  3:08 PM,6 October 2022  4:09 PM,61.0,19.79,8.41,11.38
28701368.0,Finished,6 October 2022  3:08 PM,6 October 2022  4:11 PM,62.0,20.00,8.62,11.38
28711664.0,Finished,6 October 2022  3:54 PM,6 October 2022  4:31 PM,36.67,19.38,8.62,10.77
28711626.0,Finished,6 October 2022  3:54 PM,6 October 2022  4:29 PM,34.85,19.38,8.62,10.77
28738728.0,Finished,6 October 2022  5:11 PM,6 October 2022  5:41 PM,30.08,14.77,7.38,7.38
28712800.0,Finished,6 October 2022  8:23 PM,6 October 2022  8:59 PM,35.82,15.59,4.51,11.08
28602183.0,Finished,6 October 2022  10:47 PM,7 October 2022  12:47 AM,120.0,15.59,8.62,6.97
21203528.0,Finished,7 October 2022  10:29 AM,7 October 2022  11:12 AM,42.88,15.38,8.00,7.38
21201851.0,Finished,7 October 2022  1:07 PM,7 October 2022  2:58 PM,111.0,15.59,6.97,8.62
28706232.0,Finished,7 October 2022  1:45 PM,7 October 2022  2:42 PM,56.43,14.36,6.97,7.38
28609357.0,Finished,7 October 2022  2:39 PM,7 October 2022  3:15 PM,36.6,15.28,8.21,7.08
28707798.0,Finished,7 October 2022  3:13 PM,7 October 2022  3:39 PM,26.5,12.97,7.38,5.59
28608444.0,Finished,7 October 2022  4:03 PM,7 October 2022  4:37 PM,34.42,20.00,8.62,11.38
21213350.0,Finished,7 October 2022  4:12 PM,7 October 2022  5:42 PM,90.0,19.08,8.00,11.08
28601294.0,Finished,7 October 2022  4:30 PM,7 October 2022  6:30 PM,119.0,16.26,5.23,11.03
28721870.0,Finished,7 October 2022  4:32 PM,7 October 2022  5:25 PM,52.72,20.00,8.62,11.38
28706827.0,Finished,7 October 2022  4:43 PM,7 October 2022  5:41 PM,58.35,16.31,8.62,7.69
28627904.0,Finished,7 October 2022  4:43 PM,7 October 2022  5:28 PM,45.2,20.00,8.62,11.38
21200527.0,Finished,7 October 2022  4:56 PM,7 October 2022  6:10 PM,74.0,10.36,5.23,5.13
21201131.0,Finished,7 October 2022  5:29 PM,7 October 2022  6:40 PM,70.0,15.38,4.92,10.46
28711951.0,Finished,7 October 2022  5:58 PM,7 October 2022  7:05 PM,66.0,17.95,7.18,10.77
3800655.0,Finished,7 October 2022  6:14 PM,7 October 2022  8:14 PM,119.0,14.82,7.79,7.03
28711002.0,Finished,7 October 2022  6:17 PM,7 October 2022  7:20 PM,63.0,18.87,7.79,11.08
28706745.0,Finished,7 October 2022  6:21 PM,7 October 2022  6:35 PM,13.95,19.33,8.62,10.72
28614730.0,Finished,7 October 2022  7:16 PM,7 October 2022  8:08 PM,51.73,16.82,6.36,10.46
28709630.0,Finished,7 October 2022  7:20 PM,7 October 2022  8:49 PM,88.0,15.08,7.38,7.69
28706138.0,Finished,7 October 2022  8:08 PM,7 October 2022  9:09 PM,61.0,19.69,8.62,11.08
28707210.0,Finished,7 October 2022  8:10 PM,7 October 2022  9:14 PM,63.0,19.38,8.62,10.77
3702933.0,Finished,7 October 2022  8:25 PM,7 October 2022  8:53 PM,27.57,18.05,6.97,11.08
3803083.0,Finished,7 October 2022  8:38 PM,7 October 2022  9:33 PM,55.08,19.69,8.62,11.08
3803110.0,Finished,7 October 2022  8:39 PM,7 October 2022  9:06 PM,26.93,19.64,8.62,11.03
28614630.0,Finished,7 October 2022  9:13 PM,7 October 2022  10:34 PM,81.0,18.05,6.97,11.08
28708934.0,Finished,7 October 2022  9:52 PM,7 October 2022  10:51 PM,58.55,19.69,8.62,11.08
28706415.0,Finished,7 October 2022  10:03 PM,7 October 2022  11:07 PM,64.0,19.38,8.62,10.77
28706052.0,Finished,7 October 2022  10:20 PM,8 October 2022  12:20 AM,120.0,15.90,7.59,8.31
28620133.0,Finished,7 October 2022  10:24 PM,7 October 2022  10:30 PM,6.2,18.21,8.62,9.59
21212519.0,Finished,7 October 2022  10:29 PM,8 October 2022  12:29 AM,119.0,13.23,8.00,5.23
21215298.0,Finished,7 October 2022  10:29 PM,8 October 2022  12:18 AM,108.0,13.95,8.62,5.33
21208523.0,Finished,7 October 2022  10:31 PM,7 October 2022  11:18 PM,47.12,16.10,8.62,7.49
28706087.0,Finished,7 October 2022  10:46 PM,8 October 2022  12:32 AM,105.0,18.41,8.62,9.79
3702042.0,Finished,7 October 2022  10:50 PM,7 October 2022  11:01 PM,10.53,14.36,5.74,8.62
21200397.0,Finished,7 October 2022  11:00 PM,8 October 2022  1:00 AM,120.0,19.38,8.00,11.38
28707404.0,Finished,7 October 2022  11:08 PM,7 October 2022  11:18 PM,9.75,19.69,8.62,11.08
28708977.0,Finished,7 October 2022  11:11 PM,8 October 2022  12:56 AM,104.0,19.69,8.31,11.38
28605493.0,Finished,7 October 2022  11:14 PM,8 October 2022  12:33 AM,78.0,18.67,8.62,10.05
28605540.0,Finished,7 October 2022  11:15 PM,8 October 2022  1:14 AM,119.0,20.00,8.62,11.38
28710344.0,Finished,8 October 2022  12:09 AM,8 October 2022  1:17 AM,67.0,20.00,8.62,11.38
28706664.0,Finished,8 October 2022  1:10 AM,8 October 2022  1:47 AM,36.55,19.79,8.41,11.38
28705957.0,Finished,8 October 2022  6:19 AM,8 October 2022  7:25 AM,65.0,7.59,5.64,1.95
21200169.0,Finished,8 October 2022  7:42 AM,8 October 2022  8:51 AM,69.0,19.38,8.00,11.38
28711288.0,Finished,8 October 2022  8:35 AM,8 October 2022  9:59 AM,84.0,16.31,8.62,7.69
3804605.0,Finished,8 October 2022  9:29 AM,8 October 2022  10:13 AM,43.4,19.69,8.62,11.08
28602815.0,Finished,8 October 2022  9:40 AM,8 October 2022  10:16 AM,35.28,19.69,8.62,11.08
3803088.0,Finished,8 October 2022  10:01 AM,8 October 2022  11:11 AM,70.0,20.00,8.62,11.38
28707696.0,Finished,8 October 2022  10:08 AM,8 October 2022  10:56 AM,47.98,19.38,8.62,10.77
28706346.0,Finished,8 October 2022  10:27 AM,8 October 2022  11:15 AM,48.08,20.00,8.62,11.38
28707889.0,Finished,8 October 2022  10:28 AM,8 October 2022  12:03 PM,95.0,18.36,8.62,9.74
28705959.0,Finished,8 October 2022  10:29 AM,8 October 2022  11:19 AM,50.1,20.00,8.62,11.38
28606787.0,Finished,8 October 2022  10:30 AM,8 October 2022  12:30 PM,120.0,20.00,8.62,11.38
28707630.0,Finished,8 October 2022  10:33 AM,8 October 2022  11:20 AM,46.58,19.69,8.31,11.38
28706411.0,Finished,8 October 2022  10:34 AM,8 October 2022  11:20 AM,46.08,19.69,8.62,11.08
28705948.0,Finished,8 October 2022  10:36 AM,8 October 2022  11:20 AM,43.82,19.69,8.62,11.08
28707726.0,Finished,8 October 2022  10:58 AM,8 October 2022  12:34 PM,95.0,9.13,2.97,6.15
3673536.0,Finished,8 October 2022  11:11 AM,8 October 2022  12:00 PM,48.82,19.69,8.62,11.08
28725032.0,Finished,8 October 2022  11:13 AM,8 October 2022  11:53 AM,39.35,19.69,8.62,11.08
28713301.0,Finished,8 October 2022  11:15 AM,8 October 2022  12:19 PM,63.0,19.69,8.62,11.08
28705068.0,Finished,8 October 2022  11:32 AM,8 October 2022  11:58 AM,25.95,19.08,8.00,11.08
28602563.0,Finished,8 October 2022  11:53 AM,8 October 2022  12:15 PM,21.2,19.69,8.62,11.08
28706112.0,Finished,8 October 2022  11:54 AM,8 October 2022  1:18 PM,84.0,20.00,8.62,11.38
28709428.0,Finished,8 October 2022  11:54 AM,8 October 2022  12:17 PM,23.92,20.00,8.62,11.38
28600470.0,Finished,8 October 2022  12:02 PM,8 October 2022  1:37 PM,95.0,19.08,8.62,10.46
28707917.0,Finished,8 October 2022  12:03 PM,8 October 2022  12:42 PM,39.08,19.69,8.62,11.08
3811446.0,Finished,8 October 2022  12:04 PM,8 October 2022  1:18 PM,73.0,19.08,8.00,11.08
28729891.0,Finished,8 October 2022  12:05 PM,8 October 2022  12:43 PM,38.1,20.00,8.62,11.38
28710114.0,Finished,8 October 2022  12:07 PM,8 October 2022  1:39 PM,92.0,19.18,7.79,11.38
3672079.0,Finished,8 October 2022  12:07 PM,8 October 2022  1:31 PM,83.0,19.69,8.62,11.08
21214576.0,Finished,8 October 2022  12:09 PM,8 October 2022  1:07 PM,57.98,19.38,8.62,10.77
3802503.0,Finished,8 October 2022  12:15 PM,8 October 2022  12:41 PM,25.87,14.87,7.08,7.79
21218316.0,Finished,8 October 2022  12:51 PM,8 October 2022  2:42 PM,110.0,18.46,7.38,11.08
21113317.0,Finished,8 October 2022  12:56 PM,8 October 2022  2:02 PM,65.0,10.46,6.15,4.31
28618109.0,Finished,8 October 2022  1:08 PM,8 October 2022  2:36 PM,88.0,13.85,6.97,6.87
28708078.0,Finished,8 October 2022  1:44 PM,8 October 2022  2:01 PM,16.9,19.69,8.62,11.08
21212724.0,Finished,8 October 2022  1:47 PM,8 October 2022  2:16 PM,28.12,17.23,6.15,11.08
21208634.0,Finished,8 October 2022  1:57 PM,8 October 2022  2:54 PM,57.57,19.08,8.00,11.08
28634278.0,Finished,8 October 2022  2:02 PM,8 October 2022  2:19 PM,17.0,19.69,8.62,11.08
28606874.0,Finished,8 October 2022  2:05 PM,8 October 2022  3:17 PM,72.0,10.31,4.10,6.21
21209708.0,Finished,8 October 2022  2:06 PM,8 October 2022  2:54 PM,48.55,19.38,8.00,11.38
28618735.0,Finished,8 October 2022  2:10 PM,8 October 2022  2:53 PM,42.72,19.69,8.62,11.08
28609220.0,Finished,8 October 2022  2:13 PM,8 October 2022  2:27 PM,14.4,16.00,8.62,7.38
3700119.0,Finished,8 October 2022  2:14 PM,8 October 2022  3:03 PM,49.03,20.00,8.62,11.38
28604542.0,Finished,8 October 2022  2:14 PM,8 October 2022  3:03 PM,49.03,20.00,8.62,11.38
28627431.0,Finished,8 October 2022  2:18 PM,8 October 2022  2:46 PM,27.27,15.79,5.64,10.15
28717281.0,Finished,8 October 2022  2:35 PM,8 October 2022  3:49 PM,73.0,14.77,5.54,9.23
28717249.0,Finished,8 October 2022  2:37 PM,8 October 2022  3:49 PM,71.0,13.85,4.62,9.23
21200572.0,Finished,8 October 2022  2:43 PM,8 October 2022  3:01 PM,18.62,17.95,6.56,11.38
21207306.0,Finished,8 October 2022  2:50 PM,8 October 2022  4:06 PM,76.0,18.67,7.59,11.08
28607928.0,Finished,8 October 2022  2:53 PM,8 October 2022  4:25 PM,92.0,14.77,8.62,6.15
28711505.0,Finished,8 October 2022  2:58 PM,8 October 2022  3:22 PM,24.47,15.49,8.41,7.08
3521887.0,Finished,8 October 2022  2:59 PM,8 October 2022  3:37 PM,37.07,19.69,8.62,11.08
3801002.0,Finished,8 October 2022  3:00 PM,8 October 2022  4:39 PM,99.0,14.26,8.62,5.64
28711733.0,Finished,8 October 2022  3:01 PM,8 October 2022  4:22 PM,80.0,18.46,7.38,11.08
28711772.0,Finished,8 October 2022  3:01 PM,8 October 2022  4:21 PM,79.0,19.69,8.31,11.38
28711710.0,Finished,8 October 2022  3:02 PM,8 October 2022  3:35 PM,33.47,15.08,5.54,9.54
28610536.0,Finished,8 October 2022  3:04 PM,8 October 2022  3:33 PM,29.17,13.85,6.77,7.08
21215141.0,Finished,8 October 2022  3:04 PM,8 October 2022  4:05 PM,61.0,18.05,7.59,10.46
28706563.0,Finished,8 October 2022  3:04 PM,8 October 2022  4:09 PM,65.0,18.87,7.79,11.08
28706331.0,Finished,8 October 2022  3:04 PM,8 October 2022  4:10 PM,66.0,19.08,8.00,11.08
28711936.0,Finished,8 October 2022  3:06 PM,8 October 2022  4:05 PM,59.6,18.15,6.77,11.38
21213030.0,Finished,8 October 2022  3:07 PM,8 October 2022  3:53 PM,46.48,19.69,8.62,11.08
28707475.0,Finished,8 October 2022  3:09 PM,8 October 2022  3:47 PM,38.45,19.49,8.41,11.08
21119283.0,Finished,8 October 2022  3:09 PM,8 October 2022  3:46 PM,36.85,18.26,7.18,11.08
28706762.0,Finished,8 October 2022  3:12 PM,8 October 2022  3:41 PM,29.03,17.74,6.36,11.38
28706879.0,Finished,8 October 2022  3:12 PM,8 October 2022  4:08 PM,55.6,20.00,8.62,11.38
28710067.0,Finished,8 October 2022  3:13 PM,8 October 2022  4:08 PM,54.78,19.08,8.62,10.46
28708067.0,Finished,8 October 2022  3:13 PM,8 October 2022  4:08 PM,55.35,19.79,8.41,11.38
28707797.0,Finished,8 October 2022  3:15 PM,8 October 2022  4:19 PM,64.0,17.74,8.00,9.74
3808685.0,Finished,8 October 2022  3:15 PM,8 October 2022  4:12 PM,56.22,19.69,8.62,11.08
28710263.0,Finished,8 October 2022  3:16 PM,8 October 2022  4:22 PM,66.0,18.77,8.00,10.77
3872127.0,Finished,8 October 2022  3:16 PM,8 October 2022  3:56 PM,39.95,18.97,8.62,10.36
28706636.0,Finished,8 October 2022  3:18 PM,8 October 2022  4:35 PM,77.0,20.00,8.62,11.38
3811684.0,Finished,8 October 2022  3:18 PM,8 October 2022  4:55 PM,97.0,18.67,8.62,10.05
3808150.0,Finished,8 October 2022  3:20 PM,8 October 2022  4:58 PM,97.0,19.69,8.62,11.08
28712760.0,Finished,8 October 2022  3:24 PM,8 October 2022  5:22 PM,118.0,20.00,8.62,11.38
3520774.0,Finished,8 October 2022  3:28 PM,8 October 2022  4:51 PM,82.0,8.87,5.74,3.13
21219706.0,Finished,8 October 2022  3:29 PM,8 October 2022  5:29 PM,120.0,15.74,5.95,9.79
28712278.0,Finished,8 October 2022  3:32 PM,8 October 2022  4:00 PM,28.25,15.79,8.41,7.38
28602418.0,Finished,8 October 2022  3:34 PM,8 October 2022  4:14 PM,39.43,19.08,8.00,11.08
28706508.0,Finished,8 October 2022  3:36 PM,8 October 2022  3:59 PM,22.88,19.69,8.62,11.08
28632942.0,Finished,8 October 2022  3:37 PM,8 October 2022  3:55 PM,18.2,20.00,8.62,11.38
28631085.0,Finished,8 October 2022  3:39 PM,8 October 2022  4:37 PM,58.2,19.69,8.62,11.08
3808418.0,Finished,8 October 2022  3:40 PM,8 October 2022  5:35 PM,115.0,20.00,8.62,11.38
21215817.0,Finished,8 October 2022  3:41 PM,8 October 2022  4:45 PM,64.0,9.90,4.92,4.97
21113286.0,Finished,8 October 2022  3:46 PM,8 October 2022  4:46 PM,59.72,19.69,8.62,11.08
28705835.0,Finished,8 October 2022  3:47 PM,8 October 2022  4:46 PM,59.47,20.00,8.62,11.38
3803944.0,Finished,8 October 2022  3:47 PM,8 October 2022  4:57 PM,69.0,20.00,8.62,11.38
28714617.0,Finished,8 October 2022  3:47 PM,8 October 2022  4:36 PM,48.67,20.00,8.62,11.38
28711545.0,Finished,8 October 2022  3:49 PM,8 October 2022  4:42 PM,53.3,19.08,8.00,11.08
28631974.0,Finished,8 October 2022  3:51 PM,8 October 2022  4:22 PM,31.22,18.15,7.38,10.77
28616272.0,Finished,8 October 2022  3:52 PM,8 October 2022  4:34 PM,41.13,18.56,8.62,9.95
28710097.0,Finished,8 October 2022  3:55 PM,8 October 2022  4:31 PM,36.78,20.00,8.62,11.38
3700291.0,Finished,8 October 2022  3:57 PM,8 October 2022  4:21 PM,24.1,10.56,4.41,6.15
28613143.0,Finished,8 October 2022  3:57 PM,8 October 2022  5:20 PM,83.0,19.69,8.62,11.08
28600768.0,Finished,8 October 2022  3:58 PM,8 October 2022  4:32 PM,34.27,19.08,8.00,11.08
28610654.0,Finished,8 October 2022  3:58 PM,8 October 2022  4:32 PM,34.58,20.00,8.62,11.38
28720888.0,Finished,8 October 2022  3:59 PM,8 October 2022  4:34 PM,35.27,18.56,8.62,9.95
28708274.0,Finished,8 October 2022  4:03 PM,8 October 2022  4:29 PM,26.63,19.69,8.62,11.08
28600769.0,Finished,8 October 2022  4:05 PM,8 October 2022  4:56 PM,51.1,19.64,8.62,11.03
3804887.0,Finished,8 October 2022  4:06 PM,8 October 2022  5:13 PM,67.0,19.38,8.62,10.77
28705401.0,Finished,8 October 2022  4:09 PM,8 October 2022  4:58 PM,49.43,17.33,8.62,8.72
28720263.0,Finished,8 October 2022  4:11 PM,8 October 2022  5:09 PM,58.52,9.64,5.85,3.79
28708212.0,Finished,8 October 2022  4:12 PM,8 October 2022  5:04 PM,52.07,20.00,8.62,11.38
28602661.0,Finished,8 October 2022  4:12 PM,8 October 2022  5:58 PM,105.0,20.00,8.62,11.38
28708487.0,Finished,8 October 2022  4:13 PM,8 October 2022  5:39 PM,85.0,19.69,8.62,11.08
21219688.0,Finished,8 October 2022  4:14 PM,8 October 2022  4:30 PM,15.97,12.51,6.15,6.36
28626896.0,Finished,8 October 2022  4:14 PM,8 October 2022  4:33 PM,19.23,19.69,8.62,11.08
28617316.0,Finished,8 October 2022  4:15 PM,8 October 2022  5:23 PM,67.0,19.69,8.62,11.08
28603668.0,Finished,8 October 2022  4:15 PM,8 October 2022  6:15 PM,120.0,19.69,8.62,11.08
28708160.0,Finished,8 October 2022  4:16 PM,8 October 2022  6:07 PM,111.0,18.56,8.62,9.95
3804183.0,Finished,8 October 2022  4:16 PM,8 October 2022  5:23 PM,67.0,17.44,8.41,9.03
28712609.0,Finished,8 October 2022  4:17 PM,8 October 2022  5:30 PM,73.0,20.00,8.62,11.38
28608893.0,Finished,8 October 2022  4:18 PM,8 October 2022  4:54 PM,36.02,16.10,8.41,7.69
28616494.0,Finished,8 October 2022  4:22 PM,8 October 2022  4:52 PM,30.17,20.00,8.62,11.38
28718775.0,Finished,8 October 2022  4:22 PM,8 October 2022  6:11 PM,109.0,18.46,7.38,11.08
28711501.0,Finished,8 October 2022  4:23 PM,8 October 2022  6:16 PM,112.0,15.64,6.15,9.49
28707180.0,Finished,8 October 2022  4:24 PM,8 October 2022  4:39 PM,15.38,17.95,6.56,11.38
3701324.0,Finished,8 October 2022  4:25 PM,8 October 2022  6:18 PM,113.0,19.79,8.41,11.38
3703308.0,Finished,8 October 2022  4:25 PM,8 October 2022  6:25 PM,120.0,15.03,8.62,6.41
28707365.0,Finished,8 October 2022  4:26 PM,8 October 2022  6:26 PM,120.0,17.95,7.49,10.46
28712429.0,Finished,8 October 2022  4:26 PM,8 October 2022  5:34 PM,67.0,20.00,8.62,11.38
21200977.0,Finished,8 October 2022  4:28 PM,8 October 2022  6:04 PM,95.0,20.00,8.62,11.38
28716648.0,Finished,8 October 2022  4:28 PM,8 October 2022  6:24 PM,116.0,20.00,8.62,11.38
3704907.0,Finished,8 October 2022  4:28 PM,8 October 2022  6:29 PM,120.0,19.28,8.21,11.08
28718611.0,Finished,8 October 2022  4:29 PM,8 October 2022  5:53 PM,84.0,19.38,8.62,10.77
21218709.0,Finished,8 October 2022  4:29 PM,8 October 2022  5:41 PM,71.0,18.77,8.00,10.77
28706076.0,Finished,8 October 2022  4:31 PM,8 October 2022  5:54 PM,83.0,13.95,8.00,5.95
21115284.0,Finished,8 October 2022  4:32 PM,8 October 2022  5:11 PM,39.35,16.92,5.85,11.08
28711811.0,Finished,8 October 2022  4:32 PM,8 October 2022  5:09 PM,36.78,18.87,7.79,11.08
28720764.0,Finished,8 October 2022  4:32 PM,8 October 2022  4:54 PM,21.13,18.26,7.49,10.77
21221977.0,Finished,8 October 2022  4:33 PM,8 October 2022  5:33 PM,60.0,16.56,6.77,9.79
3800073.0,Finished,8 October 2022  4:33 PM,8 October 2022  6:26 PM,112.0,20.00,8.62,11.38
28710621.0,Finished,8 October 2022  4:34 PM,8 October 2022  6:26 PM,112.0,19.38,8.00,11.38
28602162.0,Finished,8 October 2022  4:34 PM,8 October 2022  5:51 PM,77.0,19.69,8.62,11.08
28706848.0,Finished,8 October 2022  4:35 PM,8 October 2022  5:32 PM,57.57,19.38,8.00,11.38
28620097.0,Finished,8 October 2022  4:35 PM,8 October 2022  6:00 PM,84.0,8.62,8.62,-
28626439.0,Finished,8 October 2022  4:38 PM,8 October 2022  5:45 PM,66.0,19.69,8.62,11.08
28709278.0,Finished,8 October 2022  4:41 PM,8 October 2022  6:30 PM,108.0,11.69,7.79,3.90
28705425.0,Finished,8 October 2022  4:41 PM,8 October 2022  4:58 PM,16.85,19.69,8.62,11.08
21215887.0,Finished,8 October 2022  4:46 PM,8 October 2022  5:41 PM,54.95,19.08,8.00,11.08
28706938.0,Finished,8 October 2022  4:49 PM,8 October 2022  6:30 PM,100.0,9.85,7.38,2.46
3971297.0,Finished,8 October 2022  4:55 PM,8 October 2022  5:28 PM,33.03,14.26,8.62,5.64
28607959.0,Finished,8 October 2022  4:59 PM,8 October 2022  5:35 PM,36.05,15.79,7.18,8.62
3804052.0,Finished,8 October 2022  4:59 PM,8 October 2022  5:31 PM,32.1,15.28,7.79,7.49
21208501.0,Finished,8 October 2022  5:02 PM,8 October 2022  5:31 PM,28.6,16.92,5.54,11.38
28716428.0,Finished,8 October 2022  5:03 PM,8 October 2022  5:47 PM,43.98,20.00,8.62,11.38
3800477.0,Finished,8 October 2022  5:05 PM,8 October 2022  6:06 PM,61.0,19.69,8.62,11.08
28706902.0,Finished,8 October 2022  5:05 PM,8 October 2022  5:52 PM,46.9,18.77,8.00,10.77
28709531.0,Finished,8 October 2022  5:08 PM,8 October 2022  5:49 PM,40.72,14.77,5.85,8.92
3702508.0,Finished,8 October 2022  5:09 PM,8 October 2022  5:43 PM,34.22,19.08,8.00,11.08
21208283.0,Finished,8 October 2022  5:12 PM,8 October 2022  5:44 PM,32.33,18.77,7.38,11.38
3804152.0,Finished,8 October 2022  5:14 PM,8 October 2022  5:44 PM,29.3,18.56,7.79,10.77
28707756.0,Finished,8 October 2022  5:15 PM,8 October 2022  6:21 PM,66.0,19.38,8.00,11.38
3804494.0,Finished,8 October 2022  5:16 PM,8 October 2022  6:17 PM,60.0,15.28,6.56,8.72
28706765.0,Finished,8 October 2022  5:16 PM,8 October 2022  6:09 PM,52.52,18.56,8.62,9.95
28712088.0,Finished,8 October 2022  5:28 PM,8 October 2022  5:40 PM,11.63,18.77,8.00,10.77
28717247.0,Finished,8 October 2022  5:41 PM,8 October 2022  6:20 PM,39.57,6.97,3.38,3.59
