ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /20.00
28706128.0,Finished,17 October 2022  2:53 PM,17 October 2022  4:53 PM,119.0,17.97,17.97
28624266.0,Finished,17 October 2022  2:58 PM,17 October 2022  4:56 PM,118.0,17.97,17.97
28709878.0,Finished,17 October 2022  4:31 PM,17 October 2022  6:00 PM,88.0,17.10,17.10
28707195.0,Finished,17 October 2022  7:08 PM,17 October 2022  9:04 PM,116.0,17.68,17.68
28708645.0,Finished,18 October 2022  8:59 AM,18 October 2022  9:53 AM,53.53,16.23,16.23
21119283.0,Finished,18 October 2022  3:56 PM,18 October 2022  3:57 PM,0.72,0.00,-
28705957.0,Finished,19 October 2022  10:44 AM,19 October 2022  12:44 PM,119.0,2.32,2.32
3804605.0,Finished,19 October 2022  11:26 AM,19 October 2022  12:08 PM,41.55,8.70,8.70
21221977.0,Finished,19 October 2022  4:05 PM,19 October 2022  6:05 PM,120.0,0.00,-
28707798.0,Finished,19 October 2022  7:55 PM,19 October 2022  9:55 PM,120.0,13.91,13.91
28707917.0,Finished,20 October 2022  12:41 PM,20 October 2022  1:35 PM,53.52,17.97,17.97
3803083.0,Finished,20 October 2022  1:53 PM,20 October 2022  3:53 PM,120.0,14.49,14.49
28711626.0,Finished,20 October 2022  3:34 PM,20 October 2022  4:36 PM,61.0,15.65,15.65
28711664.0,Finished,20 October 2022  3:34 PM,20 October 2022  4:36 PM,61.0,15.94,15.94
28701368.0,Finished,20 October 2022  3:56 PM,20 October 2022  5:44 PM,108.0,16.81,16.81
28700380.0,Finished,20 October 2022  3:56 PM,20 October 2022  5:44 PM,108.0,18.55,18.55
28706456.0,Finished,20 October 2022  3:56 PM,20 October 2022  5:09 PM,72.0,14.20,14.20
28710401.0,Finished,20 October 2022  4:18 PM,20 October 2022  5:45 PM,86.0,17.10,17.10
28631029.0,Finished,20 October 2022  4:18 PM,20 October 2022  5:42 PM,84.0,17.10,17.10
28616494.0,Finished,20 October 2022  5:54 PM,20 October 2022  7:27 PM,93.0,17.97,17.97
21201131.0,Finished,20 October 2022  9:45 PM,20 October 2022  10:56 PM,71.0,15.94,15.94
28711505.0,Finished,21 October 2022  9:19 AM,21 October 2022  10:44 AM,85.0,15.65,15.65
28711936.0,Finished,21 October 2022  9:31 AM,21 October 2022  10:45 AM,74.0,15.94,15.94
