ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /1.94,Q. 2 /2.91,Q. 3 /2.91,Q. 4 /2.14,Q. 5 /0.19,Q. 6 /3.11,Q. 7 /1.55,Q. 8 /0.58,Q. 9 /1.17,Q. 10 /3.50
3804605.0,Finished,17 October 2022  4:06 PM,17 October 2022  5:13 PM,67.0,20.00,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28706879.0,Finished,17 October 2022  4:06 PM,17 October 2022  5:33 PM,87.0,19.43,1.94,2.91,2.91,1.96,0.19,2.91,1.36,0.58,1.17,3.50
3872127.0,Finished,17 October 2022  4:06 PM,17 October 2022  5:14 PM,68.0,19.61,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,0.78,3.50
28713149.0,Finished,17 October 2022  4:06 PM,17 October 2022  5:26 PM,79.0,18.99,1.94,2.91,2.48,2.14,0.19,3.11,1.55,0.58,0.78,3.30
28631974.0,Finished,17 October 2022  4:06 PM,17 October 2022  5:25 PM,78.0,18.28,1.94,2.79,2.48,2.14,0.19,2.52,1.36,0.39,0.97,3.50
21215887.0,Finished,17 October 2022  4:06 PM,17 October 2022  5:20 PM,73.0,19.89,1.83,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
21214576.0,Finished,17 October 2022  4:06 PM,17 October 2022  5:21 PM,75.0,19.61,1.94,2.91,2.91,2.14,0.19,2.72,1.55,0.58,1.17,3.50
3804494.0,Finished,17 October 2022  4:06 PM,17 October 2022  5:26 PM,79.0,20.00,1.94,2.91,2.91,2.14,0.19,3.11,1.55,0.58,1.17,3.50
28725032.0,Finished,17 October 2022  4:06 PM,17 October 2022  5:26 PM,79.0,19.40,1.94,2.79,2.83,2.14,0.19,3.11,1.55,0.39,0.97,3.50
21215298.0,Finished,17 October 2022  4:06 PM,17 October 2022  5:16 PM,70.0,19.79,1.94,2.79,2.83,2.14,0.19,3.11,1.55,0.58,1.17,3.50
