ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /2.44,Q. 2 /0.98,Q. 3 /0.98,Q. 4 /0.24,Q. 5 /0.24,Q. 6 /0.24,Q. 7 /0.49,Q. 8 /0.24,Q. 9 /5.12,Q. 10 /0.24,Q. 11 /7.80,Q. 12 /0.98
21218709.0,Finished,28 November 2022  4:00 PM,28 November 2022  5:29 PM,89.0,15.37,2.20,0.24,0.98,0.24,0.24,0.00,0.49,0.24,4.63,0.24,5.85,0.00
3811446.0,Finished,28 November 2022  4:00 PM,28 November 2022  5:21 PM,80.0,17.56,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.98
3800655.0,Finished,28 November 2022  4:01 PM,28 November 2022  5:29 PM,88.0,16.59,2.20,0.73,0.98,0.24,0.24,0.00,0.49,0.24,4.63,0.00,5.85,0.98
3803110.0,Finished,28 November 2022  4:02 PM,28 November 2022  4:45 PM,43.57,17.07,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.00,4.63,0.00,5.85,0.98
28720263.0,Finished,28 November 2022  4:02 PM,28 November 2022  4:57 PM,55.13,16.83,2.20,0.98,0.98,0.24,0.00,0.00,0.49,0.24,4.63,0.24,5.85,0.98
28706848.0,Finished,28 November 2022  4:02 PM,28 November 2022  5:30 PM,87.0,17.56,2.44,0.73,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
28710344.0,Finished,28 November 2022  4:02 PM,28 November 2022  5:26 PM,83.0,17.32,1.71,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,5.85,0.98
28617316.0,Finished,28 November 2022  4:03 PM,28 November 2022  5:23 PM,80.0,18.05,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,5.85,0.98
28725032.0,Finished,28 November 2022  4:03 PM,28 November 2022  5:22 PM,79.0,16.83,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.24,5.85,0.00
21207306.0,Finished,28 November 2022  4:03 PM,28 November 2022  5:48 PM,105.0,14.63,2.20,0.73,0.73,0.24,0.24,0.24,0.49,0.24,1.46,0.24,6.83,0.98
28620133.0,Finished,28 November 2022  4:03 PM,28 November 2022  5:25 PM,81.0,17.32,2.44,0.49,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
28631974.0,Finished,28 November 2022  4:03 PM,28 November 2022  5:26 PM,82.0,9.27,1.46,0.24,0.98,0.24,0.24,0.24,0.49,0.24,5.12,0.00,0.00,0.00
21215298.0,Finished,28 November 2022  4:03 PM,28 November 2022  5:28 PM,84.0,10.00,0.73,0.49,0.73,0.24,0.24,0.00,0.49,0.00,3.17,0.00,3.90,0.00
28630611.0,Finished,28 November 2022  4:03 PM,28 November 2022  5:30 PM,86.0,17.56,2.44,0.98,0.98,0.24,0.24,0.24,0.49,0.00,4.88,0.24,5.85,0.98
28708977.0,Finished,28 November 2022  4:04 PM,28 November 2022  5:35 PM,91.0,17.32,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.63,0.24,5.85,0.98
28706087.0,Finished,28 November 2022  4:05 PM,28 November 2022  5:07 PM,62.0,16.10,2.20,0.98,0.98,0.24,0.24,0.24,0.49,0.24,3.41,0.24,5.85,0.98
3808685.0,Finished,28 November 2022  4:05 PM,28 November 2022  5:33 PM,87.0,17.32,1.95,0.98,0.98,0.24,0.24,0.24,0.49,0.24,4.88,0.24,5.85,0.98
