ID number,State,Started on,Completed,Time taken,Grade/20.00,Q. 1 /2.32,Q. 2 /0.80,Q. 3 /5.09,Q. 4 /11.79
28707365.0,Finished,12 December 2022  3:53 PM,12 December 2022  5:53 PM,120.0,17.80,2.32,0.80,5.00,9.68
28631029.0,Finished,12 December 2022  3:54 PM,12 December 2022  5:50 PM,115.0,17.79,2.32,0.80,5.09,9.57
28706087.0,Finished,12 December 2022  3:56 PM,12 December 2022  5:50 PM,113.0,15.47,2.32,0.80,5.09,7.26
28706848.0,Finished,12 December 2022  3:56 PM,12 December 2022  5:50 PM,113.0,20.00,2.32,0.80,5.09,11.79
21201851.0,Finished,12 December 2022  3:57 PM,12 December 2022  5:57 PM,120.0,10.69,2.06,0.80,3.04,4.79
28707797.0,Finished,12 December 2022  3:57 PM,12 December 2022  5:56 PM,118.0,15.88,2.24,0.80,4.91,7.93
3808685.0,Finished,12 December 2022  3:57 PM,12 December 2022  5:48 PM,110.0,14.39,2.32,0.54,5.00,6.54
28632942.0,Finished,12 December 2022  3:58 PM,12 December 2022  5:58 PM,120.0,16.35,2.32,0.80,5.09,8.13
28711545.0,Finished,12 December 2022  3:58 PM,12 December 2022  5:50 PM,111.0,17.81,2.32,0.67,5.09,9.73
28708977.0,Finished,12 December 2022  3:58 PM,12 December 2022  5:50 PM,112.0,14.56,2.24,0.80,5.09,6.43
3811446.0,Finished,12 December 2022  3:58 PM,12 December 2022  5:51 PM,112.0,15.92,2.06,0.67,5.00,8.18
3520774.0,Finished,12 December 2022  3:58 PM,12 December 2022  5:50 PM,111.0,14.20,1.72,0.80,5.09,6.59
28710344.0,Finished,12 December 2022  3:59 PM,12 December 2022  5:53 PM,114.0,15.69,1.72,0.80,5.09,8.08
21218709.0,Finished,12 December 2022  4:00 PM,12 December 2022  5:34 PM,94.0,14.94,2.15,0.80,5.09,6.90
28614730.0,Finished,12 December 2022  4:00 PM,12 December 2022  5:41 PM,101.0,13.52,2.32,0.80,5.09,5.30
21207306.0,Finished,12 December 2022  4:00 PM,12 December 2022  5:51 PM,110.0,13.59,1.20,0.80,5.00,6.59
28706138.0,Finished,12 December 2022  4:00 PM,12 December 2022  5:03 PM,63.0,16.31,2.24,0.80,5.09,8.18
28707210.0,Finished,12 December 2022  4:00 PM,12 December 2022  5:50 PM,109.0,16.40,2.32,0.80,5.09,8.18
28720263.0,Finished,12 December 2022  4:00 PM,12 December 2022  6:00 PM,120.0,12.97,0.77,0.80,3.93,7.46
28710621.0,Finished,12 December 2022  4:00 PM,12 December 2022  5:58 PM,118.0,17.86,2.24,0.80,5.09,9.73
28706762.0,Finished,12 December 2022  4:00 PM,12 December 2022  6:00 PM,120.0,10.34,1.72,0.80,5.09,2.73
28617316.0,Finished,12 December 2022  4:01 PM,12 December 2022  5:55 PM,113.0,18.51,2.32,0.80,5.09,10.29
28716428.0,Finished,12 December 2022  4:03 PM,12 December 2022  5:51 PM,107.0,10.58,2.32,0.80,5.09,2.37
3702042.0,Finished,12 December 2022  4:03 PM,12 December 2022  6:03 PM,120.0,18.85,1.89,0.80,5.09,11.07
28725032.0,Finished,12 December 2022  4:03 PM,12 December 2022  5:38 PM,95.0,16.05,1.98,0.80,5.09,8.18
3811684.0,Finished,12 December 2022  4:03 PM,12 December 2022  5:57 PM,114.0,16.86,2.32,0.80,5.09,8.65
28706879.0,Finished,12 December 2022  4:03 PM,12 December 2022  6:03 PM,120.0,13.36,2.32,0.80,5.09,5.15
3803083.0,Finished,12 December 2022  4:03 PM,12 December 2022  6:03 PM,120.0,12.97,1.72,0.67,4.82,5.76
21212724.0,Finished,12 December 2022  4:04 PM,12 December 2022  6:04 PM,120.0,12.10,2.15,0.67,4.29,4.99
28706664.0,Finished,12 December 2022  4:05 PM,12 December 2022  6:05 PM,120.0,15.33,1.55,0.80,5.00,7.98
28620133.0,Finished,12 December 2022  4:06 PM,12 December 2022  5:51 PM,105.0,20.00,2.32,0.80,5.09,11.79
28620097.0,Finished,12 December 2022  4:06 PM,12 December 2022  6:06 PM,120.0,18.03,2.24,0.67,5.09,10.04
28713149.0,Finished,12 December 2022  4:06 PM,12 December 2022  6:06 PM,120.0,10.27,1.89,0.80,4.64,2.93
3800655.0,Finished,12 December 2022  4:08 PM,12 December 2022  6:08 PM,120.0,14.36,1.98,0.80,5.09,6.48
28614630.0,Finished,12 December 2022  4:08 PM,12 December 2022  6:08 PM,120.0,12.03,1.89,0.67,5.09,4.37
28707726.0,Finished,12 December 2022  4:10 PM,12 December 2022  6:10 PM,120.0,11.04,2.06,0.80,5.09,3.09
21208283.0,Finished,12 December 2022  4:11 PM,12 December 2022  6:11 PM,120.0,9.45,1.03,0.80,5.09,2.52
3804494.0,Finished,12 December 2022  4:12 PM,12 December 2022  6:12 PM,120.0,14.66,2.24,0.80,5.09,6.54
3802649.0,Finished,13 December 2022  3:47 PM,13 December 2022  5:16 PM,88.0,15.80,2.32,0.80,4.64,8.03
21200527.0,Finished,13 December 2022  3:49 PM,13 December 2022  5:48 PM,119.0,11.02,0.60,0.80,5.09,4.53
21218316.0,Finished,13 December 2022  3:50 PM,13 December 2022  5:33 PM,103.0,16.22,2.32,0.80,4.91,8.18
28711626.0,Finished,13 December 2022  3:50 PM,13 December 2022  5:38 PM,107.0,14.65,2.06,0.80,5.09,6.69
21215141.0,Finished,13 December 2022  3:50 PM,13 December 2022  5:20 PM,89.0,15.68,2.32,0.80,5.09,7.46
28705959.0,Finished,13 December 2022  3:51 PM,13 December 2022  5:18 PM,87.0,16.40,2.32,0.80,5.09,8.18
21119283.0,Finished,13 December 2022  3:52 PM,13 December 2022  5:35 PM,103.0,15.87,2.15,0.80,4.73,8.18
28706076.0,Finished,13 December 2022  3:52 PM,13 December 2022  5:18 PM,85.0,16.40,2.32,0.80,5.09,8.18
28609357.0,Finished,13 December 2022  3:54 PM,13 December 2022  5:19 PM,85.0,16.01,2.32,0.67,5.09,7.93
28711733.0,Finished,13 December 2022  3:54 PM,13 December 2022  5:45 PM,110.0,15.66,2.32,0.80,4.55,7.98
28706563.0,Finished,13 December 2022  3:56 PM,13 December 2022  5:23 PM,87.0,16.40,2.32,0.80,5.09,8.18
