Quiz type,Quiz number,Open date,Open time,Close date,Close time,Duration 
Homework,1.0,2022-09-12,12:30:00,2022-09-17,18:30:00,120.0
Homework,2.0,2022-09-19,12:30:00,2022-09-24,18:30:00,120.0
Homework,3.0,2022-09-26,12:30:00,2022-10-01,10:30:00,120.0
Homework,4.0,2022-10-03,12:30:00,2022-10-08,10:30:00,120.0
Homework,5.0,2022-10-10,12:30:00,2022-10-15,10:30:00,120.0
Homework,6.0,2022-10-17,12:30:00,2022-10-22,10:30:00,120.0
Homework,7.0,2022-10-24,12:30:00,2022-10-30,10:30:00,120.0
Homework,8.0,2022-11-14,12:30:00,2022-11-20,10:30:00,120.0
Homework,9.0,2022-11-21,12:30:00,2022-11-26,10:30:00,120.0
Homework,10.0,2022-11-28,12:30:00,2022-12-03,10:30:00,120.0
Homework,11.0,2022-12-05,12:30:00,2022-12-10,10:30:00,120.0
Lab,1.0,2022-09-19,16:00:00,2022-09-22,20:00:00,105.0
Lab,4.0,2022-10-10,16:00:00,2022-10-21,20:00:00,120.0
Lab,5.0,2022-10-17,16:00:00,2022-10-28,20:00:00,105.0
Lab,6.0,2022-10-24,16:00:00,2022-10-28,20:00:00,105.0
Lab,7.0,2022-11-14,16:00:00,2022-11-18,20:00:00,105.0
Lab,8.0,2022-11-21,16:00:00,2022-11-24,20:00:00,105.0
Lab,9.0,2022-11-28,16:00:00,2022-12-01,20:00:00,105.0
Lab,10.0,2022-12-05,16:00:00,2022-12-08,20:00:00,105.0
Lab,11.0,2022-12-12,16:00:00,2022-12-16,20:00:00,105.0
Project,,,,2022-12-09,23:59:00,
Midterm,,2022-11-19,14:00:00,2022-11-19,16:00:00,120.0
Final 1,,2023-01-05,14:00:00,2023-01-05,18:00:00,90.0
Final 2,,2023-06-19,16:30:00,2023-06-19,18:30:00,90.0
